split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.55323906293793,0.5482901337463867,2792,2023,945
validation,pan_BRCA,3000,63.0,0.1956680844874399,0.19814070342255022,417,126,11
validation,pan_LUAD,3000,63.0,0.17523054459598672,0.17596321104227852,219,48,3
validation,pan_SKCM,3000,64.0,0.16869801463353376,0.17253179627188472,194,46,3
validation,specific_ALL,3000,190.0,0.5620529342861079,0.5592631765024331,2821,2095,1061
validation,specific_BRCA,3000,63.0,0.23110642366405942,0.23829291806678432,500,164,18
validation,specific_LUAD,3000,63.0,0.1732381812665548,0.17548284888140414,210,46,4
validation,specific_SKCM,3000,64.0,0.18690627188233327,0.18819595571922432,248,62,8
validation,fused_ALL,3000,190.0,0.5610048605150322,0.5569725641949004,2824,2094,1034
validation,fused_BRCA,3000,63.0,0.22297847323013703,0.22665956864744696,470,148,16
validation,fused_LUAD,3000,63.0,0.18180274170082486,0.1833323989825341,226,48,3
validation,fused_SKCM,3000,64.0,0.18152182018080756,0.18600293313868654,225,59,6
test,pan_ALL,3000,191.0,0.5610339424773475,0.5538207825977032,2841,2126,990
test,pan_BRCA,3000,64.0,0.17848444140693728,0.18567623379656126,340,97,14
test,pan_LUAD,3000,63.0,0.20621514418809447,0.21296993590234486,380,71,6
test,pan_SKCM,3000,64.0,0.12931369772770873,0.13659931621009,46,1,0
test,specific_ALL,3000,191.0,0.5660338219920968,0.5589551719722025,2849,2164,1056
test,specific_BRCA,3000,64.0,0.189903140270812,0.19624265717242587,346,92,9
test,specific_LUAD,3000,63.0,0.20270265684746164,0.20928706958635374,387,70,7
test,specific_SKCM,3000,64.0,0.13786757651566578,0.14630075600040923,50,4,0
test,fused_ALL,3000,191.0,0.5669059435180592,0.5609876838016706,2862,2188,1054
test,fused_BRCA,3000,64.0,0.19357243124923543,0.2025443139015386,368,98,12
test,fused_LUAD,3000,63.0,0.21411466653791078,0.21956831118865966,389,77,7
test,fused_SKCM,3000,64.0,0.13708602718940002,0.14487525807467055,47,4,0
