split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.350465978594349,0.33562324883217015,1004,456,169
validation,pan_BRCA,3000,63.0,0.24513067046699694,0.2594777576578573,477,76,0
validation,pan_LUAD,3000,63.0,0.2119350652506182,0.22142834045266258,292,40,0
validation,pan_SKCM,3000,64.0,0.18408874686391474,0.19381868610688674,157,16,1
validation,specific_ALL,3000,190.0,0.3611972962933633,0.34693125763595545,1068,521,201
validation,specific_BRCA,3000,63.0,0.25653555470983797,0.27205309921028953,510,85,1
validation,specific_LUAD,3000,63.0,0.2144937571259857,0.22245977548329823,301,43,1
validation,specific_SKCM,3000,64.0,0.18925385656451157,0.19788949451304655,165,17,1
validation,fused_ALL,3000,190.0,0.36082756768025714,0.3465219463059338,1069,517,191
validation,fused_BRCA,3000,63.0,0.25844943819025773,0.27580739766870876,514,85,1
validation,fused_LUAD,3000,63.0,0.2186233709647975,0.22636651130617993,299,40,1
validation,fused_SKCM,3000,64.0,0.1898202681688343,0.19969971074973397,168,16,1
test,pan_ALL,3000,191.0,0.34635030161210323,0.33106626985743615,988,481,221
test,pan_BRCA,3000,64.0,0.17224421669527085,0.1820339481790842,262,43,9
test,pan_LUAD,3000,63.0,0.21235678202759148,0.2262217444166913,278,40,2
test,pan_SKCM,3000,64.0,0.17486856179708554,0.17931156988929586,161,26,0
test,specific_ALL,3000,191.0,0.3532602558099635,0.33851176853732745,1025,522,241
test,specific_BRCA,3000,64.0,0.1843007276012659,0.19856449087764472,293,64,8
test,specific_LUAD,3000,63.0,0.20967683008734297,0.2209968821412044,266,42,2
test,specific_SKCM,3000,64.0,0.178285097046975,0.18024350512574944,176,20,0
test,fused_ALL,3000,191.0,0.35406135680194545,0.340042551805109,1039,523,243
test,fused_BRCA,3000,64.0,0.18373382537382588,0.19497081907991376,290,58,9
test,fused_LUAD,3000,63.0,0.21539193867278777,0.22714376677310572,283,42,4
test,fused_SKCM,3000,64.0,0.18103399644353604,0.18304843157247383,175,26,0
