cancer,topN,model,mode,k,n_enhancers,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
BRCA,1000,Mean-MLP,pca,20,1000,0.24126586311871784,0.24791435265015926,183,65,8
BRCA,1000,Mean-MLP,pca,5,1000,0.23413182485622963,0.24484791589040936,168,52,8
BRCA,1000,Mean-MLP,pca,10,1000,0.2282772050122862,0.24015970735506537,163,52,5
BRCA,1000,Mean-MLP,pca,50,1000,0.2269570213851564,0.2362604519187141,153,50,6
BRCA,1000,Mean-MLP,no_pca,0,1000,0.22564400312233449,0.2415745600935684,153,62,2
BRCA,1000,Mean-MLP,pca,2,1000,0.20392886497709264,0.2181574182487931,120,33,8
LUAD,1000,Mean-MLP,pca,10,1000,0.3164052891327564,0.3287339088589605,304,99,8
LUAD,1000,Mean-MLP,pca,50,1000,0.30827790661527943,0.32338378781704746,287,87,10
LUAD,1000,Mean-MLP,no_pca,0,1000,0.30463889442758274,0.3152489891031613,292,92,6
LUAD,1000,Mean-MLP,pca,20,1000,0.3046139813442397,0.31491836653937305,278,85,6
LUAD,1000,Mean-MLP,pca,5,1000,0.2948528238561746,0.31058877914225275,247,64,7
LUAD,1000,Mean-MLP,pca,2,1000,0.25686484405783416,0.26417449235187807,175,34,3
SKCM,1000,Mean-MLP,pca,10,1000,0.2587,0.2621,176,53,10
SKCM,1000,Mean-MLP,pca,20,1000,0.2547,0.2475,161,48,11
SKCM,1000,Mean-MLP,pca,5,1000,0.253492,0.254402,181,55,11
SKCM,1000,Mean-MLP,pca,50,1000,0.2455,0.2428,136,33,7
SKCM,1000,Mean-MLP,no_pca,0,1000,0.2240,0.2130,95,20,2
SKCM,1000,Mean-MLP,pca,2,1000,0.1692,0.1716,59,11,1
