split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2508692256827771,0.26034726974673755,168,1,0
validation,pan_BRCA,3000,63.0,0.256722026016681,0.2683715852505575,528,119,13
validation,pan_LUAD,3000,63.0,0.23383795840526342,0.24769305989155385,362,47,1
validation,pan_SKCM,3000,64.0,0.28328295023408706,0.2970478226512081,783,265,29
validation,specific_ALL,3000,190.0,0.2671906883848903,0.27806528636896466,250,1,0
validation,specific_BRCA,3000,63.0,0.2739085216887508,0.28447724567614796,623,147,26
validation,specific_LUAD,3000,63.0,0.24593973128001387,0.2605396824437233,447,57,1
validation,specific_SKCM,3000,64.0,0.2817100502752033,0.29675929794275635,772,259,33
validation,fused_ALL,3000,190.0,0.26625900317977946,0.27773649829026514,214,1,0
validation,fused_BRCA,3000,63.0,0.27508014402997677,0.2876372168374604,626,147,21
validation,fused_LUAD,3000,63.0,0.2481480787209936,0.26215796552747594,429,56,1
validation,fused_SKCM,3000,64.0,0.28556901237008664,0.2990671443007442,781,267,35
test,pan_ALL,3000,191.0,0.21792217485099202,0.2213283100802413,72,1,0
test,pan_BRCA,3000,64.0,0.18991044827599263,0.19497222772216943,304,66,5
test,pan_LUAD,3000,63.0,0.24551138814558,0.25794886145965296,470,92,9
test,pan_SKCM,3000,64.0,0.2007799397478108,0.20928411132298214,252,29,0
test,specific_ALL,3000,191.0,0.23788406882975324,0.2420114768231872,98,4,0
test,specific_BRCA,3000,64.0,0.21450948542636564,0.22069193229507342,369,90,15
test,specific_LUAD,3000,63.0,0.25989371029216585,0.2711836172940121,508,100,14
test,specific_SKCM,3000,64.0,0.20607833595681221,0.21435488840266298,267,43,0
test,fused_ALL,3000,191.0,0.235102174216612,0.23761622918651407,96,4,0
test,fused_BRCA,3000,64.0,0.20867957732268974,0.21443267535297073,357,81,12
test,fused_LUAD,3000,63.0,0.2609484969086538,0.27294250748999715,507,104,14
test,fused_SKCM,3000,64.0,0.2061612499202735,0.21353455246845274,268,37,0
