split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2517057635163796,0.2572810915545801,178,13,0
validation,pan_BRCA,3000,63.0,0.2919424744217323,0.3041991753656484,865,297,29
validation,pan_LUAD,3000,63.0,0.22436002446917558,0.23248986082892442,325,61,2
validation,pan_SKCM,3000,64.0,0.28859829273614396,0.30365981332961756,792,249,27
validation,specific_ALL,3000,190.0,0.26209085582736413,0.2698475071660643,219,4,0
validation,specific_BRCA,3000,63.0,0.29728224968352984,0.315766324267568,892,294,28
validation,specific_LUAD,3000,63.0,0.22883216007932514,0.23544065359977429,321,60,2
validation,specific_SKCM,3000,64.0,0.2842653260950564,0.3010095186833863,770,238,29
validation,fused_ALL,3000,190.0,0.2629398330786029,0.269914348517166,205,5,0
validation,fused_BRCA,3000,63.0,0.30618702156527605,0.3214914717509847,953,333,35
validation,fused_LUAD,3000,63.0,0.23475490886431263,0.23993395586949043,345,65,3
validation,fused_SKCM,3000,64.0,0.28780605957428484,0.3013533088287629,790,247,30
test,pan_ALL,3000,191.0,0.22107797756229056,0.22525937165971555,89,4,0
test,pan_BRCA,3000,64.0,0.20619477606635822,0.2138927200406323,368,84,10
test,pan_LUAD,3000,63.0,0.22393864832221247,0.23227744613398194,350,81,7
test,pan_SKCM,3000,64.0,0.23185256992203881,0.24667275076324469,371,61,1
test,specific_ALL,3000,191.0,0.23302340261383617,0.2379419438361866,99,6,0
test,specific_BRCA,3000,64.0,0.22601552329680955,0.2320595022830942,401,101,15
test,specific_LUAD,3000,63.0,0.22794712753904056,0.23714980176935369,320,59,4
test,specific_SKCM,3000,64.0,0.22980766357079077,0.24543209844584474,370,66,1
test,fused_ALL,3000,191.0,0.23296107054350992,0.23623708609197502,105,5,0
test,fused_BRCA,3000,64.0,0.22358150761301127,0.23122428767719647,408,103,15
test,fused_LUAD,3000,63.0,0.23486218979635873,0.2417904736972958,341,70,8
test,fused_SKCM,3000,64.0,0.2319431897218056,0.24641908402240786,373,66,1
