split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.23728765443868136,0.24317177691045141,130,8,0
validation,pan_BRCA,3000,63.0,0.2746094054611199,0.2837437678217568,688,219,23
validation,pan_LUAD,3000,63.0,0.2227284052718574,0.2369285862126141,323,50,1
validation,pan_SKCM,3000,64.0,0.2619273052113117,0.276740385223163,601,131,5
validation,specific_ALL,3000,190.0,0.24926842213253508,0.25621391268525084,163,1,0
validation,specific_BRCA,3000,63.0,0.2827532852279768,0.2941554017114414,744,215,19
validation,specific_LUAD,3000,63.0,0.22335865501623273,0.23245757166570383,316,44,2
validation,specific_SKCM,3000,64.0,0.25815999389029665,0.27336249331479145,574,137,6
validation,fused_ALL,3000,190.0,0.24782953660117724,0.25482474626422424,146,5,0
validation,fused_BRCA,3000,63.0,0.28581739021362634,0.2975642999017263,777,235,24
validation,fused_LUAD,3000,63.0,0.22816210074068322,0.24059799905412743,330,50,1
validation,fused_SKCM,3000,64.0,0.2614426730433417,0.27678687821253234,594,131,5
test,pan_ALL,3000,191.0,0.2146453776923299,0.21849623282903902,77,3,0
test,pan_BRCA,3000,64.0,0.20719370573744267,0.21340667703796565,371,83,10
test,pan_LUAD,3000,63.0,0.24149460209284912,0.2521752175577242,491,117,11
test,pan_SKCM,3000,64.0,0.20427970538662332,0.21544433676744965,225,24,0
test,specific_ALL,3000,191.0,0.22554095066927957,0.23052710587303382,81,7,0
test,specific_BRCA,3000,64.0,0.21620577122279983,0.22011227013003853,399,97,15
test,specific_LUAD,3000,63.0,0.2513659632661172,0.2618425411785613,492,104,8
test,specific_SKCM,3000,64.0,0.20510252345879543,0.21614355258130777,224,23,0
test,fused_ALL,3000,191.0,0.22439921803921906,0.22802625068888022,84,5,0
test,fused_BRCA,3000,64.0,0.2162369828649931,0.22174932509509881,401,100,11
test,fused_LUAD,3000,63.0,0.2517881296315187,0.2626869110471826,518,120,9
test,fused_SKCM,3000,64.0,0.20560198206586514,0.2168649446619392,222,23,0
