split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2520328601354514,0.25936903185612903,170,1,0
validation,pan_BRCA,3000,63.0,0.24948139254051102,0.26036323783230575,479,99,6
validation,pan_LUAD,3000,63.0,0.234766778067291,0.24867685688836455,346,60,1
validation,pan_SKCM,3000,64.0,0.2873248223002984,0.29961597661604666,783,276,35
validation,specific_ALL,3000,190.0,0.003901386373049477,0.0040034694533978435,0,0,0
validation,specific_BRCA,3000,63.0,0.00679146326457307,0.007208645664329941,50,8,1
validation,specific_LUAD,3000,63.0,0.008227021002515543,0.0019335863978518922,36,3,0
validation,specific_SKCM,3000,64.0,0.0026020918874579716,-0.0012548009224983485,65,7,1
validation,fused_ALL,3000,190.0,0.2520328601354514,0.25936903185612903,170,1,0
validation,fused_BRCA,3000,63.0,0.24948139254051102,0.26036323783230575,479,99,6
validation,fused_LUAD,3000,63.0,0.234766778067291,0.24867685688836455,346,60,1
validation,fused_SKCM,3000,64.0,0.2873248223002984,0.29961597661604666,783,276,35
test,pan_ALL,3000,191.0,0.21481523888172024,0.2166058489038824,71,2,0
test,pan_BRCA,3000,64.0,0.18864054827690543,0.19340749808324598,298,73,5
test,pan_LUAD,3000,63.0,0.24613989593472171,0.25770514970442165,478,102,10
test,pan_SKCM,3000,64.0,0.18977756752500322,0.19884801203749575,198,26,0
test,specific_ALL,3000,191.0,0.003003281441926398,0.0033656898276224864,0,0,0
test,specific_BRCA,3000,64.0,0.0006600879856649732,0.001808756552134948,44,4,0
test,specific_LUAD,3000,63.0,0.009149181350482514,0.012551830916014297,43,4,0
test,specific_SKCM,3000,64.0,0.0039424901682522445,0.000152961974547428,21,2,0
test,fused_ALL,3000,191.0,0.21481523888172024,0.2166058489038824,71,2,0
test,fused_BRCA,3000,64.0,0.18864054827690543,0.19340749808324598,298,73,5
test,fused_LUAD,3000,63.0,0.24613989593472171,0.25770514970442165,478,102,10
test,fused_SKCM,3000,64.0,0.18977756752500322,0.19884801203749575,198,26,0
