split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2099329412864745,0.21679503484459706,90,5,0
validation,pan_BRCA,3000,63.0,0.27912492593210264,0.29504393506878374,697,167,10
validation,pan_LUAD,3000,63.0,0.12974508102487886,0.13111724704450534,115,19,0
validation,pan_SKCM,3000,64.0,0.23728756389329017,0.25242235665810003,471,71,5
validation,specific_ALL,3000,190.0,-0.022639543951077756,-0.023192939112712127,0,0,0
validation,specific_BRCA,3000,63.0,-0.12182389515592323,-0.12985724578267138,10,1,0
validation,specific_LUAD,3000,63.0,-0.0628840306830202,-0.06800060509323455,5,0,0
validation,specific_SKCM,3000,64.0,0.00450549481295485,-0.0030797271247296402,37,2,0
validation,fused_ALL,3000,190.0,0.2099329412864745,0.21679503484459706,90,5,0
validation,fused_BRCA,3000,63.0,0.27912492593210264,0.29504393506878374,697,167,10
validation,fused_LUAD,3000,63.0,0.12974508102487886,0.13111724704450534,115,19,0
validation,fused_SKCM,3000,64.0,0.23728756389329017,0.25242235665810003,471,71,5
test,pan_ALL,3000,191.0,0.1818168053075549,0.18532220911954145,59,0,0
test,pan_BRCA,3000,64.0,0.22243213889027788,0.24015501738519496,466,123,9
test,pan_LUAD,3000,63.0,0.16572210736596568,0.17616045913122919,207,50,4
test,pan_SKCM,3000,64.0,0.1730618879295656,0.18124405428243134,144,24,0
test,specific_ALL,3000,191.0,-0.031208388268529404,-0.031889087036393024,0,0,0
test,specific_BRCA,3000,64.0,-0.14420265336881444,-0.14607270941486689,3,0,0
test,specific_LUAD,3000,63.0,-0.09720228681449354,-0.10627639160977796,7,0,0
test,specific_SKCM,3000,64.0,-0.007320919870998564,-0.010184311391730039,18,3,1
test,fused_ALL,3000,191.0,0.1818168053075549,0.18532220911954145,59,0,0
test,fused_BRCA,3000,64.0,0.22243213889027788,0.24015501738519496,466,123,9
test,fused_LUAD,3000,63.0,0.16572210736596568,0.17616045913122919,207,50,4
test,fused_SKCM,3000,64.0,0.1730618879295656,0.18124405428243134,144,24,0
