split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.24180755762367456,0.24704573906490185,139,12,0
validation,pan_BRCA,3000,63.0,0.27925701474929565,0.29137407503727697,712,218,17
validation,pan_LUAD,3000,63.0,0.2221726490586183,0.2321147932403729,313,66,2
validation,pan_SKCM,3000,64.0,0.2681826581175146,0.2830776270469948,636,135,6
validation,specific_ALL,3000,190.0,-0.026263754408781825,-0.028610778974342173,0,0,0
validation,specific_BRCA,3000,63.0,0.027776720386512608,0.04928520084217681,65,5,0
validation,specific_LUAD,3000,63.0,0.024482345480283142,0.022794518111117774,16,1,0
validation,specific_SKCM,3000,64.0,-0.04301036090018459,-0.0417305783576109,28,3,0
validation,fused_ALL,3000,190.0,0.24180755762367456,0.24704573906490185,139,12,0
validation,fused_BRCA,3000,63.0,0.27925701474929565,0.29137407503727697,712,218,17
validation,fused_LUAD,3000,63.0,0.2221726490586183,0.2321147932403729,313,66,2
validation,fused_SKCM,3000,64.0,0.2681826581175146,0.2830776270469948,636,135,6
test,pan_ALL,3000,191.0,0.22206938063585646,0.22588407197823815,79,3,0
test,pan_BRCA,3000,64.0,0.22689716897747378,0.2370399305045321,440,107,10
test,pan_LUAD,3000,63.0,0.24716396926963125,0.255357289789206,504,109,11
test,pan_SKCM,3000,64.0,0.19876542423792382,0.2048715017847963,205,18,0
test,specific_ALL,3000,191.0,-0.03247572141827927,-0.032365752834448626,0,0,0
test,specific_BRCA,3000,64.0,0.0464618774345996,0.0582334705476779,45,6,0
test,specific_LUAD,3000,63.0,-0.02160097908322715,-0.031082122853787097,49,4,0
test,specific_SKCM,3000,64.0,-0.0666339968882658,-0.07138581258101707,7,0,0
test,fused_ALL,3000,191.0,0.22206938063585646,0.22588407197823815,79,3,0
test,fused_BRCA,3000,64.0,0.22689716897747378,0.2370399305045321,440,107,10
test,fused_LUAD,3000,63.0,0.24716396926963125,0.255357289789206,504,109,11
test,fused_SKCM,3000,64.0,0.19876542423792382,0.2048715017847963,205,18,0
