"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1139966-1140650",1.66467425089567,1.76234800546152
"chr1:10460729-10463028",2.18384333090336,2.39240283219755
"chr1:10471709-10472791",2.13250840963741,2.33300376324085
"chr1:10473408-10475249",2.39979534023018,2.68571472745335
"chr1:10475549-10476944",2.3714443466931,2.77028690003554
"chr1:10477666-10478769",2.1052617767391,2.32818431071933
"chr1:16535678-16538897",1.66234832956803,1.89493615270907
"chr1:17766320-17773164",1.886533472991,2.26134224574688
"chr1:40830955-40839269",1.92306380781819,2.1149090967622
"chr1:43396977-43408797",1.606888853438,2.07467630038157
"chr1:43417701-43424205",1.5183981211499,1.99079342350936
"chr1:43425348-43435820",2.19498275779301,2.45051222413032
"chr1:43442199-43448696",1.53286067871084,1.67506826813523
"chr1:43449129-43457009",1.79000858989237,1.81817887302728
"chr1:44400308-44400931",3.05437807898175,3.2487099199216
"chr1:46154047-46155305",1.54894726111508,1.53775556231905
"chr1:66929129-66972271",2.37648548737226,2.56973962259215
"chr1:90024695-90033700",1.54970116120932,1.62440362664035
"chr1:101094598-101105945",1.98603995204075,1.98866484925707
"chr1:115151594-115153594",2.248859408751,2.62022661114874
"chr1:152386839-152417220",2.32283357733855,2.37205527924875
"chr1:153331009-153333020",1.61029922215529,2.08290789262772
"chr1:153510012-153512430",1.95173344050402,2.18089157655137
"chr1:153526126-153533484",1.63034484226934,2.03843779578618
"chr1:153534167-153535791",1.82464786896102,2.17802249782319
"chr1:159907728-159912653",1.60601410775767,1.50283260330994
"chr1:160724711-160765764",1.95761832151177,1.98228612629723
"chr1:162689035-162722785",1.72530582495775,1.72843392103204
"chr1:168473503-168509903",2.77532816298775,3.15806487791645
"chr1:168513335-168527528",2.29061664452093,2.75990260926727
"chr1:172876924-172973322",2.06734031625646,2.0377988786033
"chr1:178746056-178753453",1.70698105732127,1.80979279670564
"chr1:179102609-179106799",1.94314832730847,2.03453343049902
"chr1:179107169-179111968",2.22604249019951,2.62327703154126
"chr1:180945882-180949612",1.6955354708209,1.66169105754538
"chr1:182224276-182282525",2.23891288309072,2.293861038735
"chr1:198990266-199010585",2.11765370934418,2.22186749403496
"chr1:201253132-201262970",2.7648592909838,3.21394189887703
"chr1:201282788-201285220",2.44220042474977,2.87495099800371
"chr1:209553135-209602065",2.8886554922876,3.19839430578714
"chr1:209606283-209617755",2.24616281698712,2.63935935893439
"chr1:209964332-209965514",2.11257442370621,2.46633166478189
"chr1:209966159-209968535",1.82514330887444,2.03745241524294
"chr1:209969997-209974485",1.79108346681481,2.17860807695579
"chr1:210006803-210008320",1.60229763769026,1.92822105911721
"chr1:210613197-210631065",1.71240140384539,1.89686873970618
"chr1:219616084-219639325",1.69920544476677,1.69648720451683
"chr1:226288300-226314779",1.52406456297363,1.61643604406573
"chr1:232423957-232472114",1.95853122578158,1.87078598034966
"chr1:232568317-232574754",1.84551977008517,1.91103493259032
"chr1:234667625-234700944",2.8347840919388,3.17253261637765
"chr1:237167818-237205405",2.0129753118997,2.1442062152084
"chr1:237205969-237284007",2.02055314998445,2.1064372762756
"chr10:4802974-4824715",1.84312509476742,2.41763436549885
"chr10:5541633-5556107",1.61839648259223,2.06397846384587
"chr10:7027988-7044334",1.60276214383511,1.69588628827323
"chr10:21611096-21629062",1.59563354032656,1.80758231226683
"chr10:35744491-35772232",1.95807230710104,1.90380900443593
"chr10:54192579-54210534",1.8657984302317,2.21227829525244
"chr10:55233215-55269626",1.87471223215921,1.96971721557318
"chr10:60410727-60435022",1.51709197400763,1.64789269643519
"chr10:99187785-99190036",1.57260553473102,1.48839092247185
"chr10:113943625-113973977",2.04072683478611,2.10396357954501
"chr10:121429789-121431667",1.6813810904071,1.69482744680222
"chr10:121432268-121435876",1.58971191122215,1.71696109182755
"chr10:123240099-123241249",1.54193371247448,1.59303089020204
"chr10:123241791-123243112",1.55281120725393,1.70839746222865
"chr10:123243417-123244809",1.90373491677166,2.0140571810256
"chr10:123245146-123246768",1.84519057429614,1.78432938938913
"chr10:127738338-127753164",1.86765081365689,1.92527719158363
"chr10:128359179-128377004",2.2983657661856,2.33352322738594
"chr10:133849142-133881318",1.78994791601858,2.22813576442845
"chr11:7678458-7686231",1.82338360751522,1.98943705904078
"chr11:7695824-7698279",1.73559076981544,1.93704057893136
"chr11:14632797-14664901",1.90165579997604,1.9150954397682
"chr11:27241760-27279524",2.32178383836761,2.41100930737017
"chr11:33640308-33664868",2.32854933060084,2.43827745142401
"chr11:35396121-35426866",2.00285780893811,1.83094861519237
"chr11:36631889-36653823",1.79431423855062,1.77221959112164
"chr11:45226429-45230325",1.68265393940432,1.85910385602211
"chr11:60835107-60869767",1.7178499894961,1.58148294651057
"chr11:62335100-62338337",1.7421813340828,1.94380368950243
"chr11:76455730-76470860",1.65425006259255,1.84345605585804
"chr11:76471483-76479054",2.00967743643452,2.28886474981035
"chr11:76479367-76493195",1.91848864298298,2.07008412972804
"chr11:76495509-76502696",1.56966545261472,1.32709916540896
"chr11:83878147-83900435",2.06681661907883,2.29886520870706
"chr11:94915438-94917199",1.62626628501201,1.88602693123593
"chr11:111428472-111430720",2.33369523579407,2.45485861224415
"chr11:118135351-118163211",1.53195992820555,1.76874307243926
"chr11:119536107-119544992",1.840261647044,2.19323414328007
"chr11:119546479-119547425",2.71723098640661,3.11613265720198
"chr11:119604560-119607417",1.86548036267351,2.26066450725847
"chr11:119610433-119644207",2.02222190441737,2.0540726919827
"chr11:119989675-119991181",2.17585321823938,2.65131545772709
"chr12:2229696-2329603",1.94659534008622,2.03577293936084
"chr12:6335002-6341252",1.63512420268766,1.9520073399223
"chr12:6342754-6343411",1.86041218086294,1.83595837818121
"chr12:6343721-6344295",1.78699228328996,1.74972555400541
"chr12:6345541-6346829",1.56724530797053,1.47087085759739
"chr12:10526835-10530631",2.55124021050811,2.75850658375351
"chr12:28117440-28121945",2.98594264686653,3.40410299243904
"chr12:28123382-28124760",2.82046478807856,3.00280250345692
"chr12:28125738-28153947",2.52636656656055,2.83592601993279
"chr12:28277256-28285579",3.30635283167856,3.63615843777403
"chr12:47781259-47808691",1.53430767898811,1.91897483606721
"chr12:47809115-47813605",1.77014870565675,2.35927360806312
"chr12:54779652-54784919",1.67707009928766,2.0888070568138
"chr12:56327492-56328989",1.51966121873977,1.86862594598862
"chr12:57454828-57456802",1.64073570398813,1.73943250920763
"chr12:58280579-58287423",1.59469407075554,1.81523989445787
"chr12:71158658-71172678",1.76561969154541,1.65790523660359
"chr12:80978122-80980298",1.5278031274973,1.54005795875137
"chr12:89308603-89364893",1.5101894616334,1.69449877918655
"chr12:91498196-91501795",1.77834922038019,2.09866504476236
"chr12:101962383-101988527",1.83392854626968,1.8016200446055
"chr12:104684982-104697417",2.03926076469254,2.35590064396833
"chr12:104715194-104719015",1.89523505370613,2.10213677259693
"chr12:104721549-104725212",1.87073394147361,2.25954737378049
"chr12:104728210-104732817",2.05254452569625,2.44053859983458
"chr12:104733151-104739697",2.29091532955606,2.68290773937487
"chr12:104740033-104742031",2.5449173807892,2.92704705346577
"chr12:105623738-105626769",1.55034340209727,1.68212368354981
"chr12:106466721-106477542",1.72126617159341,1.95365094776604
"chr12:109072270-109090036",1.5026075971855,1.62248940937878
"chr12:110290642-110293323",1.77203936631213,2.16019273816991
"chr12:110293674-110295231",1.94439711687488,2.22895324650175
"chr12:116956725-116971127",2.92619269277679,3.26905939583434
"chr12:122615580-122616739",1.50653521210806,1.51362671253779
"chr13:52157135-52158544",1.67977465770068,2.14955368811091
"chr13:74805989-74830970",2.29669710196894,2.27103614914173
"chr13:76301334-76334403",1.52070939126884,1.40427750081454
"chr13:99379213-99404749",2.93517696537574,3.12943160487689
"chr13:110750598-110791670",3.44615699590535,3.55640238298074
"chr14:25133891-25175958",2.02812192031957,2.26159958019284
"chr14:38532475-38559557",1.80623100384007,1.63193792788862
"chr14:50576531-50579233",1.57027687012275,1.83068347572299
"chr14:51811893-51815125",2.35742559518043,2.74228124907528
"chr14:52037228-52042265",2.50116724354607,2.95038767087977
"chr14:52187343-52188567",1.79962350285497,2.12486436243652
"chr14:62212635-62213552",1.7226459548919,1.84170042885007
"chr14:66298872-66346210",1.68086311955404,1.61865623349959
"chr14:81773194-81789747",2.0370544077893,2.32601056043649
"chr15:39109560-39139107",1.57653411069321,1.6588589010803
"chr15:39486610-39542785",1.69033695971816,1.79747355151153
"chr15:39713276-39719199",2.18263818292785,2.24414028745446
"chr15:41196273-41198909",1.57273856830349,1.84856926251913
"chr15:42121590-42124527",1.71038029152601,2.02294053952033
"chr15:42124810-42126838",1.83740610757593,2.06939287600721
"chr15:45891860-45893332",1.6840967353178,1.70106591555798
"chr15:52359418-52374399",2.29192494773437,2.69223133150633
"chr15:60686994-60687746",1.54123410801094,1.71854967007298
"chr15:71464596-71475345",2.13078818650433,2.21600993871704
"chr15:81605844-81610650",1.70226449297228,1.52362691135238
"chr15:84116430-84156713",2.00254052431433,2.07735802695158
"chr15:90735358-90736261",1.94549978880269,2.36850575727403
"chr15:90765097-90766691",1.67059524904387,2.08405469127813
"chr16:1421712-1428815",1.90755771058031,2.15415162631915
"chr16:12163089-12172590",1.52010910555758,1.55815675438317
"chr16:69144034-69146824",2.4831703750218,2.89293861107384
"chr16:86260483-86302510",2.29860131747833,2.29229520602857
"chr17:19646913-19648035",3.22789586188057,3.57559017634511
"chr17:19649093-19651115",3.33764027782259,3.83778658929261
"chr17:31209008-31232580",2.12335313467832,2.17712182319394
"chr17:38338046-38340366",1.54027167820483,1.86223476311563
"chr17:38641359-38643188",1.51534123002971,2.03787411238644
"chr17:38652872-38657686",1.60506753877111,2.10183300670738
"chr17:39796551-39845037",1.61450052217697,1.95140556425198
"chr17:59530038-59533707",2.01394562840703,2.28931730561496
"chr17:76215076-76218809",1.75487730385729,1.7212602456875
"chr18:20284983-20303354",1.87105374658727,1.77322937581082
"chr18:29027988-29036303",1.93170341190608,2.34616474322517
"chr18:60573723-60582046",2.06021070340687,2.17513434800235
"chr18:60999234-61002390",1.86842011341163,1.90927685333681
"chr18:61526445-61538826",2.0645162683375,2.08082631868832
"chr18:77284135-77286255",1.75886089124282,1.9635103804252
"chr19:10610856-10612964",1.75795157804484,1.93879888149715
"chr19:12904224-12907534",1.82653482117419,1.93653694417791
"chr19:30576070-30655179",1.98872551418918,2.05039493729631
"chr19:35590391-35596773",1.59316199054752,2.11582125099949
"chr19:47282265-47285540",2.06294644400012,2.37965582920912
"chr19:47285906-47287254",2.01824985777724,2.34077322228794
"chr19:47288262-47290396",1.70677329582361,1.77413181801356
"chr19:56329703-56343229",2.14119768958481,2.25521797292066
"chr2:9419618-9437329",2.14394030672721,2.18410962959308
"chr2:9887098-9897525",1.82811044307128,2.28451870724307
"chr2:10133472-10135334",1.6502467937907,1.95490656286257
"chr2:10136629-10138993",1.81502574936928,2.18829151605867
"chr2:10146258-10161605",1.99015090343501,2.20482559997452
"chr2:10163052-10179119",1.94259975871923,2.20991711766209
"chr2:17719175-17720293",2.0179594527389,2.0845770834736
"chr2:27931463-27938351",1.94406862184105,2.27483132980746
"chr2:29344487-29353380",2.29592361814506,2.85407917330292
"chr2:29726959-29753978",1.79167043066133,1.91550936522699
"chr2:40450991-40473216",2.19137672778162,2.29583640435851
"chr2:60327435-60378218",2.2893722052422,2.40712992556676
"chr2:61246316-61247453",1.84186013692461,2.01169369593362
"chr2:68937930-68961813",1.87291719133848,1.90440164228437
"chr2:75106148-75107292",1.59030698078479,1.71340410148884
"chr2:85886905-85888241",2.22759578745327,2.58238092114155
"chr2:85891070-85892312",2.20890193611739,2.54939261680157
"chr2:106746334-106754531",1.95778938435986,2.06696270895565
"chr2:112455275-112474985",1.96633979586051,2.27161330594837
"chr2:122726531-122793384",2.14755427398668,2.2282281733086
"chr2:145752854-145780562",1.64095795755042,2.06295764653424
"chr2:178077699-178080167",1.51377024049811,1.65681178611664
"chr2:178092781-178093819",1.80647184890918,1.88937965208524
"chr2:178094334-178094933",2.13611467468364,2.18535093313838
"chr2:179753495-179769956",1.61164833305437,1.76377148782815
"chr2:186487765-186510845",1.79524378466563,1.88407536199997
"chr2:196380523-196397659",1.73940821773863,1.84480272770271
"chr2:208110711-208118813",1.87450516114068,2.3020064997919
"chr2:217498788-217524241",2.71576424726024,2.76786491821454
"chr2:219114744-219117568",1.58660409292183,1.77865483982054
"chr2:237478667-237488983",1.97353333584707,2.21082548625022
"chr2:237864086-237898424",3.5410903652198,3.78642763244575
"chr2:238032840-238165634",1.53492160321379,1.6246842815829
"chr2:239592412-239628865",1.52707035599876,1.58877901292829
"chr2:241308078-241328102",2.80202995795085,2.97683446955912
"chr20:629661-633520",2.51549914017974,2.68255484305998
"chr20:4101931-4118142",2.4388323953682,2.81643904708505
"chr20:10620703-10621331",1.94368765739672,2.30648328502387
"chr20:10623349-10624326",1.90163039647822,2.20947886735206
"chr20:10627851-10628508",1.88846402413351,2.16186626693696
"chr20:10631108-10632129",1.71378994540472,2.09535458007182
"chr20:10633346-10636946",1.50447518680274,1.91286215562109
"chr20:19999261-20003000",1.57496549208195,1.75565729847807
"chr20:20006511-20007328",1.61436356321426,1.75139722570663
"chr20:25304166-25319421",2.02521884381011,1.99927289862124
"chr20:37576743-37580082",1.75270032454173,1.81796818895219
"chr20:49096628-49126791",1.70440061374626,1.91259850186795
"chr20:58561329-58562408",2.85450799284723,3.27199822341263
"chr20:58576566-58577768",1.78468161103747,2.23503482166204
"chr20:58578021-58581668",1.85158135826015,2.22320450276628
"chr21:27284374-27306273",2.1373006778032,2.12209246676286
"chr21:35296715-35303364",2.0481564037683,2.13634483475741
"chr21:39589919-39609039",1.52948683492797,1.65962101811963
"chr21:40196979-40218071",2.00471451213332,1.97385598304069
"chr21:43025485-43099241",1.81499228410721,2.0826442232397
"chr21:45194740-45195985",1.51123177139559,1.81481058971146
"chr22:29457932-29468966",1.62103786692152,1.70526977953949
"chr22:29542908-29549031",2.47106419699963,2.95082837410098
"chr22:30189765-30195084",1.53345999554086,1.78100488020882
"chr22:31664286-31667022",1.86951631596679,2.18784828859992
"chr22:38046885-38049686",1.59098774249325,1.86658521273828
"chr22:40742815-40744683",1.63328098797688,1.89042001233141
"chr22:42671302-42672261",1.70092233821002,1.49651212504573
"chr22:42982074-42983412",1.53813064306956,1.39572984022455
"chr22:43066898-43088027",1.5788483722581,1.86067212523126
"chr22:46020612-46039485",1.72597012993574,2.29044003190648
"chr22:46742541-46746088",1.66064014839994,1.96440353397789
"chr22:46765801-46768680",1.74407032821966,2.03498799576637
"chr22:46882774-46926105",1.60338848364431,1.7848826920692
"chr22:46938931-46942485",1.94109455165749,2.47873973741742
"chr3:16711913-16729393",1.74332089723907,1.74312254398052
"chr3:37038891-37042346",1.51438026832891,1.61954984725326
"chr3:46126925-46183750",1.6031026647348,1.95565706802797
"chr3:46185269-46197376",1.81556620753552,1.77816827240581
"chr3:53245818-53258623",1.64639927908969,1.69218500477321
"chr3:55167389-55200838",2.43706941896651,2.53321121438788
"chr3:55508757-55512968",2.1797151824154,2.1050282407865
"chr3:55522436-55523765",3.06422008750468,3.2985074560418
"chr3:100238552-100273953",1.68898250242444,1.9278122603017
"chr3:111451650-111497015",1.6688649536806,1.77835603431001
"chr3:112694069-112695720",2.19476873945994,2.65464131827968
"chr3:118702396-118731522",2.29887368540248,2.33498895174784
"chr3:122044305-122051982",1.79376215930377,2.21806482004241
"chr3:122514482-122520578",1.51111505877305,1.88783923204373
"chr3:126181163-126184898",1.61114929998966,1.67442813648297
