"","LIHC","KIRC","KIRP","KICH","UCEC","UCS","SKCM","UVM","ACC","PCPG","GBM","LGG","MESO","SARC","TGCT","DLBC","THYM","LAML","OV","ESCA","STAD","COADREAD","CHOL","PAAD","BRCA","PRAD","BLCA","LUSC","CESC","HNSC","LUAD","THCA"
"chr2:60771626-60773006",-1.10336321602596,-0.488388404549667,-0.55564381949053,-1.20579572837704,-0.205834048624055,0.59905924445366,-0.716174859315082,-0.697580150528986,-0.515600046622558,-0.65640524566977,-0.558353759898726,-0.900887078250943,-0.906810813284733,-1.01732080973288,-0.277003171177759,1.70671150743802,1.17491599149752,3.71482291669179,0.366518066323976,0.760289649312276,0.172002954252068,1.27438199584907,0.0426221006858807,-0.252965953999962,-0.472091287279192,-0.447111525858149,-0.371010523498479,1.12091454143093,0.432365471394514,0.134618815695963,0.109262481699512,-0.26014529454071
"chr2:60736059-60754690",-0.820569201237913,-0.720598956697112,-0.62288510597213,-0.999329895634061,0.140465038691047,0.438283033674771,-0.49781600088255,-0.735751950215063,-0.658376894817313,-0.708538583855502,-0.904216987994998,-0.973845005703745,-0.730592287443491,-0.783462101678532,-0.0225406267642209,2.77047927260714,1.7180368413769,2.81054771534111,0.157235643694551,0.876563155728052,0.597444309392542,0.774126937039782,-0.493950487302315,-0.535533928616625,-0.482981589855965,-0.613419836650275,-0.172217350940548,0.786348157598883,0.682703685255627,0.680844367172691,-0.234124425202684,-0.722326940108051
"chr19:16262488-16263262",-0.54134323073341,-0.640602506586432,-0.631727531392186,-0.991602022103021,0.54351367435395,-0.653313085332539,-0.417640432885896,-1.36396428070942,-0.686400499544997,-1.11280766328831,-1.42655277719326,-1.13997680879166,-0.298948009347548,-0.86744666037047,-0.465394372066655,2.99872594486933,0.0148850313020738,2.43442807616473,0.279732127830198,0.728094526941746,1.28947378949527,0.749635000617556,0.154316051806056,0.844106493493537,0.221741995021742,0.547490952193162,0.38511265647994,-0.155618071741131,0.222348824260507,-0.502745291773222,0.800800645226828,-0.318322546196467
"chr19:16265773-16266352",-0.586385173256294,-0.490937568542632,-0.62759748351986,-0.772596602737486,-0.0342910732459652,-0.840818784113076,-0.397036291084863,-1.05451745204509,-0.474453226567007,-0.946140114864816,-1.05027469134352,-1.10411192441412,-0.285949434651294,-0.865685107101615,-0.227742097408326,1.59778889325257,-0.196029266474965,4.13633650482669,0.0624800741798087,0.401942444348691,0.687280492036803,0.715575396919293,0.428322425013186,0.815487736088538,0.379532993178096,0.426405870817886,0.259063214528472,-0.000130266349288743,0.0328688513381199,-0.531798636762073,0.818322396714101,-0.274912098759956
"chr19:16259785-16262157",-0.587544816534217,-0.52771847804818,-0.632353562281637,-0.805720382017435,0.0593824693184802,-0.74922233783357,-0.431497438213011,-1.20253945140171,-0.581779952274538,-0.989763920417377,-1.17851490404573,-1.10476819963335,-0.178109363711143,-0.84043777513748,-0.374227731903615,2.6423123863783,-0.14034321934599,3.40066844325709,0.311597038213842,0.332245904488575,0.944558545206455,0.617181297037629,0.333588945676538,0.923927724706544,0.399139861145904,0.462502801722079,0.20706285019248,-0.176897469120899,0.00766808997729435,-0.550960623228766,0.693968380590077,-0.283405112762631
"chr5:150538123-150560513",-0.341113621860963,-0.110871495034078,-0.568856937977719,-0.713031869404354,-0.541344282598342,-0.513023752582369,-0.204968782020816,-0.986807967743661,2.75036281595621,-0.55444056168748,-0.944674968783869,-0.846861235571094,-0.229577568891194,-0.110420153212866,-0.185002882550419,3.15860878537858,1.36933032522778,2.30670031032803,-0.817986948435587,-0.228770130596799,0.117119185198162,-0.329332584805737,-0.206930685905072,0.121475566900141,-0.244446304583432,-0.372512071938264,-0.0156672577763412,-0.142329331950932,-0.191969649800758,-0.44157975991895,0.434725525966635,-0.415801709324441
"chr17:3848770-3850585",-0.777915388554456,0.129153140584621,-0.545041088941537,-0.42638729962812,-0.7569269960635,-1.00402593193855,-0.120093814881968,-1.11296570732326,0.031643994516738,-0.459812141443925,-1.2860910213703,-1.26706005560256,-0.255889373529824,-0.555414312958848,0.172650366376362,1.95104070439069,1.86333704745665,3.21811812150699,-1.10630474086111,0.246762431359923,0.746360238846241,0.616336020426369,-0.130567691832472,1.38303260895316,0.484591764507336,-0.124350965898668,-0.299634289718329,-0.0628981273623106,-0.257093170341493,-0.690717133125036,0.665727931056708,-0.269565118605522
"chr17:3828835-3831175",-0.781557310045076,-0.1069919588226,-0.631542049153663,-0.730003187921069,-0.764905387771152,-0.912488913690565,-0.19150319709519,-0.835514381437379,0.00780377011672472,-0.284435821882455,-1.13759692899587,-1.13465363272989,-0.153131505300722,-0.469813958691011,0.392640171412746,2.67374222237002,2.69786741197768,2.25299845112839,-1.03808074433421,0.0406460068841345,0.391662315036363,0.561174223468791,-0.156227710423509,1.44577536061539,0.253971897825167,-0.291549693253766,-0.295198532073162,-0.297725394769542,0.0328091765761843,-0.637637841720557,0.45537740979387,-0.355910267094076
"chr9:317228-325571",-0.508417089415632,0.679102729011342,-0.256683601848055,0.527844165567022,-0.524624785860768,-0.588296009094519,-0.0796370111859362,-0.999770576524194,0.0790184627650368,-1.00030405312491,-1.04627702089474,-0.574911515772421,-0.0601679848255799,-0.402143673282171,0.0656274661554358,2.35901580364946,1.86359896300652,3.76545802016309,-0.798014213572366,-0.106872178427105,0.641206357832295,-0.506091824443366,-0.0205932589321558,-0.190535240270872,0.0565821490575356,-0.66214020594007,-0.176448996314784,-0.403308303978543,-0.217275961110185,-0.486867052823461,0.0376823665603067,-0.46575592612621
"chr12:55344274-55354852",-0.558083352367093,0.295561441152543,-0.339358671325057,0.34864878208499,-0.610475388400465,-0.764043930107653,0.0723470883968036,-0.788221883568907,-0.627761175336384,-0.71849459868902,-0.591234697182245,-0.0779208279960891,-0.145741572368015,-0.23643742079619,-0.0516753359890644,1.84732731997874,2.4639090500055,4.04678756995595,-0.724093359786811,-0.35139683170697,-0.157675550391444,-0.489742533666798,-0.199311841700052,0.0617426435500233,-0.0181176595917673,-0.335837774218137,-0.247103271757007,-0.200141996269334,-0.316029437344063,-0.369122449926264,0.160620325106823,-0.37892265974653
