"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1139966-1140650",2.18316210550837,2.28083586007422
"chr1:6507166-6508003",2.16946776119982,2.24947465463635
"chr1:6509251-6510334",1.65439843720047,1.9125527403906
"chr1:6537818-6545284",2.03673960529118,1.9864175446091
"chr1:8921588-8922846",1.64333712367237,1.56949957222264
"chr1:12057578-12058727",2.35235817800543,2.46730324457377
"chr1:16457014-16458116",1.55643874331417,1.8287845210524
"chr1:16488478-16524249",1.50195730063709,1.52992864896844
"chr1:16525849-16528177",1.87006092078387,1.57997998312255
"chr1:16539204-16542304",1.61932811371799,1.77461067098635
"chr1:17552753-17555020",1.64859411953014,2.01410214575116
"chr1:17567355-17570405",1.7974394810263,2.25729487390455
"chr1:17766320-17773164",3.02951198571317,3.40432075846905
"chr1:23823334-23832822",1.75912075655552,2.09098419259221
"chr1:23836740-23842727",1.97995480957151,2.25785775891408
"chr1:24606445-24633946",2.09499782703518,2.0844594331031
"chr1:24638582-24645712",1.95442874612661,2.30574618650305
"chr1:24676712-24680764",2.13495666248694,2.51421905608002
"chr1:26666020-26669145",1.6984778823159,1.64393729963333
"chr1:26680721-26688025",1.53505830861515,1.97854142065218
"chr1:27680521-27681575",3.27583209089916,3.35929377796485
"chr1:35248143-35250011",2.44631671594672,2.99905305116135
"chr1:41946964-41948037",2.52727643161623,2.68887611746919
"chr1:43497210-43539417",2.4001580004213,2.53329060251583
"chr1:45196942-45205390",2.41348927336538,2.57197531835868
"chr1:89726600-89727655",1.50831305251492,1.38451632502432
"chr1:109202684-109203485",2.23420926623422,2.26952592310994
"chr1:115151594-115153594",2.11239121315193,2.48375841554967
"chr1:151611695-151630611",1.61512695671946,1.73478136756405
"chr1:152005399-152006024",1.77021323331467,1.94452818843479
"chr1:152006376-152009289",1.7788171409027,2.09992969418906
"chr1:153331009-153333020",2.86265305014189,3.33526172061432
"chr1:153521066-153521404",2.25511824441996,2.66669636728119
"chr1:153526126-153533484",2.62549929017782,3.03359224369465
"chr1:153534167-153535791",2.66241691100537,3.01579153986754
"chr1:153570347-153579262",1.97480660005036,2.05770096385939
"chr1:153581920-153585328",2.19762618076467,2.47167918334055
"chr1:154948359-154949675",1.65092955843515,1.54678452111454
"chr1:154991336-154995493",1.61196656833641,1.63141407576734
