"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:996597-997488",1.70951451918184,1.83944271604978
"chr1:999046-999490",2.36077566863021,2.60478592132054
"chr1:1072590-1076105",1.94061935900513,2.320165210145
"chr1:1664383-1666029",1.78022202558014,1.49029261354149
"chr1:1824197-1846166",3.91041009417631,3.96370326143155
"chr1:2030094-2036055",1.61190099412654,1.63650833658957
"chr1:2036434-2039730",2.73481094175606,2.98242220998486
"chr1:2152277-2160034",1.56932033258791,1.90217742614283
"chr1:2345336-2357319",1.5888077959772,1.99702888571646
"chr1:3692646-3694880",1.52239323059477,1.73760654548337
"chr1:6663161-6673645",1.90992641467809,2.1456960529015
"chr1:8954310-8967352",3.02491660493325,3.09695119854394
"chr1:9685398-9711690",2.45216925271978,2.70482092825848
"chr1:9792054-9793359",1.59135221223662,1.7697135124925
"chr1:10683443-10684297",3.39877261582686,3.48326790660316
"chr1:10687520-10689488",1.68738346717284,1.53339311074001
"chr1:11786014-11796041",1.54833900761996,1.63169701321446
"chr1:11986585-11994162",1.88857062768515,1.94987301628808
"chr1:12572199-12587666",1.55620031482432,1.74701994692838
"chr1:15918974-15929484",1.7349030948115,1.89836884885332
"chr1:16155267-16160460",2.26581914473935,2.44720931571366
"chr1:16279568-16296027",1.64654039453907,1.98475004220006
"chr1:21617082-21619683",2.45483919731346,2.65708574185557
"chr1:23823334-23832822",1.81986752668612,2.15173096272282
"chr1:23836740-23842727",1.60347632218457,1.88137927152713
"chr1:23857812-23875530",2.20470088881662,2.12397960975157
"chr1:23876034-23877156",1.83602947695524,1.86742974047834
"chr1:23919402-23953126",2.43661610216579,2.62039058219537
"chr1:24102547-24104589",2.56026434990016,2.59670616147
"chr1:24106531-24111582",2.02502511713062,2.24426773686744
"chr1:24113013-24113665",3.24261126591822,3.15434435565664
"chr1:24114822-24117360",2.39694739656172,2.65214448448448
"chr1:25559093-25568628",2.85367225113264,2.86340366045731
"chr1:26238413-26261242",1.85023767975007,2.04656243817917
"chr1:26280740-26286158",1.86801906351524,1.83262127568013
"chr1:26303364-26308755",3.15075080618255,3.59016928131645
"chr1:26311119-26314622",3.65109949708565,3.74144162353443
"chr1:26398268-26437564",1.96080661796761,1.84021353525754
"chr1:26452134-26466254",2.72987588492819,2.67379144413579
"chr1:26612628-26620583",1.75452120881823,1.8964795841256
"chr1:27669863-27671264",1.51186903972039,1.79927657813002
"chr1:27852496-27856771",1.89172814574492,2.19884767695422
"chr1:27857172-27860446",2.85671095925138,3.15066151235929
"chr1:28561517-28562520",1.67207761006237,1.93396803993508
"chr1:28568064-28573000",1.74485224446437,1.73254878892686
"chr1:31989946-32037086",3.40730744279502,3.69531064095389
"chr1:32198844-32200684",1.52173710152322,1.84970818837731
"chr1:32281752-32307520",1.51101179979884,1.26200559936415
"chr1:32374661-32375539",2.93849083482863,3.029545134568
"chr1:32377527-32378482",1.97517292919106,2.01316008346798
"chr1:32404088-32408030",2.79325116579289,2.89057177168245
"chr1:32713383-32713872",1.55929454199123,1.45047181131244
"chr1:32717072-32739614",3.04904807384843,3.29763900969867
"chr1:32742874-32745082",4.19071729473181,4.48446248319701
"chr1:33613428-33623754",1.97556483719058,1.92747989386818
"chr1:33631267-33641909",1.95290831337149,2.09263941188018
"chr1:40495562-40505805",2.54249068285932,2.75569496904225
"chr1:41153457-41155952",2.13617400983861,2.29604137565497
"chr1:42314860-42330149",1.82420571273248,1.99315223758518
"chr1:45196942-45205390",1.89829541078654,2.05678145577984
"chr1:46435246-46448703",1.94432681530775,1.96077075315619
