"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:751471-752651",2.65889426671712,2.63745416336851
"chr1:1170521-1177679",2.34415614803511,2.59868465702067
"chr1:1671243-1675590",1.941033708948,1.95411435795129
"chr1:2338494-2339791",3.48818027841007,3.67231412829666
"chr1:2342412-2343730",1.97486268684541,2.11777338551373
"chr1:2345336-2357319",2.61024116864981,3.01846225838908
"chr1:8043143-8044824",1.64153355267997,1.5590651794987
"chr1:10700234-10702039",2.46175905804556,2.72559234226349
"chr1:10721555-10725040",2.74166830359552,2.86435403123386
"chr1:10754636-10764153",2.99461321510251,3.50772841680962
"chr1:10765732-10820658",2.21956155492222,2.4751776843486
"chr1:10821014-10856521",1.96677544589014,2.52023762259931
"chr1:11786014-11796041",3.24046095273636,3.32381895833087
"chr1:12557785-12566807",2.4162572995716,2.59828332267126
"chr1:14022794-14026593",2.39797918853034,2.70079724655538
"chr1:15918974-15929484",1.75149558871706,1.91496134275887
"chr1:15930221-15930977",1.73727808013841,1.57609431531081
"chr1:16076491-16083002",1.57993415073946,1.70332153981947
"chr1:19812166-19836987",1.92513400677853,1.80461460849902
"chr1:20064049-20064615",2.35832278976399,2.38702479777057
"chr1:20067534-20071925",1.53485149096195,1.41525151817381
"chr1:21672097-21674002",1.6196955487515,1.82918791260033
"chr1:23698432-23704773",2.59341051090339,2.82372017723505
"chr1:23705622-23707454",2.08064015063749,1.93126803133324
"chr1:23708067-23709826",1.91737022708776,1.94507680131455
"chr1:23714012-23720272",2.61809365665299,2.714812039465
"chr1:23720626-23723938",1.79348000929091,1.63176223245651
"chr1:23738739-23743642",2.51805201799101,2.47238817328367
"chr1:23745979-23750958",2.00366687719214,2.04737335063343
"chr1:23769228-23777872",2.36649567353887,2.29300102076489
"chr1:23782787-23805849",2.17631573740956,2.1802918929031
"chr1:24787134-24790416",1.69182771617332,1.75321643576605
"chr1:24799566-24829287",1.97756935241291,2.12105075684963
"chr1:24841157-24855845",1.97981921281572,2.23917076633135
"chr1:24857981-24859473",2.22617743647836,2.33310898517361
"chr1:26280740-26286158",1.67218862022065,1.63679083238554
"chr1:27669863-27671264",1.72600827927295,2.01341581768258
"chr1:28827257-28832355",1.85071950913729,2.10359850388046
"chr1:36759870-36762084",1.76315498140179,1.70951693379586
"chr1:37950080-37958076",2.56048643972432,2.84854812400365
"chr1:37959808-37961375",1.7959422765323,1.85820625902336
"chr1:41849362-41932508",2.17067345210905,2.50200694678302
"chr1:43736935-43737755",1.52113841065154,1.66959313978833
"chr1:43818543-43820255",1.67996018770985,1.79296881482331
"chr1:44722693-44749558",2.25561956338843,2.47481913157024
"chr1:46646936-46649005",2.63221260264106,2.92977696448882
"chr1:46651730-46654254",1.9468583269792,2.30025151083686
"chr1:47779919-47799369",2.42193777100903,2.44624634041498
"chr1:51778715-51787293",1.59169808988419,1.63723226254655
"chr1:51797118-51800325",2.69546296040216,2.93229508048391
"chr1:51985100-52001616",2.49209956057998,2.89625465745161
"chr1:52027805-52029197",3.54294493124592,3.93661951528895
"chr1:52029510-52031878",3.32052841359385,3.71562147612281
"chr1:52403184-52438982",4.3525590695198,4.42138203015593
"chr1:55341820-55349191",1.78348185481521,2.09236828217694
"chr1:59365484-59409281",1.89173711225192,2.23022139307269
"chr1:59525454-59529508",2.19465231465976,2.46568633239398
"chr1:59537223-59543604",3.04433264731114,3.32134983882882
"chr1:59553967-59597508",2.05360630619922,2.35317100008722
"chr1:65745661-65764338",1.72175041835607,1.72986229406497
"chr1:68027229-68065618",1.70967970623698,1.99906602474904
"chr1:84759234-84763949",2.02981208470021,2.3823318781277
"chr1:85954173-85960312",1.65617779140199,2.1114439171657
"chr1:85987593-86041415",1.60195229192867,1.55248775127603
"chr1:94241100-94248704",1.52255335508787,1.58226637656893
"chr1:94992836-94994681",2.05896189543621,2.17326634891816
"chr1:94996252-94997777",1.68358077481142,1.76178752667975
"chr1:94998924-95001421",1.7470561644656,2.03417641547404
"chr1:95001820-95005713",1.95018979391418,2.2485694205113
"chr1:95007456-95026270",2.48082715030133,2.76885905868589
"chr1:100502319-100503553",2.24793448728631,2.58683872744718
"chr1:109675466-109704128",2.17702517248102,2.43086657766956
"chr1:109707413-109714388",2.12655411187884,2.48967546680609
"chr1:109716559-109727567",1.95741954550827,2.17329087923783
