"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:755314-761486",1.64572172763019,1.7237792865416
"chr1:950020-955403",2.37414019313089,2.58262436166997
"chr1:1170521-1177679",1.80545105612237,2.05997956510792
"chr1:6674767-6676717",1.89863437764673,2.1320780935537
"chr1:8089517-8117205",1.97038471313739,1.8474009405259
"chr1:12679350-12698932",1.71602388652841,1.9845194980537
"chr1:13912234-13922222",2.41239557658069,2.6069141421774
"chr1:16113189-16119191",2.09833992245466,2.44657700382737
"chr1:16119880-16129465",2.16933071918726,2.38399504664344
"chr1:16477558-16481606",1.87776612665467,2.0430923654507
"chr1:19712391-19746055",1.53567667730662,1.79785873736037
"chr1:23111669-23126633",1.72569347946261,1.7877395022017
"chr1:23761211-23762116",1.98443633178082,2.08663604357343
"chr1:24114822-24117360",1.64895243830992,1.90414952623268
"chr1:25569296-25569941",2.58117714300364,2.328691075332
"chr1:25678284-25679273",1.98572428846274,1.880017229924
"chr1:26190452-26197000",1.64264540171011,1.5661628993281
"chr1:26197844-26203887",1.8387967938573,1.94772833521231
"chr1:29449113-29450268",1.99475625548701,2.14545585271254
"chr1:36657869-36680267",1.76474836125055,2.09838462733164
"chr1:43996861-44003769",3.09048442338095,3.48994869653151
"chr1:44048864-44054302",1.52008418332079,1.76228727391632
"chr1:45273057-45274054",2.31949828378909,2.45247813870167
"chr1:45276494-45277252",2.68704730260526,2.87520616643242
"chr1:45281357-45285416",2.32784206878263,2.59265196436994
"chr1:53547960-53550085",2.26377885314788,2.52771325952546
"chr1:53551274-53552755",2.32765961250302,2.62069911682038
"chr1:59553967-59597508",1.68833405641457,1.98789875030257
"chr1:78471105-78474511",1.96700657010747,2.30103421332662
"chr1:81702341-81717374",1.83237437050837,2.2092320411726
"chr1:85933443-85947864",1.98486484631604,2.36754466862421
"chr1:85948307-85953874",2.10984331337658,2.55273237854027
"chr1:85954173-85960312",1.65660628554605,2.11187241130975
"chr1:85962064-85987251",1.54423120810362,1.68794285739782
"chr1:94147485-94171548",3.70709627123425,3.82238116605897
"chr1:94497699-94502196",2.10048538447524,2.4636068731857
"chr1:94549097-94564250",2.21382556330952,2.73439728009509
"chr1:101407651-101422212",1.87353828229112,2.08834373340856
"chr1:110453784-110456781",1.94892479641987,2.14045605167359
"chr1:110467924-110468585",1.69778709216531,1.91190727088386
"chr1:110469465-110471374",2.04340580544693,2.28051784273971
"chr1:113583232-113589308",3.07214263550802,3.31043458372383
"chr1:115829528-115836148",1.6635405076942,2.00360033087499
"chr1:120279989-120281985",1.84767429477764,1.92960333016532
"chr1:150117605-150121273",1.98162963151801,2.3846191283265
"chr1:151923488-151955291",1.83662718924129,1.83435697349464
"chr1:151956759-151957534",1.83546634455951,2.02614115365077
"chr1:153662958-153665482",2.82095839265365,3.16872720119327
"chr1:153666568-153676464",3.37062015127689,3.70056472352418
"chr1:154442938-154451857",1.74968439720464,2.0371300291977
"chr1:155153197-155154228",1.66475256197908,1.89043313998013
"chr1:155155438-155156173",1.50491523013125,1.58626062602941
"chr1:155162807-155164868",2.66353138571121,2.84098921219459
"chr1:159019489-159021369",1.76677048551354,1.83139168094089
"chr1:161970231-161975987",1.6324151449381,1.92837386620418
"chr1:162625264-162674742",1.97956341443065,2.35551221267861
"chr1:179052288-179054407",1.68922320360794,2.06289740668645
"chr1:179055128-179056946",2.02000731802744,1.99236449767896
"chr1:179057731-179060700",2.25556441022406,2.33512925681468
"chr1:183567481-183580226",2.08361328074436,2.13049971465956
"chr1:183861395-183866842",1.53810090851454,1.71586112379487
"chr1:183876335-183881116",1.62142423313032,1.87450616978982
"chr1:204364002-204372415",1.59306095351191,1.49630557955176
"chr1:204399266-204400368",1.72361360487199,2.04270934058126
"chr1:206581491-206589149",1.59221427959642,1.87798848320968
"chr1:206629607-206631617",1.66092300078284,1.86352055151699
"chr1:208383907-208389980",1.61041489252492,1.39914151769984
"chr1:211538951-211542171",1.64819479054265,1.9534528991506
"chr1:214531493-214537755",1.6543465845198,1.46475544405624
"chr1:214538118-214542700",1.61746268057742,1.51773271722481
"chr1:218520489-218536576",1.8094582523694,2.20871980252104
"chr1:218536859-218578411",2.03705937044586,2.36939175909035
"chr1:228129484-228135394",3.26274032554038,3.48620160317375
"chr1:228322938-228327563",2.04895286600457,2.04442447876596
"chr1:228337808-228345341",2.20907329196636,2.5617884526611
"chr1:228683567-228689007",1.78329333599906,1.72988101306702
"chr1:228912712-228993657",2.40961903075291,2.21917329615608
"chr1:236705110-236705531",1.89265005914568,2.00174498808385
"chr1:236708601-236711212",1.70063122397798,1.90590064393574
"chr1:243418750-243419220",2.18852149875321,2.48134511282778
"chr10:3978105-4025836",1.52665420593718,1.73375188124989
"chr10:5991303-5994234",1.51346949442303,1.54591328871819
"chr10:10826732-10828508",2.77604265637495,3.09921246857807
"chr10:10837043-10894782",2.19728383365205,2.33110439936819
"chr10:12621247-12653030",1.9514605610047,1.99119096540627
"chr10:13853008-13900747",1.59633201619022,1.48629035833031
"chr10:20206739-20290604",1.78734752331742,1.85175385876508
"chr10:30701287-30722766",2.37543117900539,2.29356418599173
"chr10:30723777-30726005",2.31589305248262,2.48592146298513
"chr10:30726435-30727651",2.57958588137156,2.8486945058164
"chr10:30740773-30746913",2.33313873216107,2.70288539893401
"chr10:54077902-54096746",1.92199902776584,2.00415382808513
"chr10:69835205-69865812",3.2442688030706,3.2816429323128
"chr10:70106581-70107924",1.51779446109985,1.60552871187817
"chr10:73512859-73515016",1.84273493437459,2.10161715828559
"chr10:73515323-73517235",1.86025538843202,2.06264522405015
"chr10:73517487-73520139",1.54469684870891,1.76844227953667
"chr10:73567864-73569477",1.59892290052775,1.79278747885104
"chr10:73830284-73831802",2.49570609415652,2.92867469993541
"chr10:73832768-73845884",2.54257305908931,3.06184450900408
"chr10:81892682-81901738",1.9243383829638,2.18738290742591
"chr10:90751483-90762686",1.78241467526438,2.00947889847671
"chr10:91100828-91102149",1.87506272496376,1.86199547775617
"chr10:99475842-99476851",2.33079919996608,2.39893846941305
"chr10:99478007-99487041",3.12677282269903,3.20720038743473
"chr10:105207425-105208771",1.78585619506155,1.91259893964048
"chr10:124204745-124214069",1.96131823793391,2.37242628457553
"chr10:124249242-124266107",1.6466395491481,1.9853220475364
"chr10:124269769-124271386",1.54850858803851,1.8714788563395
"chr10:127502475-127503503",1.57928014482178,1.74609294268858
"chr10:128245733-128335034",3.53766563171922,3.57422375159197
"chr10:133849142-133881318",1.83010142016509,2.26828926857496
"chr10:135061495-135075807",1.63145744341556,1.90249312253107
"chr11:311241-313406",2.78376458845244,2.99449529433648
"chr11:315372-318540",2.57658237656407,2.48063893778839
"chr11:2006971-2010956",1.66980877358242,1.71019724242482
"chr11:2029906-2037466",2.0859005455519,2.28696623372393
"chr11:5626897-5629502",2.06805223147646,2.26544145348027
"chr11:5629724-5631275",1.50091262926294,1.65994724342366
"chr11:6341977-6349696",1.69537029024189,2.03321702279252
"chr11:7532708-7533254",4.16098364165076,4.33273020789609
"chr11:12160111-12174671",1.918527168883,2.14957690325497
"chr11:12235057-12237666",2.16894008256962,2.46958268306301
"chr11:12238040-12241648",1.5854042827188,1.70633622702692
"chr11:12248840-12257624",1.82460004676538,2.14284213342526
"chr11:12257892-12260883",2.03863704596781,2.30902342514452
