"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1058966-1072297",2.0607304819918,2.44709459814786
"chr1:1072590-1076105",2.73549611320475,3.11504196434462
"chr1:1738077-1747095",2.52651516758026,2.88479871945047
"chr1:1749925-1756327",1.56104967541198,1.694216024526
"chr1:1763824-1770529",2.20414205988554,2.46325589497712
"chr1:1771221-1821703",1.58524722721255,1.80969206121884
"chr1:3392726-3394339",1.5659549818432,1.74469526550533
"chr1:6378738-6387259",2.51721720109654,2.89950909063339
"chr1:8586198-8596041",2.562940012885,2.91351562656723
"chr1:9354753-9411390",2.44815335686857,2.58087478692775
"chr1:9752104-9770156",1.71287466708614,2.00626921320255
"chr1:10119806-10131986",1.51422607589231,1.65552740650088
"chr1:10197363-10204898",1.56051401758801,1.69207482934058
"chr1:10211719-10218312",1.95118984007045,2.34296269138789
"chr1:10223532-10226202",1.53513424607763,1.88218530195937
"chr1:10412894-10419745",1.90572974975022,2.33684155532517
"chr1:10555478-10576985",1.75880887448238,2.04867970159218
"chr1:10765732-10820658",1.94433996508851,2.19995609451489
"chr1:10821014-10856521",1.80030808455687,2.35377026126604
"chr1:12254775-12261924",1.90409404801996,2.12131468884443
"chr1:12262328-12266697",1.94720861742908,2.27832723252806
"chr1:14042209-14057395",1.8457679384472,2.22730361108779
"chr1:15480550-15490740",3.47708061248447,3.79452254682045
"chr1:15491057-15494870",3.21832286744377,3.52162765225904
"chr1:15497913-15518224",3.65487211050795,4.02828415104361
"chr1:15519441-15536886",2.79117001121833,3.23453643700887
"chr1:15537158-15541291",1.70624119377571,1.98332312226215
"chr1:15736875-15752267",2.57780236366712,2.89934920884665
"chr1:15902687-15904080",1.59370220833612,1.8276853943101
"chr1:16085443-16090888",2.95312819547236,3.38128007292808
"chr1:16097173-16101013",1.92469428637069,1.94519104491266
"chr1:16101837-16103410",1.71368083699961,1.66773287391027
"chr1:16236076-16237292",2.44676975723932,2.81248197733829
"chr1:16465025-16472818",2.10894815637117,2.63950811379111
"chr1:16473045-16474773",1.97814147998274,2.14961384755148
"chr1:16486021-16487896",1.89893086948907,2.10705741407256
"chr1:17828577-17866230",1.80822827994934,2.23155588381947
"chr1:17866545-17906948",1.51543401156674,1.86970397709756
"chr1:17907227-17913855",2.71390536144461,2.92946921231728
"chr1:17961611-17964283",1.65453234566733,1.6906491788027
"chr1:17966897-17974949",2.43974968793395,2.55864301688416
"chr1:17991190-18013968",2.05104395375158,2.39912577620883
