"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:755314-761486",2.31466793259075,2.39272549150217
"chr1:1554787-1558402",1.60059969930332,1.69593363138014
"chr1:11867347-11875803",1.53983162473921,1.50304721938589
"chr1:15256640-15272315",1.86194868223241,2.05743624947357
"chr1:15656655-15660562",3.5573028010102,3.72246051954857
"chr1:15662060-15665877",4.25689413330286,4.52973934399598
"chr1:21896967-21900058",1.68113586500034,2.15480485211723
"chr1:23738739-23743642",2.09591904346163,2.05025519875429
"chr1:23761211-23762116",1.73736934129206,1.83956905308467
"chr1:26150339-26152023",1.75712255012451,1.99897117344961
"chr1:26153417-26155900",2.84548298763393,3.19158025435983
"chr1:26159532-26160397",2.40888082014718,2.48627699559616
"chr1:26350363-26355584",2.23875766903631,2.55379014109337
"chr1:31834722-31836779",1.88975307331664,1.68195490665595
"chr1:31842537-31845689",1.70487096327527,2.04843123920148
"chr1:31846023-31849103",2.41414749404966,2.65994440478887
"chr1:33858466-33895682",1.80480641770263,1.9933607836326
"chr1:45281357-45285416",2.04810560371959,2.3129154993069
"chr1:55320007-55330876",3.56241211293112,3.92582573416198
"chr1:55331219-55336923",4.02192796029672,4.23770365259159
"chr1:55341820-55349191",3.12012364541583,3.42901007277755
"chr1:77886171-77904996",2.08617143204012,2.30964648899014
"chr1:92149514-92160947",2.49017527457391,2.84788455580579
"chr1:92163787-92174120",2.11170202947249,2.57654942844418
"chr1:92351887-92358240",2.80748201110754,3.05290261247784
"chr1:95427089-95428381",1.84361835124304,2.21833074230313
"chr1:95428926-95439863",2.54215720877389,2.75753705022935
"chr1:100135479-100148722",1.64214359282184,1.84185653680567
"chr1:100155733-100159475",3.42241415656398,3.49531624174005
"chr1:162625264-162674742",2.10509675566803,2.481045553916
"chr1:198954629-198975069",2.71904835617165,2.63069871592357
"chr1:201096412-201103800",2.20712489456927,2.55508121437478
"chr1:201861534-201862870",2.09008712053423,2.10276569557155
"chr1:201867626-201868201",1.61153721245346,1.78178145680001
"chr1:205351372-205353316",4.43216398599234,4.81573772803874
"chr1:212733173-212738576",1.55163421845589,1.57159686859122
"chr1:219595400-219608394",4.02766343578596,4.37282027990072
"chr1:219610615-219615814",2.40420808327342,2.65579056736285
"chr1:226019964-226026255",2.29670725854356,2.43203005673258
"chr1:227162880-227165005",2.07898507892227,2.27745509519953
"chr1:228544145-228547198",1.54920042656052,1.51604488573296
"chr1:228549051-228550177",2.10319907318882,2.42164196177712
"chr1:228550556-228552582",1.99822316780524,2.4287238354056
"chr1:228642966-228644965",2.30975570216306,2.4817097304025
"chr1:228646359-228649675",1.69009482381891,1.80562732004819
"chr1:228666434-228674662",1.53676204936284,1.70552067854637
"chr1:228676857-228680654",2.02183404869005,2.18962749127561
"chr10:1082933-1085748",1.76295459665554,2.0922557285279
"chr10:1090238-1094104",2.18436641543474,2.31974061115961
"chr10:21567370-21587911",1.60215388091903,1.64069813137129
"chr10:27529879-27530888",2.133648835511,2.39157026707346
"chr10:27531159-27531959",1.8424275527264,2.1418192777234
"chr10:29748229-29751106",1.99981140020901,1.92292178779913
"chr10:29756904-29757749",1.8854671069956,1.85328423216731
"chr10:29764520-29768990",2.06592329880352,2.08944996260626
"chr10:32217842-32251160",1.9039688644006,2.26888931204965
"chr10:52385051-52386310",1.68660194514925,1.94185489226965
"chr10:73580192-73581533",1.6282891550553,1.72914940078469
"chr10:73638965-73657260",1.50910465247087,1.61364799483443
"chr10:73857308-73861992",1.56654830286737,1.57202739729647
"chr10:74115088-74126998",3.32842615267783,3.54031237669115
"chr10:76980890-76981910",1.86390247909003,1.79244026128018
"chr10:77164142-77166913",1.69151737712707,1.93240446755727
"chr10:79536913-79539995",2.60037346038458,2.55361310286453
"chr10:79543739-79550319",2.59984475020366,2.47283480123512
"chr10:79584588-79588540",3.16524187932917,3.26955567391513
"chr10:79629468-79649087",1.56223290632865,1.86699342835067
"chr10:81109891-81111143",2.32907977680632,2.41519909539891
"chr10:81112248-81113301",2.10236433478459,2.25516096988889
"chr10:90668634-90670573",1.51605813815745,1.81197105927794
"chr10:90670868-90672013",1.51305789904131,1.77233835428488
"chr10:90676674-90680940",2.24499795518963,2.68469670536321
"chr10:90683344-90692300",1.80315863270455,2.24720368719973
"chr10:90712630-90732839",2.06544034934019,2.38465237121623
"chr10:91038360-91043422",2.2257061769829,2.6187030992583
"chr10:91087935-91092141",2.55229449264167,2.9393863982556
"chr10:91092484-91094993",2.46250778177465,2.8569579052649
"chr10:93390723-93392613",2.05994716697243,2.30925621317141
"chr10:102764023-102765115",1.65818012086538,1.59381092092494
"chr10:105615401-105637032",1.56020802558516,1.85668116644181
"chr10:126094598-126095772",1.54254626276887,1.39695621447259
"chr10:127760323-127779205",3.59206454200736,3.68855126186366
"chr10:133784574-133786438",2.82670357236722,2.99309757518843
"chr10:133787547-133793861",1.58130081730259,1.75097022416058
"chr10:133849142-133881318",2.00793776595017,2.44612561436004
"chr10:134195110-134210572",2.02099521888082,2.35372524034301
"chr10:134210955-134218030",2.94346985560547,3.03493787748947
"chr10:134219893-134230465",2.54678692451882,2.51893842446406
"chr10:135061495-135075807",3.02223530395906,3.29327098307458
"chr11:1863010-1874100",5.1636837648488,5.46944868494063
"chr11:46140451-46141175",1.51705626879365,1.70282762020578
"chr11:47208094-47212632",2.60989015770362,2.70222625701248
"chr11:59303935-59326173",1.71152456603329,1.70876877719378
"chr11:60677314-60680538",1.57432687799197,1.40695003649673
"chr11:61564945-61566999",1.78829996697074,1.91193549808695
"chr11:61574296-61578099",1.81099416209161,1.95111915584826
"chr11:61608297-61613963",4.11797190523932,4.12848216512284
"chr11:61617372-61621559",2.47432745608586,2.69496103373009
"chr11:61625102-61629345",2.48149880649641,2.74276086135725
"chr11:61634926-61640891",2.179772102159,2.4784442784363
"chr11:62644553-62647794",2.19149554476867,2.49588767142573
"chr11:64085958-64087106",1.7067181304954,1.79451538248042
"chr11:64516460-64517748",3.08420917582798,3.38883085992776
"chr11:71139998-71145360",2.19362154109717,2.36115211353102
"chr11:71147119-71148758",2.85716763606554,2.97135115177004
"chr11:71160031-71162636",1.64933145244261,1.45133472040103
"chr11:72284373-72287085",2.47463489863272,2.82945908874553
"chr11:77897962-77899470",2.42597266767383,2.3884205503809
"chr11:77925857-77926243",2.8970199463652,3.07615173889991
"chr11:77931590-77932623",2.46020381470566,2.56900317825407
"chr11:77933341-77934358",2.9373786065145,3.1697521092664
"chr11:77934822-77936054",3.37152161947218,3.46203594049444
"chr11:94879268-94883603",1.56686527901435,1.95984316006872
"chr11:112100327-112100717",2.23786320190772,2.39621851631133
"chr11:112101505-112103786",2.30546496988991,2.33197687979633
"chr11:112104796-112105994",1.97934587641983,2.17404040096746
"chr11:114149754-114166447",2.07082172199986,2.54676282408437
"chr11:120096604-120097425",2.26704189235685,2.60115492352321
"chr11:120097805-120099019",2.31271869054979,2.76908219058988
"chr11:123331218-123396244",4.11488779180095,4.38326222180009
"chr11:123396979-123430870",3.24587719802373,3.38183111647031
"chr11:123455140-123464690",3.73286399010964,4.09694880819214
"chr12:1870246-1881780",2.21407293356529,2.47836807836515
"chr12:1893339-1895010",1.55661680189185,1.67234782345683
"chr12:2055552-2058152",2.6275710825488,2.55397276310841
"chr12:2100512-2101560",2.63014529606462,2.60606448223028
"chr12:2102657-2107001",2.23433286942695,2.25560665935801
"chr12:4384331-4385071",1.50587166591015,1.75995306479528
"chr12:6644735-6645560",1.6072772376516,1.42971657501862
"chr12:6650908-6652570",1.58100425432915,1.87336372838662
"chr12:7037647-7042903",2.15030662831213,2.41110155218585
"chr12:7048440-7049943",1.90402165641253,1.98287240080846
"chr12:7075763-7076094",1.72176680577398,1.79189102583177
"chr12:10526835-10530631",1.62398700903182,1.83125338227722
"chr12:10534881-10539402",2.70132411906866,2.9636956710384
"chr12:12659221-12672696",2.32804181123014,2.48618662566419
"chr12:13128513-13130257",2.75474433305298,3.00995577873949
"chr12:13130611-13131775",1.81860712007761,1.80995467395181
"chr12:16513477-16516629",1.70810674566047,1.88141371917544
"chr12:16517443-16520159",1.51520212682482,1.87796297011366
"chr12:21789196-21789905",1.80193928074974,1.852359206808
"chr12:21795159-21796379",1.70407596831797,1.82499338434739
"chr12:26148163-26164569",2.21124055301611,2.28589370892128
"chr12:26986231-27043446",2.26356934706286,2.13203030625186
"chr12:48231781-48235220",1.97939333529858,2.1633044677776
"chr12:48529266-48531040",2.956789687914,3.24935842071787
"chr12:48540287-48541471",2.1566061913719,2.49939777117368
"chr12:48545548-48547051",2.13871351305832,2.16816850099647
"chr12:48547808-48550805",1.90472625439882,1.97600632688452
"chr12:49583207-49602229",2.25650492365493,2.19407087679505
"chr12:49944212-49948020",1.52032784663037,1.87258780498146
"chr12:50018053-50024227",1.61713573941354,1.79152612162079
"chr12:51034735-51048694",1.61234406550912,1.55208449086368
"chr12:51665246-51669542",2.32444387773174,2.57257217364204
"chr12:52467787-52470470",1.65194987734815,1.57588557579953
"chr12:53869954-53873090",1.84350666638814,1.87794666727383
"chr12:54790260-54790955",1.52194313619989,1.6938898778129
"chr12:56110889-56112775",3.31177514890361,3.51604092055982
"chr12:56401618-56404820",2.47171208856042,2.57168873530167
"chr12:56417648-56418346",1.78178539751259,1.98563650739022
"chr12:56722525-56726418",1.82479745739683,1.94068042271919
"chr12:57505316-57507416",1.59166609801363,1.85978761845326
"chr12:57911636-57912846",2.52268359303905,2.74661703337958
"chr12:57913142-57914101",1.75771188889687,1.80446028655159
"chr12:64553135-64579996",1.71900775095415,1.9687928123303
"chr12:64581532-64584073",1.92064245222801,1.88460562179634
"chr12:65091447-65107125",3.45817218012718,3.53982035015721
"chr12:65110699-65113702",3.31873347267732,3.3923753258037
"chr12:68717278-68718685",1.62477808678843,1.88941039234395
"chr12:69265836-69279472",2.16755440548911,2.37567283440125
"chr12:69327082-69350086",1.98927825712636,2.18911593695122
"chr12:75889542-75890584",1.58992821295289,1.47986236925971
"chr12:89920139-89933579",1.53733665898266,1.47960288099972
"chr12:92530897-92534715",1.86520152121982,2.0822391809214
"chr12:93754200-93771113",1.66230926828641,1.68326201950081
"chr12:94132512-94184365",2.66231499014524,2.99387435600256
"chr12:94184632-94208812",2.30331885440539,2.5063829012974
"chr12:96155967-96180617",2.69614968606892,2.79314099374344
"chr12:98897733-98906651",2.61398304361088,2.98960714402082
"chr12:100877657-100886181",1.92344383433298,2.00488595990138
"chr12:102124514-102125246",1.84756025789393,2.08110927851928
"chr12:104659769-104670283",3.42661446260422,3.70496276469907
"chr12:104740033-104742031",1.75597160283236,2.13810127550893
"chr12:106641866-106646240",1.50822562299407,1.56576964505979
"chr12:106724049-106729317",1.80386211010094,2.19243629681207
"chr12:106734876-106739964",1.96413483064098,2.08155246381794
"chr12:108958268-108958675",2.40290334044924,2.40881676332501
"chr12:108959307-108960866",1.89874220231781,1.98641696246124
"chr12:109541516-109542801",1.96665188707549,2.06986585171005
"chr12:109543120-109547534",2.52709696417127,2.54133490520812
"chr12:109554609-109562966",2.048412822952,2.49514874879164
"chr12:109563499-109569063",1.85762674785822,2.19250169695175
"chr12:109577963-109592387",1.67056110079469,1.89582309431539
"chr12:109610261-109611837",2.35088804979231,2.64098851230493
