"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:840437-846715",2.61234845286511,2.91970997297359
"chr1:861506-863155",2.1774671505759,2.52408650346333
"chr1:863361-865435",2.32040873021999,2.5231803418391
"chr1:866569-869433",2.06207533806562,2.27716286227859
"chr1:1164426-1167172",1.81357933301887,1.91793546316852
"chr1:1574052-1575538",1.68351086082382,1.62397920359121
"chr1:2118745-2120883",2.23366012935653,2.46835820566707
"chr1:6420867-6434808",1.62600952547064,1.51124154895962
"chr1:8904227-8920961",2.06468253152492,2.19075341600433
"chr1:10690915-10696561",2.13170689010816,2.44233866123486
"chr1:11867347-11875803",2.21854382445589,2.18175941910256
"chr1:12015050-12016874",1.53192939178525,1.62380399917672
"chr1:12035695-12040138",2.12755739190541,2.31510567451627
"chr1:22095168-22108251",1.80371666395995,1.77884062713356
"chr1:23111669-23126633",1.81008674156345,1.87213276430254
"chr1:26666020-26669145",1.92013901259928,1.86559842991671
"chr1:27976221-27986739",1.63877551648021,1.67402780774489
"chr1:27989333-27992472",2.73327679946616,2.93011082548783
"chr1:28218858-28220423",1.5517463627266,1.58337639236041
"chr1:28837504-28843137",1.86972711643817,1.9064313656848
"chr1:32115072-32117350",2.59037338656146,2.61356429407336
"chr1:32134556-32135312",1.5673890901029,1.63053575511067
"chr1:36657869-36680267",2.18640862356346,2.52004488964455
"chr1:38465204-38470929",1.54707521041552,1.73624655043523
"chr1:39541434-39546888",1.5364563100742,1.60074029479138
"chr1:39726312-39734037",1.53325833972055,1.56579299032058
"chr1:41098953-41101488",1.70895316020211,1.89972924612953
"chr1:41113614-41130966",2.50831261286042,2.79317731873508
"chr1:41806110-41827494",1.56652235381389,1.67234352863077
"chr1:44483112-44489820",1.73711503700366,1.9519105753744
"chr1:44722693-44749558",1.52618317733711,1.74538274551892
"chr1:45196942-45205390",1.67829383769783,1.83677988269114
"chr1:49214639-49224472",2.22912018794768,2.22776597980517
"chr1:54692933-54693828",1.81825548055166,2.03335007230316
"chr1:55680886-55683434",2.40470870094803,2.54646054825263
"chr1:59755412-59762210",1.79583924532577,1.87682732042557
"chr1:61554452-61590305",1.7998655263167,2.02973886745718
"chr1:61719282-61743092",1.96434681764923,2.05854939647013
"chr1:85156586-85189166",1.75047938854209,1.84870757457739
"chr1:85666829-85696722",1.50914891788035,1.55437641470049
"chr1:94549097-94564250",1.90584201220643,2.426413728992
"chr1:101546269-101547910",1.90788524780796,1.97947266457294
"chr1:115153838-115160907",1.88911048549073,1.90993666133541
"chr1:115829528-115836148",1.765000367758,2.1050601909388
"chr1:115836471-115880725",2.18808511162917,2.6373648676333
"chr1:117221395-117236634",1.90415903766259,1.6759930651403
"chr1:119485933-119530114",3.30503137798528,3.47783590300279
"chr1:119544128-119554897",1.93525116106203,2.25374400307197
"chr1:120272794-120276827",1.74134506807439,1.67782106338819
"chr1:150132360-150136292",1.5416431088017,1.73261600453183
"chr1:151112666-151114880",2.8126277703908,3.14780008469781
"chr1:151167897-151170325",2.39611828777237,2.56978047655265
"chr1:151252834-151253919",2.79085386395002,2.82343489190067
"chr1:151276226-151278512",1.88424870302449,1.95354158902115
"chr1:154904991-154908967",1.79893842122759,1.72751843849583
"chr1:155036512-155039106",1.61130499077988,1.71434379468
"chr1:155155438-155156173",1.60494058390708,1.68628597980525
"chr1:155917906-155919960",1.6820634323698,1.6818473595083
"chr1:155955340-155958925",2.55416091930382,2.65943531752571
"chr1:156053504-156060162",2.55898385589654,2.76113323448138
"chr1:156060988-156063400",3.01955710412891,3.21191526110216
"chr1:156063702-156076349",1.58331996883317,1.88059577948133
"chr1:156076714-156079204",1.89302639561693,2.14634298293837
"chr1:156079637-156084361",2.3005664379745,2.48604984093997
"chr1:156670944-156675069",1.8917408517978,2.24051404800685
"chr1:161933960-161952882",2.19188191501052,2.34478294681209
"chr1:161955122-161967515",2.1492821482432,2.46754722703326
"chr1:161970231-161975987",1.68349671396945,1.97945543523553
"chr1:162625264-162674742",2.33661728904353,2.7125660872915
"chr1:164715169-164738253",2.09851872478724,1.95660485538404
"chr1:168473503-168509903",1.76508410284046,2.14782081776916
"chr1:168513335-168527528",2.36304316920761,2.83232913395395
"chr1:170633700-170636422",2.56573153482316,2.8648098582623
"chr1:170638666-170688767",2.8756977588281,3.11838435271377
"chr1:170691909-170695261",2.88394021677815,3.31172054511202
"chr1:172108147-172109361",3.06302510083719,3.08670040892492
"chr1:172109836-172111176",3.7215872991983,3.96112194120845
"chr1:172111453-172113405",3.33160653759127,3.62458662702011
"chr1:174978133-174978959",1.61450717547649,1.48654959669536
"chr1:180910521-180913078",1.86476323636081,2.00456062383324
"chr1:180924123-180933547",1.86881327212992,1.89073600369638
"chr1:180949968-180953713",1.80462399857932,1.49885472805985
"chr1:182224276-182282525",1.53829975756616,1.59324791321044
"chr1:193029513-193038046",2.04777793393751,2.25876032046489
"chr1:201085105-201096112",2.08359952835733,2.08537302776092
"chr1:201096412-201103800",1.8447738327018,2.19273015250732
"chr1:201105043-201108066",2.37350838160622,2.38778413692041
"chr1:203040988-203044605",1.56685990650643,1.88904657865074
"chr1:205326318-205342280",1.91157931525705,2.17302599940053
"chr1:207475352-207481712",1.90353573596269,2.11629750313936
"chr1:210464132-210476674",1.89375414283186,1.82733919751521
"chr1:213126233-213134408",3.72901948474649,4.12103952623642
"chr1:214588169-214625048",1.86826531633705,1.92919732847684
"chr1:214638400-214656056",1.59288137755647,1.59969249151443
"chr1:214725892-214758772",1.75019583180958,1.65414089021622
"chr1:218536859-218578411",2.7482145811268,3.0805469697713
"chr1:220308288-220310051",1.64709732350521,1.72644601226085
"chr1:225829809-225840288",2.67417374924043,2.95230678937482
"chr1:225840944-225854785",1.78591947320222,1.64111102792086
"chr1:227954884-227958172",1.57083528775591,1.63044824389278
"chr1:227969027-227994366",1.78335020486341,1.8284835564361
"chr1:228370058-228391107",1.66514052200917,1.74039077572704
"chr1:229825751-229834579",2.72506982418893,2.80182202867577
"chr1:231005435-231010492",2.55838326711501,2.78150127481773
"chr1:231011411-231013248",2.14839501696331,2.47047896815686
"chr1:234867490-234915704",2.91294663752409,2.86332314756172
"chr1:235493919-235498457",1.98197030946169,2.01473488429712
"chr1:236705110-236705531",2.01280632392179,2.12190125285996
"chr1:236850199-236881058",2.10165502571856,2.10623566971578
"chr1:245028674-245033998",1.63844647967077,1.49857532001784
"chr1:247495248-247500538",1.83760069145598,1.68021381760895
"chr10:979155-988027",1.94186039406124,1.95949491389716
"chr10:1095681-1102244",1.6781137563047,1.74202682915085
"chr10:7528871-7567677",1.88408414946435,1.78671980468353
"chr10:8391599-8442723",1.53640083123401,1.24573827830014
"chr10:12292688-12303570",1.89234336321909,1.99477764848878
"chr10:13718090-13724421",1.83978672117395,2.01186003006235
"chr10:21814711-21822994",1.55946370350013,1.89330706856271
"chr10:28378870-28408480",1.56509995620692,1.78474479294158
"chr10:29813744-29815790",1.79083992074984,1.81805723250461
"chr10:29947097-29959811",1.60872573315965,1.6327315626927
"chr10:30025810-30036073",1.72738738918939,1.66152144017439
"chr10:30318895-30336361",2.08716483744549,2.40483040878977
"chr10:31355076-31395163",1.51996133615777,1.71949497390119
"chr10:33252311-33271369",1.72243574574648,1.74917186291714
"chr10:51583039-51584516",1.5762010452639,1.52275997479689
"chr10:51592719-51593204",2.37064389888463,2.39803751225351
"chr10:62191733-62267159",1.66667261059115,1.62531130944714
"chr10:63984174-63995725",1.75259863399234,1.72201903717984
"chr10:63996122-63997816",1.69171770833131,1.69903173640206
"chr10:64001054-64005658",2.10143641880169,2.19367596138027
"chr10:69882197-69902597",1.92200189875392,1.61862732551231
"chr10:70962899-70967432",1.50887550791601,1.54221679813722
"chr10:72328305-72357004",1.78982875000434,2.09513358297423
"chr10:72408994-72432459",2.26889187164247,2.56813789104083
"chr10:73338443-73375161",1.61112938905583,1.72224276443313
"chr10:74853675-74856424",2.30056743032626,2.5160911705779
"chr10:75540109-75541705",2.15549975259696,2.28369022200464
"chr10:79496575-79536609",1.52240790601676,1.27336688426159
"chr10:88466576-88469562",2.16830693287848,2.33352490280376
"chr10:92668412-92671753",1.92153116000207,2.05123947550382
"chr10:97488503-97512863",1.52131352716294,1.65459197293251
"chr10:99166991-99178893",1.66391868128176,1.69750180014398
"chr10:102764023-102765115",1.50599439651121,1.44162519657078
"chr10:105200707-105201483",2.57814818933935,2.53258992014984
"chr10:105207425-105208771",1.62033120636602,1.74707395094495
"chr10:112404503-112516114",1.71830777264516,1.54495091671009
"chr10:119305427-119307476",1.57002998850207,2.12210728831865
"chr10:125602104-125622030",2.61078180042695,2.69888251765109
"chr10:126849839-126855146",1.90129922309954,1.98645630618061
"chr10:127508491-127511498",2.03364571577569,2.35518446935599
"chr10:127738338-127753164",2.00077038258042,2.05839676050716
"chr10:128245733-128335034",1.51539364220149,1.55195176207425
"chr10:134137977-134143685",1.64318924075528,1.79832079218976
"chr10:134144089-134144840",1.81026825029263,1.89822248927558
"chr10:134146140-134146680",1.53546514783823,1.54902696653478
"chr10:134336053-134351224",2.08893434639802,2.30346953343488
"chr10:134545858-134562207",1.95812022528534,2.1135891409216
"chr11:2029906-2037466",1.50781284678659,1.70887853495862
"chr11:2610184-2621598",2.11711373269578,2.24177184366781
"chr11:12020426-12023122",1.56106450394395,1.71039133877572
"chr11:27215607-27238599",1.52539616977979,1.74425554056678
"chr11:34065841-34073130",2.72958343957828,2.94207611121655
"chr11:45204774-45226162",2.05804679149342,2.28772867968356
"chr11:47208094-47212632",1.56393258408926,1.65626868339812
"chr11:57408859-57412460",2.48021601145254,2.82278468655458
"chr11:62328026-62334178",1.58126468622593,1.49781906362035
"chr11:63595290-63602039",2.12792744663201,2.37204359303577
"chr11:65236062-65265133",1.67091918565417,1.80881060579359
"chr11:66412314-66413398",1.58186727284067,1.45029639881075
"chr11:66639730-66675192",1.58786689025492,1.40230510904893
"chr11:76479367-76493195",1.74340946743213,1.89500495417718
"chr11:77861364-77878127",1.50657697399317,1.78557399707827
"chr11:103456538-103513834",2.25996569658817,2.13189468394893
"chr11:111407856-111410905",1.70861877781145,1.91779683636358
"chr11:111688363-111699479",2.04543042789813,1.94561445412096
"chr11:115127711-115137680",2.00314501281233,2.00092515721556
"chr11:119295795-119315601",1.57894188147302,1.71950462754436
"chr11:122051208-122073372",2.43576049417296,2.85248546873931
"chr11:122074403-122104870",1.79535858586076,2.02137589125441
"chr11:122934038-122942935",1.6642648705076,1.72498675002189
"chr11:128464623-128484135",1.62727224231258,1.82572742624037
"chr11:131608201-131640589",1.91046925313641,1.973529576123
"chr12:793393-861659",1.62562618616079,1.8636022166779
"chr12:2129798-2157418",3.10857164498416,3.26603835487064
"chr12:3154216-3180598",1.92850330304629,2.14706526033944
"chr12:5274258-5311912",2.25054668012621,2.61509920921788
"chr12:5538578-5541178",3.0932644938914,3.45169802021735
"chr12:7075763-7076094",1.71818292236491,1.78830714242269
"chr12:19584033-19592508",2.01042372407494,2.15322296960163
"chr12:19593761-19594685",2.71873695112513,2.86690397197384
"chr12:20523296-20602489",1.98149159105963,2.3870683663243
"chr12:20603117-20662604",2.28316103885195,2.4316134090221
"chr12:25057715-25098265",2.11787740994895,2.42681866276757
"chr12:26174551-26205397",1.80834987919676,1.64530849541191
"chr12:46384467-46385568",1.53935270896507,1.80413802903228
"chr12:52317245-52321684",1.54423325321118,1.72704294628529
"chr12:56405621-56411807",1.75723157875458,1.9818806096081
