chr,start,end,SE_ID,eRNA_count,TCGA-BF-AAP0_tumor,TCGA-D3-A1Q1_tumor,TCGA-D3-A2JB_tumor,TCGA-D3-A2JL_tumor,TCGA-D3-A3CE_tumor,TCGA-D3-A3MV_tumor,TCGA-D3-A51N_tumor,TCGA-D3-A8GN_tumor,TCGA-D3-A8GR_tumor,TCGA-D3-A8GV_tumor,TCGA-D9-A149_tumor,TCGA-D9-A3Z1_tumor,TCGA-D9-A6EC_tumor,TCGA-DA-A1HV_tumor,TCGA-DA-A1HY_tumor,TCGA-DA-A1I1_tumor,TCGA-DA-A1I2_tumor,TCGA-DA-A1I5_tumor,TCGA-DA-A1IA_tumor,TCGA-DA-A3F5_tumor,TCGA-DA-A95X_tumor,TCGA-EE-A183_tumor,TCGA-EE-A20B_tumor,TCGA-EE-A20H_tumor,TCGA-EE-A29B_tumor,TCGA-EE-A29E_tumor,TCGA-EE-A29L_tumor,TCGA-EE-A29M_tumor,TCGA-EE-A29T_tumor,TCGA-EE-A2GL_tumor,TCGA-EE-A2GM_tumor,TCGA-EE-A2GN_tumor,TCGA-EE-A2GP_tumor,TCGA-EE-A2GR_tumor,TCGA-EE-A2GT_tumor,TCGA-EE-A2MJ_tumor,TCGA-EE-A2MR_tumor,TCGA-EE-A2MS_tumor,TCGA-EE-A2MT_tumor,TCGA-EE-A2MU_tumor,TCGA-EE-A3AH_tumor,TCGA-EE-A3JB_tumor,TCGA-ER-A19W_tumor,TCGA-ER-A42K_tumor,TCGA-ER-A42L_tumor,TCGA-FR-A3YN_tumor,TCGA-FR-A7U8_tumor,TCGA-FR-A8YC_tumor,TCGA-FS-A1ZP_tumor,TCGA-GN-A26D_tumor,TCGA-GN-A4U3_tumor,TCGA-GN-A4U4_tumor,TCGA-GN-A9SD_tumor,TCGA-QB-AA9O_tumor,TCGA-RP-A690_tumor,TCGA-RP-A694_tumor,TCGA-W3-A825_tumor,TCGA-W3-AA1W_tumor,TCGA-WE-A8ZM_tumor,TCGA-WE-A8ZO_tumor,TCGA-WE-A8ZT_tumor,TCGA-WE-AAA3_tumor,TCGA-Z2-A8RT_tumor,TCGA-Z2-AA3S_tumor
chr2,11706882,11716379,chr2:11706882-11716379,5,0.899141766370393,1.15988744980317,0.15828059544237,-0.406469047766288,4.63102328552931,7.2847784145655,-0.406469047766288,0.861862189995408,-0.406469047766288,-0.406469047766288,0.449052787878399,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.0795755928063562,0.233440584647033,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.406469047766288,0.0566521865016526,-0.0518764454992834,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.406469047766288,0.401314543692099,-0.406469047766288,0.586629416402434,-0.406469047766288,-0.406469047766288,-0.033669402562144,-0.406469047766288,0.610849342147322,-0.406469047766288,0.303574027143814,0.088586963806158,-0.406469047766288,-0.406469047766288,0.803986149711812,0.401633753695865,-0.406469047766288,1.01997295093492,-0.406469047766288,0.049235101354788,-0.05832219900695,0.000320831918132636,0.180256660250328,-0.406469047766288,6.40206600286837,-0.406469047766288,-0.406469047766288,-0.406469047766288,-0.406469047766288,0.00941196083700058,-0.406469047766288,-0.182236204324945,-0.406469047766288,-0.406469047766288,-0.406469047766288,0.246636825831528,-0.100254408931385
chr15,74511302,74513491,chr15:74511302-74513491,6,-0.397224421009951,3.45481384373835,-0.397224421009951,-0.397224421009951,2.6329210440848,2.6430725086414,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.097150216506818,0.75833705655122,-0.397224421009951,-0.202718228250943,1.76978399522938,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,1.64721584013734,3.06511826250829,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,5.50414982715424,-0.397224421009951,0.432395066213368,1.61871898997195,-0.397224421009951,-0.397224421009951,0.427603593176958,-0.397224421009951,0.133196668615818,1.49381863311309,-0.397224421009951,-0.397224421009951,-0.397224421009951,2.00655437459681,-0.397224421009951,-0.189121840878486,1.95945857572967,-0.397224421009951,0.420002521718875,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,-0.397224421009951,2.35675385080321,-0.397224421009951,5.79948193203475,-0.397224421009951,-0.397224421009951,-0.397224421009951,0.376520780086069,0.680887256793748
chr2,165768696,165771522,chr2:165768696-165771522,11,0.0909255341393086,-0.336216534481508,0.845441543842037,-0.342659441876855,1.49737742165889,0.266487645224865,0.519447972250668,-0.461551743999943,-0.461551743999943,-0.461551743999943,-0.286970005868888,-0.461551743999943,-0.327944835090584,-0.22819459396475,3.84342634700587,0.917086658917875,-0.0957701809275317,-0.461551743999943,-0.461551743999943,0.0510263829696678,-0.312487313620055,-0.316387664187698,-0.461551743999943,-0.222334690777737,-0.159008749764925,-0.325242489580726,-0.461551743999943,-0.144084336042652,-0.258133850762637,0.929010161760442,-0.357139384003536,-0.333870490888778,-0.301229052830575,-0.461551743999943,-0.129236349049068,0.779563705872442,0.714091519717174,-0.210555639287983,1.31510549108352,-0.461551743999943,-0.197056014677318,3.58552989822234,-0.461551743999943,0.00221888700828726,-0.314695053096668,0.0224895593241624,-0.461551743999943,-0.461551743999943,-0.264537812674155,-0.310809263503613,8.57425750522734,1.28907147411478,0.144318183891551,-0.461551743999943,-0.191182993158084,-0.0914561092090162,-0.461551743999943,-0.461551743999943,0.126857012327514,-0.461551743999943,3.23477594979813,-0.461551743999943,0.163171241590264,0.119724393411805
chr3,42735793,42738234,chr3:42735793-42738234,5,2.45992593597552,-0.153771695866066,-0.606392708302267,-0.606392708302267,-0.480729465826581,-0.309543233331003,3.33359023408034,3.29306910471974,3.68652962130666,-0.218685419423275,-0.606392708302267,-0.606392708302267,-0.11352967375417,-0.606392708302267,-0.606392708302267,1.08609244618402,2.79756145546651,1.50468163407443,-0.606392708302267,-0.606392708302267,-0.491529071475881,-0.606392708302267,-0.606392708302267,-0.606392708302267,-0.606392708302267,-0.606392708302267,-0.462355701328193,-0.606392708302267,-0.606392708302267,2.46722832698436,-0.606392708302267,-0.606392708302267,0.794362365583443,-0.606392708302267,-0.424262719802505,1.35134030645132,-0.606392708302267,2.31998666188066,-0.606392708302267,-0.606392708302267,2.79635723380858,-0.606392708302267,0.135808781109606,-0.606392708302267,1.97127758516544,2.18412717141953,2.73592789765627,2.387496284908,-0.458312694827775,-0.489684726557789,0.23845207330981,0.268266202849453,0.583656138267429,-0.606392708302267,2.16781068610753,-0.348342710950476,-0.606392708302267,-0.299022446900361,1.93224893250967,0.996663289547838,3.21265764138282,-0.423529986764059,0.377977660848627,-0.0458958705515936
chr2,11733352,11735277,chr2:11733352-11735277,4,0.295641697664067,0.968714447616881,-0.427023331718897,-0.427023331718897,5.53315779269003,5.87110401638197,-0.427023331718897,0.104334153906561,-0.427023331718897,-0.427023331718897,0.0287517673662115,-0.427023331718897,-0.427023331718897,1.29619923540998,-0.427023331718897,-0.427023331718897,-0.047752091333798,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.427023331718897,0.40203893225794,0.081989831032229,0.448763113945501,0.427858929021224,-0.427023331718897,-0.427023331718897,-0.427023331718897,0.087373396393414,-0.075560230744733,1.0561685287514,0.794091105367816,0.199928388640692,0.707102252090964,-0.427023331718897,-0.000825722095251016,-0.427023331718897,2.03750167671664,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.427023331718897,-0.025709002038736,1.02742724178902,-0.427023331718897,-0.427023331718897,-0.427023331718897,0.012016116268769,5.58422025961753,-0.427023331718897,-0.427023331718897,0.0481554557913815,-0.427023331718897,1.71065978296377,-0.427023331718897,1.07935826134313,0.955659290060635,0.0769945649137942,-0.427023331718897,-0.427023331718897,-0.427023331718897
chr2,43258540,43259540,chr2:43258540-43259540,4,-0.441525382439265,0.0860429679146628,0.344645109359771,-0.441525382439265,-0.441525382439265,2.78009798359602,-0.441525382439265,-0.441525382439265,-0.441525382439265,-0.441525382439265,-0.441525382439265,-0.441525382439265,0.629122537611881,-0.441525382439265,0.870246557619413,-0.223218948225014,-0.441525382439265,1.8238234675665,0.0253872275301935,-0.189585223788656,-0.441525382439265,1.22510437037365,2.63031840001005,1.35225938273722,-0.441525382439265,-0.441525382439265,-0.441525382439265,-0.148686204011468,2.18336922856679,-0.259066009563677,-0.441525382439265,-0.183805006134729,-0.115092761280394,-0.441525382439265,-0.134365834270777,-0.441525382439265,1.62862960622542,-0.441525382439265,4.20292628378447,0.967785802351754,-0.0132008252717535,7.24372091721829,-0.441525382439265,0.00523134889384551,-0.214199876574209,-0.441525382439265,0.414823906014739,-0.441525382439265,-0.441525382439265,-0.441525382439265,-0.441525382439265,0.380715940751336,-0.441525382439265,-0.441525382439265,0.0446505793593302,-0.441525382439265,0.190231309147032,-0.441525382439265,-0.441525382439265,-0.22680815877953,-0.441525382439265,-0.441525382439265,-0.212895806888116,-0.441525382439265
chr13,113623872,113633526,chr13:113623872-113633526,8,0.101804073233207,-0.480727076723087,-0.303807062525513,-0.480727076723087,-0.194808784157242,-0.316919582778699,0.01608803550209,-0.245942162765421,-0.480727076723087,-0.480727076723087,0.031614682323424,-0.480727076723087,-0.25119283608478,-0.261996350921292,-0.340436891138395,-0.0217038353014168,-0.239491001995257,-0.190846371769188,1.33134767314307,0.359938711039466,-0.289799195514506,0.127963184129375,-0.480727076723087,-0.480727076723087,6.95094642489471,0.103169026844368,-0.480727076723087,-0.480727076723087,-0.242143246614587,-0.159597284830483,0.559514000081149,2.19196339758136,1.61065728086146,4.99839455731152,-0.480727076723087,-0.480727076723087,-0.480727076723087,-0.285809538842598,0.16061909039136,-0.480727076723087,-0.21385861007795,-0.284203667293923,-0.257627056594701,0.981898730132549,-0.480727076723087,-0.303402859199312,-0.208833053559862,-0.480727076723087,0.631315741382878,-0.0472802641033474,0.753866493998011,1.95287637592589,-0.275346153614243,-0.480727076723087,2.26084068049835,-0.480727076723087,0.246628178848582,-0.264282186877992,0.0106329913726756,-0.480727076723087,-0.293285395177732,2.78816152454206,-0.0583813469304363,-0.298025360566066
chr15,74505929,74509442,chr15:74505929-74509442,5,0.739004072839751,2.67500908812702,-0.400168511865307,-0.400168511865307,5.1943114975779,1.51660815395849,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.400168511865307,0.030034122424898,0.800596570626991,-0.400168511865307,-0.0162865859487716,0.416157792441565,-0.400168511865307,-0.400168511865307,-0.400168511865307,0.307371811573951,0.557392386134207,2.83818453648984,-0.400168511865307,-0.400168511865307,-0.400168511865307,0.386747296513911,2.86832439742104,-0.094728173136418,2.02524082132107,0.442521240454033,0.163422298474909,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.400168511865307,1.42359295379116,-0.400168511865307,-0.400168511865307,0.211141668705526,1.83987244405859,-0.400168511865307,0.739069475439586,1.50532564958706,-0.400168511865307,-0.400168511865307,-0.400168511865307,-0.077503790503604,-0.400168511865307,0.395581309510275,-0.156455115116484,0.182516125414476,-0.400168511865307,-0.400168511865307,-0.400168511865307,1.67584214954322,-0.400168511865307,5.37537238007744,-0.400168511865307,-0.400168511865307,-0.400168511865307,0.461111425752484,0.273124119599623
chrX,152737496,152751214,chrX:152737496-152751214,8,1.20599514486116,0.933258010165337,-0.573882983337051,-0.573882983337051,0.338753915736764,-0.184496791696314,-0.385009314106877,-0.573882983337051,-0.573882983337051,-0.573882983337051,-0.170659121723215,-0.573882983337051,-0.573882983337051,0.199403746684903,0.938588925942051,0.407768734353142,-0.259528961012879,-0.456548914776311,-0.341563007542596,-0.573882983337051,-0.324046788010286,-0.573882983337051,2.12025870059378,4.23736934760419,-0.573882983337051,-0.573882983337051,-0.573882983337051,-0.113840148812528,-0.119635009718135,-0.573882983337051,-0.0445658732922379,1.7708368384276,0.258376984470579,-0.573882983337051,-0.573882983337051,-0.573882983337051,2.79587434091243,2.43808135035292,-0.573882983337051,-0.573882983337051,0.298479817684721,2.91806896881379,0.833569751712312,0.74752080249926,-0.573882983337051,-0.573882983337051,0.601725671645992,-0.302073158215433,0.12146176740782,-0.0308445347138375,-0.573882983337051,-0.216703352934829,-0.445680220917278,-0.409903945319252,0.194550566502518,-0.449976857904152,0.727366862401087,-0.303150227887233,5.34853587939852,-0.170689756147284,-0.573882983337051,-0.213345759062223,0.50898420835983,2.93044474846894
chr6,2611094,2622047,chr6:2611094-2622047,5,-0.613435180992145,-0.613435180992145,-0.613435180992145,-0.613435180992145,-0.613435180992145,0.484768656787061,0.711035711233354,2.04199373285281,-0.205357481524349,-0.211402257315393,-0.613435180992145,-0.262221368434276,-0.613435180992145,-0.294522419270933,0.93876062160573,-0.00664796290856644,1.05062089540782,-0.613435180992145,-0.613435180992145,-0.613435180992145,0.687966876947137,-0.613435180992145,-0.172425927945032,0.319933269234647,-0.229911499910071,-0.613435180992145,-0.31644228446035,-0.305702773680999,0.0297404716167246,-0.613435180992145,0.178870529809734,3.52774702688015,-0.00850082312206442,-0.613435180992145,-0.613435180992145,-0.613435180992145,-0.109978382397161,-0.329242413444277,0.076985544078853,-0.613435180992145,7.92683293934595,-0.0836462508075631,-0.613435180992145,-0.106064529681942,-0.613435180992145,-0.613435180992145,-0.613435180992145,-0.613435180992145,0.0469847888550953,-0.347539468634991,0.0330561889939621,-0.360218348306374,-0.318414424850506,-0.613435180992145,-0.613435180992145,-0.178799209531933,0.0408925902526522,-0.613435180992145,-0.133609253762313,-0.0122214327788575,1.29867375276248,-0.236386737135667,-0.00434821984442122,0.0115539373693044
chr12,66309407,66317859,chr12:66309407-66317859,10,-0.658179188877613,-0.150486812733572,-0.658179188877613,-0.658179188877613,3.48264755664664,3.90121848999133,-0.193083910743857,1.05793697025964,-0.214214797897047,0.214295889779132,-0.406918551687141,-0.520115195920604,-0.41730406334115,2.16538463385004,0.705966186789734,1.24859493323984,-0.466453097536298,-0.658179188877613,-0.658179188877613,1.62957100269098,-0.516817493480522,-0.312522510281989,0.660319431089877,-0.00414789132693627,-0.45448974669155,-0.531902631051439,-0.553760080885258,-0.658179188877613,-0.148263693079211,-0.365029358075624,-0.444489521939941,1.49441325947085,0.668818678847154,-0.36346452781245,-0.658179188877613,-0.575130029991469,-0.658179188877613,0.226306369439811,1.62114750869885,-0.658179188877613,1.85011428930801,1.30115366602841,1.22498694855709,-0.174576045334769,-0.488508473117743,-0.177404719842738,0.589354692123417,3.08871734668481,-0.658179188877613,0.643035497862791,-0.501351592982864,3.81023280238981,1.89458858007026,2.00398524593075,-0.658179188877613,0.0523714471754317,1.02114830204321,-0.437280473577609,-0.10913547514747,2.50237175466741,-0.583320924388437,-0.412123734213193,0.287783144553844,0.569433651876123
chr10,1224882,1227973,chr10:1224882-1227973,9,0.976419462380936,-0.392324972826058,0.27945382992544,-0.233475330391073,0.35597000256076,-0.392324972826058,-0.392324972826058,-0.392324972826058,-0.19237307464471,0.405633272738276,-0.392324972826058,0.465972710142266,-0.117039683922269,-0.126381339544149,-0.392324972826058,-0.174324294455863,1.84693525973395,-0.392324972826058,-0.0832623485906867,-0.392324972826058,-0.392324972826058,0.271672713234017,1.11712747621817,0.274848268293489,-0.392324972826058,0.909232384924823,-0.392324972826058,-0.392324972826058,0.270601649743119,-0.392324972826058,-0.392324972826058,0.357816929937483,-0.237833548221074,-0.392324972826058,-0.392324972826058,-0.245868579246617,1.69162297141561,1.16507630649908,-0.392324972826058,-0.392324972826058,0.525537134847923,-0.392324972826058,-0.392324972826058,-0.392324972826058,0.294573236699722,0.954938032019129,-0.392324972826058,0.0419090183551544,-0.210821004479656,-0.392324972826058,2.08041930289419,-0.180910056714004,1.05114197845952,-0.392324972826058,7.87979147189065,0.221698433080043,-0.392324972826058,0.247636023051671,-0.293202889903457,-0.392324972826058,2.9253097270887,-0.392324972826058,-0.174318390160549,0.0312303152319429
chr7,143049276,143050393,chr7:143049276-143050393,7,0.0123795216430822,1.19051918467981,0.703070644273586,-0.498568841303436,-0.310192253836763,1.68980565048722,-0.498568841303436,-0.262723582961809,-0.221679150186541,-0.498568841303436,-0.0598313637146713,-0.498568841303436,-0.498568841303436,-0.0104861253951078,6.52835300184266,-0.121735078199352,-0.162343111188793,0.590190892351422,-0.498568841303436,1.6578179327498,-0.498568841303436,1.74912033844567,-0.498568841303436,4.18663585203803,-0.498568841303436,-0.0287379645017541,-0.498568841303436,0.277361345056974,-0.0425537337447027,-0.319281112730753,-0.140310538405775,0.15015873292869,0.954647134424034,-0.498568841303436,1.17474441020312,0.438687047207203,0.257740489451102,-0.498568841303436,-0.498568841303436,-0.498568841303436,-0.296744594697704,0.0931980154970154,-0.269674328157979,-0.498568841303436,0.102458929405597,-0.142801809336618,-0.498568841303436,-0.498568841303436,2.29243843307092,-0.498568841303436,-0.308023729852616,-0.498568841303436,-0.0661147836893861,-0.498568841303436,-0.074548553712704,0.297280758484868,0.685945509949035,0.141554987971574,-0.238678378817126,-0.498568841303436,-0.323173670977599,0.331091735837979,-0.498568841303436,2.10084709942266
chr22,30641022,30641884,chr22:30641022-30641884,4,0.701969836791541,-0.903308633494456,-0.903308633494456,0.679107714267435,1.32120923100108,3.45489372274417,0.725767293286485,1.36189639680875,-0.314061334089886,0.972762663686314,-0.903308633494456,0.20297748470185,-0.640304437617965,0.243889913593768,2.11836062082379,0.0461071487777956,-0.519230743151887,0.390308828313026,0.172466011683143,3.81382740060283,2.01942084201398,-0.903308633494456,-0.540587662531403,0.821671863001141,-0.903308633494456,-0.903308633494456,-0.903308633494456,-0.903308633494456,0.940132843217507,-0.547391305783684,-0.903308633494456,-0.903308633494456,-0.690134916978619,-0.903308633494456,-0.903308633494456,-0.1192882324831,0.251501076040819,-0.903308633494456,1.9315165444558,-0.903308633494456,-0.522611187805892,1.52405642111699,-0.903308633494456,0.485197165179505,2.13534680049239,2.2241160412274,0.32172064247789,-0.67656509514428,-0.903308633494456,-0.903308633494456,2.6047702353301,-0.708595903224981,-0.676450504415063,-0.614231453705042,-0.671390517452054,-0.903308633494456,0.708118212952547,-0.109239346119852,-0.170239031223349,0.569129065395859,-0.903308633494456,-0.301732368277091,-0.903308633494456,-0.903308633494456
chr8,124706119,124707642,chr8:124706119-124707642,6,1.66616426488695,-0.116755571449084,-0.448026151439338,-0.448026151439338,2.58669635410269,0.0428447169132872,-0.448026151439338,1.76446512928722,-0.448026151439338,-0.448026151439338,-0.448026151439338,0.0717484645608201,0.242694252524679,0.660934229086478,-0.448026151439338,-0.448026151439338,1.39920547821756,-0.448026151439338,-0.448026151439338,-0.448026151439338,1.08427001699175,-0.448026151439338,-0.448026151439338,-0.448026151439338,-0.448026151439338,-0.448026151439338,-0.448026151439338,0.196641040563629,-0.448026151439338,-0.448026151439338,0.554228011494849,0.6905389260338,-0.448026151439338,-0.122021379337249,-0.448026151439338,0.340636735743092,0.0873623028471759,-0.448026151439338,-0.448026151439338,0.273825222654841,-0.0931315756526482,-0.448026151439338,-0.448026151439338,-0.448026151439338,1.07743386290358,-0.448026151439338,-0.448026151439338,1.66680006682719,-0.0729664561904942,0.577074089937667,0.251477665615306,0.549466945236968,0.395272758576676,-0.448026151439338,-0.448026151439338,-0.448026151439338,-0.0917509238312353,-0.448026151439338,-0.448026151439338,1.95650437863908,0.585238976983118,2.16531153934455,0.450397065220855,7.22382250717312
