"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1058966-1072297",1.76102239382312,2.14738650997918
"chr1:1079536-1102384",1.81292211281845,1.91246215244532
"chr1:2328759-2330754",1.67862073279601,1.61715724076556
"chr1:2332474-2333290",1.79817057162268,1.7438838015431
"chr1:3226760-3301613",1.55220702436287,1.88500009733178
"chr1:3380336-3382469",2.17949227649009,2.17058209196278
"chr1:3386257-3388071",1.82704783786566,1.95410993839524
"chr1:3388455-3389233",1.74865646194548,1.86681859429444
"chr1:3392726-3394339",2.21849801764111,2.39723830130325
"chr1:6273343-6278249",1.52541645981078,1.50567156291024
"chr1:8045665-8064364",1.60224627780684,1.76804733297669
"chr1:8064718-8071679",1.669547937246,1.86563324974459
"chr1:8075852-8086118",1.83261561386485,2.13708374165046
"chr1:8087581-8089187",1.76245132010746,2.04952953474886
"chr1:9497937-9537657",1.50840502372983,1.76517334890635
"chr1:15752614-15753546",1.96036854449583,2.29190393237674
"chr1:16103882-16110943",1.64407224320656,1.63235331270088
"chr1:16451915-16455829",1.94728766749311,2.12811573713186
"chr1:16457014-16458116",2.09765477364282,2.37000055138106
"chr1:16462365-16464248",2.55523022502633,2.83023382629961
"chr1:16465025-16472818",1.74664751374215,2.27720747116209
"chr1:16473045-16474773",2.02644814806968,2.19792051563842
"chr1:16477558-16481606",2.09428651800457,2.2596127568006
"chr1:16488478-16524249",1.59784723312748,1.62581858145884
"chr1:17531904-17548685",2.19458065694828,2.52447780455445
"chr1:17552753-17555020",3.86031608864401,4.22582411486503
"chr1:17567355-17570405",4.05742803212602,4.51728342500428
"chr1:19402105-19403134",2.36221796748774,2.40112877773019
"chr1:19408834-19409946",1.56671524582204,1.48743158747099
"chr1:19612966-19614890",1.69930010492092,1.78589125361592
"chr1:19666211-19669146",1.58736403790781,1.65825714566307
"chr1:19671028-19671581",1.76887550711253,1.86789330718341
"chr1:19972627-19974004",1.93467021638269,1.98811285700013
"chr1:19974264-19981405",1.91841536587133,2.04710373123371
"chr1:19982029-19983259",2.28816234748484,2.34544102365152
"chr1:21933179-21934606",1.61602454224808,1.78345873596439
"chr1:23504401-23516893",1.89446088346423,1.9039349061954
"chr1:24438765-24446161",1.92943354581624,1.77789046636982
"chr1:24448327-24449692",2.22022496315921,2.65019291859326
"chr1:24450013-24454531",1.8216624503548,2.15340403802714
"chr1:24882760-24890018",1.79078892902977,1.94717620204421
"chr1:26680721-26688025",2.48663304356731,2.93011615560434
"chr1:27816769-27852216",1.59874321014322,1.61438233931155
"chr1:32038004-32040911",1.85643489627721,2.24663316070864
"chr1:32046661-32048650",2.11021893718132,2.32788070734891
"chr1:32129157-32130673",1.56456934426564,1.54698910797588
"chr1:32134556-32135312",2.05220877787108,2.11535544287885
"chr1:32136347-32137116",2.18331214856898,2.12691045795292
"chr1:32793378-32794569",1.54649306947023,1.53166641831445
"chr1:33798193-33799345",2.00750383462658,1.96874646887471
"chr1:33799993-33800667",1.82874933002767,1.85090148832966
"chr1:33800957-33802067",2.00937230680673,1.96913118481951
"chr1:35248143-35250011",1.50809523491119,2.06083157012581
"chr1:37941640-37945500",1.54177035812087,1.6553124083861
"chr1:37946130-37947102",1.60679297811804,1.60080589522655
"chr1:39991707-39993196",2.21513538748788,2.32184798239393
"chr1:40088154-40089725",1.94756716598782,2.02936128483151
"chr1:40092952-40095799",1.5752503003494,1.91970410025033
"chr1:40533489-40535138",1.50239784496091,1.59864840282852
"chr1:40882868-40887548",1.70706971875718,1.75860828980808
"chr1:45273057-45274054",1.75447964311793,1.88745949803051
"chr1:45276494-45277252",1.61348018344034,1.8016390472675
"chr1:46646936-46649005",1.85628329259443,2.15384765444219
"chr1:53547960-53550085",1.91174988860307,2.17568429498065
"chr1:53551274-53552755",1.78685443115341,2.07989393547077
"chr1:55253870-55258458",1.68879653750696,1.82115802179404
"chr1:59192069-59230421",2.40956412046725,2.58111464444102
"chr1:59230707-59246365",2.62230921983392,2.74875268985533
"chr1:65301998-65303515",1.7607443575337,1.89293326398781
"chr1:65339306-65341568",1.63706263472486,1.40365486852434
"chr1:85733765-85736201",1.99841797863202,2.16581358604591
"chr1:85736689-85741879",1.64654544311998,1.73816727364819
"chr1:85962064-85987251",1.81866178914215,1.96237343843636
"chr1:92295731-92326928",2.13992800039525,2.15531764446422
"chr1:94028076-94032736",1.68075661903887,1.52675632649928
"chr1:94033784-94037127",1.68166904177517,1.89714304208982
"chr1:94050792-94054434",1.97935767982356,1.92588006715721
"chr1:94992836-94994681",2.34578971150559,2.46009416498754
"chr1:94996252-94997777",1.97163266953672,2.04983942140505
"chr1:94998924-95001421",1.90888208194681,2.19600233295526
"chr1:95001820-95005713",2.10113613312072,2.39951575971784
"chr1:95089840-95103917",1.69325491746202,1.73781897554542
"chr1:95123906-95127570",2.04957495315693,2.33917389437723
"chr1:95171213-95197589",1.58640000835035,1.68211054327084
"chr1:109865843-109867421",1.70468682854175,2.18869218152629
"chr1:110304495-110306344",1.72637630907815,2.14831383081155
"chr1:111663415-111665138",1.55213120840074,1.48940281681919
"chr1:112775880-112811629",2.16002891132462,2.44301039399197
"chr1:116944755-116946406",1.64396701638584,1.8416526306597
"chr1:117057544-117061222",1.94053149578789,1.81913452565129
"chr1:119544128-119554897",2.03042960617157,2.34892244818151
"chr1:153473340-153505979",2.52115740259079,2.687639983556
"chr1:153581920-153585328",1.88195860050186,2.15601160307774
"chr1:155961401-155965786",1.80064109716299,2.23575043012544
"chr1:178866991-178871141",1.56511757870908,1.75984770881939
"chr1:180135826-180144356",1.91595485546366,2.19869359099095
"chr1:180145268-180147829",1.87551734607892,2.08003719118378
"chr1:180148119-180151209",1.58573074535262,1.76407070102233
"chr1:180151554-180152951",2.11768947800215,2.27619867257128
"chr1:183155666-183176916",1.52505044910319,1.77801173076563
"chr1:199998956-200007729",1.72457671833175,2.19336654267566
"chr1:200870387-200871980",1.59027472299067,2.12443219579148
"chr1:200872328-200875220",1.85860545875458,2.34266599195227
"chr1:200878625-200880481",1.90474791576684,2.36441942416277
"chr1:201382349-201383546",1.68766729924712,1.86047518206308
"chr1:204247176-204315804",1.93602214650751,2.36879957615817
"chr1:204399266-204400368",1.7260932304401,2.04518896614937
"chr1:205326318-205342280",1.75791806922477,2.01936475336825
"chr1:205399667-205417330",1.68311741050498,1.96549055747684
"chr1:205884632-205886311",2.78241117231438,3.17143469445516
"chr1:205893973-205895563",3.08365942679958,3.55725914593413
"chr1:207109263-207110340",1.57961342924029,2.05488462683781
"chr1:207165836-207191766",1.85071737047166,2.42293127303722
"chr1:207504741-207509938",1.92675990424247,2.25029091717148
"chr1:207511104-207512642",1.62923798386408,1.99698336471608
"chr1:207527544-207531761",1.76520363238785,2.05410240215047
"chr1:207532066-207532791",1.91920546644259,2.07031204143461
"chr1:207534411-207538986",1.74475482219549,1.95591473908604
"chr1:208383907-208389980",1.66018048320904,1.44890710838396
"chr1:209788852-209789716",2.50868273945175,3.02750686855503
"chr1:209792243-209795781",2.58363521116136,3.04678185637226
"chr1:209797445-209798893",2.38779114536655,2.87462955040363
"chr1:209808083-209811153",2.21757514078533,2.76815088826571
"chr1:209812093-209823209",2.09940228315365,2.43060646635644
"chr1:220308288-220310051",1.97138209438074,2.05073078313637
"chr1:221974668-222000908",2.04169084875612,2.3625685150813
"chr1:222001198-222007534",1.55212429738263,1.84928505191031
"chr1:222007788-222010576",1.76387201484843,2.10266061243936
"chr1:222010879-222013550",1.6773625133493,2.00475707575047
"chr1:222158406-222172141",1.75279916690328,1.98353238555186
"chr1:226055830-226058676",1.71148391517534,2.02010513718307
"chr1:228329634-228331929",2.05453543441791,2.40928513015634
"chr1:228337808-228345341",1.93529096901782,2.28800612971255
"chr1:230937849-230955896",2.05913899387913,2.52903032803771
"chr1:233750372-233759798",1.51118658564564,1.69950416001713
"chr1:233797782-233802241",1.93657057174258,2.08691323701918
"chr1:233802836-233806917",1.97771499048505,2.11704957417287
"chr1:234855823-234859689",1.97430646077571,2.11159665574037
"chr10:715621-735334",2.06569479146456,2.30741449716479
"chr10:3827573-3876042",2.3071704325025,2.55688205850375
"chr10:4720446-4748862",4.1070745754634,4.5120606345394
