"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:6355664-6366075",2.66082501583901,2.7626727310485
"chr1:12067406-12069549",1.9507068237897,1.87348375681494
"chr1:16539204-16542304",1.69627997741989,1.85156253468825
"chr1:17766320-17773164",2.09266378296935,2.46747255572523
"chr1:23823334-23832822",2.13545302591548,2.46731646195218
"chr1:24676712-24680764",1.77737008571489,2.15663247930797
"chr1:24681908-24683389",1.58520621257689,1.64938205290647
"chr1:26680721-26688025",1.65277335267609,2.09625646471312
"chr1:35248143-35250011",2.40397038032286,2.95670671553748
"chr1:39697015-39715410",2.43120769032857,2.44086196656148
"chr1:40323189-40341634",1.76609795021474,1.71885607184915
"chr1:43497210-43539417",2.05039795635421,2.18353055844874
"chr1:44400308-44400931",1.75974310804035,1.9540749489802
"chr1:45196942-45205390",1.50315748582902,1.66164353082233
"chr1:66929129-66972271",1.69905951785958,1.89231365307947
"chr1:81702341-81717374",2.02964546652456,2.40650313718879
"chr1:89722447-89724533",1.54436554010362,1.53527124374589
"chr1:94992836-94994681",1.80667219451705,1.920976647999
"chr1:112147424-112150658",1.94909645209598,1.94149116923635
"chr1:113177506-113188269",1.87157983944259,1.99275266714037
"chr1:115151594-115153594",2.14946141025426,2.520828612652
"chr1:117102833-117113425",1.62864624647713,2.10356127695219
"chr1:150753220-150768584",2.70531592329195,2.7311640863268
"chr1:151611695-151630611",3.01538265987294,3.13503707071754
"chr1:153331009-153333020",2.73688786103042,3.20949653150285
"chr1:153521066-153521404",1.96998719782723,2.38156532068846
"chr1:153526126-153533484",3.15928890375821,3.56738185727504
"chr1:153534167-153535791",3.20820177573894,3.56157640460111
"chr1:153570347-153579262",1.80022448343288,1.88311884724191
"chr1:159046791-159050823",2.47880564804232,2.5218711082215
"chr1:159051685-159084252",3.70022687637951,4.10290381413027
"chr1:160724711-160765764",1.61196168127302,1.63662948605847
"chr1:179102609-179106799",3.39486692354768,3.48625202673824
"chr1:179107169-179111968",3.50302603571161,3.90026057705335
"chr1:182224276-182282525",1.57601732053627,1.63096547618055
"chr1:183155666-183176916",2.57814799470101,2.83110927636345
"chr1:198990266-199010585",1.70260117449695,1.80681495918773
"chr1:201253132-201262970",2.80525092714952,3.25433353504275
"chr1:201282788-201285220",2.96703541416528,3.39978598741922
"chr1:207475352-207481712",2.03223014991963,2.2449919170963
"chr1:209553135-209602065",2.29741258638945,2.60715139988899
"chr1:209606283-209617755",1.94216226877629,2.33535881072357
"chr1:209788852-209789716",1.6148447172567,2.13366884635998
"chr1:209954903-209955301",2.4780389114559,2.81564821247643
"chr1:209958004-209958936",1.8909503410584,1.94700464414258
"chr1:209969997-209974485",1.61459029013773,2.0021149002787
"chr1:226288300-226314779",2.08128150564355,2.17365298673565
"chr1:232245888-232268729",2.06486697300252,2.39540957287574
"chr1:232423957-232472114",2.04851508712252,1.9607698416906
"chr1:234667625-234700944",3.15792365672437,3.49567218116322
"chr1:237284509-237399036",2.0074222851887,1.95523571764811
"chr10:3794914-3801277",3.33404831530837,3.65199591834205
"chr10:4286204-4327977",1.51574789724107,1.65952731344153
"chr10:4688627-4692277",1.76979545525968,2.26563626079956
"chr10:4802974-4824715",2.41319924321072,2.98770851394216
"chr10:5541633-5556107",2.22739362675957,2.67297560801321
"chr10:5568325-5636854",1.59986383529778,2.02314549442647
"chr10:5652856-5658725",1.66665641308248,1.95347563938207
"chr10:6245399-6255486",2.40179277183168,2.45986223545905
"chr10:7027988-7044334",2.62938026280814,2.72250440724626
"chr10:8893463-8919656",1.84293044369059,1.79119775728626
"chr10:9216892-9253659",2.2287467227029,2.79653477087316
"chr10:21611096-21629062",1.76445586015707,1.97640463209733
"chr10:29975680-29986732",2.38613447997618,2.57387393185467
"chr10:45878229-45891203",1.56280327628102,1.55719159570901
"chr10:53125782-53157721",1.9487287344637,1.94749517165995
"chr10:54192579-54210534",2.98616696341543,3.33264682843618
"chr10:55233215-55269626",1.62677665326336,1.72178163667734
"chr10:63700267-63759750",1.80499773770388,2.01685637022543
"chr10:71164940-71166740",1.65473170671076,1.91752586222899
"chr10:72434851-72456078",2.64955936658927,2.70559418990597
"chr10:73611226-73638014",2.59964902372649,2.63818325239522
"chr10:73724552-73765394",2.32286710059158,2.36649155528779
"chr10:82292979-82295236",2.98401506652258,3.39799254025927
"chr10:85936425-85944337",2.49154126768618,2.92412783846855
"chr10:85945150-85954310",3.09321170716324,3.53824204433879
"chr10:98480371-98502824",2.80788475852284,3.19483438207855
"chr10:101649352-101654218",2.13500182303144,2.07234482352428
"chr10:105365774-105368276",1.79620304883713,1.80148422134085
"chr10:105495666-105526752",2.41308182818878,2.94912408286914
"chr10:106064803-106071794",1.91456052114039,2.35317706302405
"chr10:112521100-112540459",2.0276814427572,2.17433665285552
"chr10:113943625-113973977",1.53023597296352,1.59347271772243
"chr10:116075624-116082830",3.95916812886709,4.4123605828931
"chr10:127738338-127753164",1.72187695818736,1.7795033361141
"chr11:13032747-13076062",1.88352940861662,2.07867457429457
"chr11:13076681-13088551",4.44266017244884,4.80026078595109
"chr11:16903266-16995868",2.58102805281422,2.69694676853041
"chr11:19864569-19890371",2.39262586378497,2.39978821922973
"chr11:27649593-27655778",1.74031806237028,1.97927161790782
"chr11:33640308-33664868",1.68350792072812,1.79323604155129
"chr11:60238333-60260151",1.75073357689849,1.7414030650796
"chr11:60823365-60828674",1.70740873454054,1.83245942613368
"chr11:60929189-60944333",2.41275356451635,2.64757342928153
"chr11:64465364-64480075",2.50165662401934,2.7033743984743
"chr11:65213111-65222628",3.19885963778265,3.49085843608411
"chr11:65661692-65664180",1.88756427833393,2.33969575637379
"chr11:65664577-65667612",1.6986013743867,2.0501802957396
