"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:943709-947277",1.64426178566371,1.80339701259514
"chr1:1232113-1233102",2.07623555616471,2.1751948801261
"chr1:2118745-2120883",1.80777261069537,2.04247068700591
"chr1:6663161-6673645",1.58964957638534,1.82541921460875
"chr1:7309786-7375164",1.80285853018853,2.20994929082833
"chr1:10359230-10363121",1.9240866151957,2.12292556503574
"chr1:10441761-10449959",2.74139627554535,3.18057422562949
"chr1:10450453-10458549",3.01875008992995,3.29357798911962
"chr1:11980489-11982132",1.97341700821737,2.06083271479559
"chr1:13912234-13922222",2.21731551555924,2.41183408115596
"chr1:14042209-14057395",1.86732054319628,2.24885621583687
"chr1:16061364-16062800",2.08130000182891,2.06697877701604
"chr1:19586722-19592376",1.99294214600838,1.93345017670579
"chr1:19666211-19669146",1.66898566859418,1.73987877634944
"chr1:20812813-20825500",1.53771701779607,1.70279695765803
"chr1:23761211-23762116",1.87817572767585,1.98037543946846
"chr1:26098994-26102323",2.16838945098921,2.40438526767253
"chr1:26136411-26137845",1.5653078370189,1.88647783566365
"chr1:26140769-26141939",1.85699168447103,1.85341362108319
"chr1:28970129-28971700",2.5550741707828,2.81151564766295
"chr1:31838886-31840140",1.93797208969597,2.27094216876198
"chr1:31840441-31841817",2.0747475828989,2.40531722366435
"chr1:31842537-31845689",1.6252269557303,1.9687872316565
"chr1:32138927-32140508",2.18567324741763,2.40785028968424
"chr1:32198844-32200684",2.21871601687803,2.54668710373213
"chr1:32700911-32702290",1.59700349748854,1.63429036489732
"chr1:33791744-33794371",1.85550635072473,2.03470060550904
"chr1:33798193-33799345",1.54990807275889,1.51115070700703
"chr1:33819140-33819902",1.65273898256351,1.98214439919986
"chr1:35325517-35330937",1.6858091984945,2.12295035134526
"chr1:36603933-36604900",2.00945224972146,1.79180574254549
"chr1:36859854-36863119",2.3778704116905,2.63776131443723
"chr1:37962437-37966436",2.28851708695477,2.39077235280922
"chr1:38460292-38462342",2.12962688457008,2.42307395855501
"chr1:38485155-38488271",2.45397981234729,2.3834362545819
"chr1:39949102-39950173",1.62507774160964,1.74342075288873
"chr1:40316033-40317075",1.53472107101657,1.45672035609047
"chr1:40435738-40456907",2.15328407809231,2.44236948400637
"chr1:40539955-40542414",1.66326184848682,1.69076242280696
"chr1:41153457-41155952",2.62619645537508,2.78606382119144
"chr1:44403013-44409942",2.37869299123484,2.50628773709625
"chr1:44424661-44425821",1.86759714620697,1.87418538662892
"chr1:44427034-44429841",2.65868265228962,2.76651972864431
"chr1:44430093-44431511",2.11217611091119,2.03406091648075
"chr1:44463797-44466339",2.611828532112,2.83135447840165
"chr1:44490134-44496878",1.56752027627773,1.85542709380661
"chr1:45289157-45291822",2.018283999444,2.32736026956561
"chr1:49227242-49242178",1.88937436050227,2.18240420442093
"chr1:54686703-54690698",1.54311442730933,1.7307125059746
"chr1:55680886-55683434",2.19287494360697,2.33462679091156
"chr1:61331238-61403200",3.64133240272324,4.06384950008737
"chr1:63152160-63153798",1.82416092736659,2.09497474690043
"chr1:63154423-63158035",3.40476059760682,3.6859411957527
"chr1:65720432-65730324",1.58317665902107,1.94977505589735
"chr1:66578581-66617973",2.47496485687788,2.64197974368378
"chr1:66733292-66796311",2.9452505559689,3.32076679624036
"chr1:66834752-66837896",1.89197059972519,2.11724771162165
"chr1:67236679-67240629",1.8808430122102,2.14109651822756
"chr1:68152371-68153244",2.17426293460738,1.99223357496646
"chr1:84413409-84414211",2.61712058274189,2.83811807180854
"chr1:85086012-85093813",1.64931655722766,1.95034410170076
"chr1:85728203-85729879",1.7254280289965,1.80716456717034
"chr1:85750456-85784064",2.37515137460864,2.61696181329591
"chr1:87166411-87169085",1.62748260090509,1.64330837693743
"chr1:90045347-90048084",2.02150253638166,2.41960820686382
"chr1:90095441-90097073",1.5820241220146,1.91958458697723
"chr1:94996252-94997777",2.04925901178991,2.12746576365825
"chr1:95007456-95026270",2.38051995172876,2.66855186011332
"chr1:95363739-95364827",2.2084932576602,2.14846826154862
"chr1:95365173-95367125",1.71987423794285,1.67922747937266
"chr1:95367914-95368578",2.1605084945302,2.19042951733443
"chr1:95369180-95389630",1.58850855198048,1.57041756401177
"chr1:95427089-95428381",1.60800462702676,1.98271701808686
