"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:6518940-6519959",1.93919615328464,2.13477798739268
"chr1:8904227-8920961",1.74870919217617,1.87478007665558
"chr1:8943692-8953368",1.50827284887574,1.48987372764742
"chr1:15918974-15929484",2.45692643557491,2.62039218961672
"chr1:16539204-16542304",1.78170040318967,1.93698296045802
"chr1:16547714-16551582",1.6767433156101,1.87878652722277
"chr1:20522641-20540518",1.7956336267647,1.98991765091853
"chr1:24882760-24890018",1.97944316613806,2.1358304391525
"chr1:26609528-26610533",1.57345778900251,1.41909910961382
"chr1:27989333-27992472",1.66885414366399,1.86568816968566
"chr1:28827257-28832355",2.32248431468796,2.57536330943112
"chr1:31948563-31960336",2.74636227176777,3.04614025065805
"chr1:32678494-32679973",1.5018309117731,1.4458516394788
"chr1:41342442-41403676",2.33262323303632,2.14538274809771
"chr1:44722693-44749558",1.60521639002321,1.82441595820502
"chr1:59279114-59304020",1.60541681188671,1.61289690346168
"chr1:85156586-85189166",1.50225572413792,1.60048391017323
"chr1:94497699-94502196",1.66468342457712,2.02780491328758
"chr1:94549097-94564250",2.20929699219468,2.72986870898026
"chr1:151167897-151170325",2.03864204543731,2.21230423421759
"chr1:151466661-151482886",1.64377656593275,1.47713642401583
"chr1:155040016-155041229",1.63911357221445,1.72606200855831
"chr1:155955340-155958925",2.01440545605694,2.11967985427883
"chr1:156060988-156063400",1.86026443335676,2.05262259033001
"chr1:156725556-156728675",1.51427284908395,1.51841853815744
"chr1:202009162-202065787",1.75497321162093,1.75679971134198
"chr1:205326318-205342280",3.08657153546286,3.34801821960634
"chr1:206225480-206230708",2.08746319022185,2.59245961501
"chr1:206240295-206241433",1.81422004605858,2.20147018311749
"chr1:206243698-206260908",1.84322073248459,2.30224128651365
"chr1:206261193-206267189",2.2647041687573,2.79156117314092
"chr1:206271568-206279014",1.9128353636158,2.41627540851281
"chr1:206281070-206284808",1.68544272660621,2.07781634678412
"chr1:207112911-207113734",1.61944674562153,2.04677389307073
"chr1:207475352-207481712",1.64565563190629,1.85841739908296
"chr1:214638400-214656056",1.66780930077989,1.67462041473785
"chr1:214725892-214758772",1.56903417103353,1.47297922944018
"chr1:229825751-229834579",1.57416872651933,1.65092093100617
"chr10:979155-988027",1.73737136499194,1.75500588482786
"chr10:3529302-3538245",1.60998113953458,1.88220919548597
"chr10:7528871-7567677",1.71555462697725,1.61819028219643
"chr10:17191239-17193313",1.54768651806866,1.68623276248012
"chr10:24727508-24738262",1.50823188115372,1.48388777524514
"chr10:119305427-119307476",2.48841921738384,3.04049651720042
"chr10:123298329-123310704",2.14528860348132,2.29787767537812
"chr10:123325525-123342716",2.79523511342641,2.95300436228389
"chr10:125602104-125622030",1.61482343710899,1.70292415433313
"chr10:134146140-134146680",2.18423131659272,2.19779313528927
"chr10:134490340-134503796",2.04665641083044,2.40584738272379
"chr10:134504059-134511220",1.79032352151856,2.06456715939466
"chr10:134511523-134521717",2.2232411303618,2.5606568677209
"chr11:34065841-34073130",1.69569136279396,1.90818403443223
"chr11:45946540-45947490",1.50680394974725,1.36043664782731
"chr11:61197754-61198838",1.54127031579919,1.63019493070438
"chr11:62161922-62172475",1.71043998147341,2.27185294706999
"chr11:65236062-65265133",1.60413539877815,1.74202681891757
"chr11:65410210-65412326",1.75584494231469,1.92933458121201
"chr11:73677396-73678884",2.33691019295797,2.5308765708383
"chr11:73681511-73685612",1.55529027013787,1.81765780840475
"chr11:111808383-111816263",1.75680927440841,1.95082108319108
"chr11:128464623-128484135",2.01823722354469,2.21669240747249
"chr12:19149492-19185438",2.06144907431817,2.00426243199768
"chr12:49944212-49948020",2.02719879875641,2.3794587571075
"chr12:50353527-50355553",1.97151582819743,2.31073823817193
"chr12:56296239-56297071",1.69233490074871,1.98431898622283
"chr12:89896547-89913085",1.78426734820289,1.78932456550469
"chr12:96883804-96894512",1.63260519976727,1.57848976237489
"chr12:96897907-96900606",1.91554805555915,1.99210021724654
"chr12:112571224-112572442",1.83838058531595,1.87209517087679
"chr12:113635517-113637750",1.85901736174176,2.06295214942272
"chr12:113638718-113645143",2.26557269181928,2.34895145011779
"chr12:120703674-120714713",1.63592790616129,1.32835331631624
"chr12:121736211-121745948",2.51646470875793,2.53877026610614
"chr12:122080683-122088924",1.57840092253927,1.41544484262845
"chr12:123737189-123737837",1.67563920187808,1.80608319041524
"chr12:130602833-130634794",3.93896904142048,4.21179145952316
"chr13:34054056-34085367",1.66558244891557,1.89162415261374
"chr13:111341351-111350165",1.7398443726625,1.88425736971494
"chr14:25282038-25284768",2.59444683061441,2.9195037118148
"chr14:31672942-31674903",1.51967289847915,1.49659018621302
"chr14:77391092-77425881",1.56522816869642,1.41146005109483
"chr14:90966815-91006832",2.10105012843761,2.29003459449381
"chr14:91451644-91467332",1.63106250273072,1.45033764486388
