"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:2118745-2120883",1.88359955339583,2.11829762970637
"chr1:6663161-6673645",1.99062438129399,2.2263940195174
"chr1:12035695-12040138",1.86353520136313,2.05108348397398
"chr1:15656655-15660562",1.56426851347234,1.72942623201071
"chr1:15672202-15675438",1.85576373947175,2.08586228298841
"chr1:19666211-19669146",1.5088138573591,1.57970696511435
"chr1:19812166-19836987",1.8746110530347,1.75409165475519
"chr1:22195282-22198579",1.80821922981197,2.00033974696857
"chr1:24114822-24117360",2.09053783527939,2.34573492320215
"chr1:26140769-26141939",1.58099370283198,1.57741563944414
"chr1:27693483-27694847",1.83807169725601,1.80052103518995
"chr1:29449113-29450268",3.02453436854439,3.17523396576992
"chr1:32115072-32117350",2.15616254619827,2.17935345371017
"chr1:32134556-32135312",1.5952547848352,1.65840144984297
"chr1:36323591-36335309",1.62313790916464,1.67810577895356
"chr1:36646550-36657416",2.84320637789781,3.02799483334447
"chr1:36657869-36680267",2.08828590848482,2.42192217456591
"chr1:38460292-38462342",1.60302662231613,1.89647369630106
"chr1:38465204-38470929",3.35846131481565,3.54763265483537
"chr1:53547960-53550085",1.74981145098136,2.01374585735894
"chr1:53551274-53552755",2.01636484965946,2.30940435397682
"chr1:59510386-59519969",2.7835457278743,2.88094069178709
"chr1:59525454-59529508",2.12738237759848,2.3984163953327
"chr1:59553967-59597508",2.51910914703353,2.81867384092153
"chr1:59755412-59762210",2.91908700184626,3.00007507694607
"chr1:77886171-77904996",2.20381304286064,2.42728809981066
"chr1:85933443-85947864",2.86914203705023,3.25182185935841
"chr1:85948307-85953874",2.41050811239033,2.85339717755402
"chr1:85954173-85960312",2.03694406520746,2.49221019097116
"chr1:85962064-85987251",1.68420917727151,1.82792082656572
"chr1:85987593-86041415",1.63950501918527,1.59004047853263
"chr1:89567128-89569868",1.66589815633492,1.62446251855308
"chr1:92149514-92160947",2.39598485140724,2.75369413263912
"chr1:92351887-92358240",1.97439982738581,2.21982042875611
"chr1:112129818-112142177",1.61648610076859,1.87682179305694
"chr1:112151445-112162299",2.24628055612184,2.3698230873237
"chr1:112270553-112281708",1.74665864399522,1.74314620718589
"chr1:112775880-112811629",1.85492508486799,2.13790656753534
"chr1:113583232-113589308",1.94394320481576,2.18223515303158
"chr1:115829528-115836148",2.05168573884513,2.39174556202592
"chr1:115836471-115880725",2.21278006235291,2.66205981835704
"chr1:119485933-119530114",2.50837317327018,2.68117769828769
"chr1:150117605-150121273",1.81236387178155,2.21535336859004
"chr1:150132360-150136292",2.56112615652749,2.75209905225762
"chr1:153510012-153512430",1.71767311542614,1.94683125147349
"chr1:153521066-153521404",1.97734589200313,2.38892401486435
"chr1:153666568-153676464",1.5029714219487,1.832915994196
"chr1:153758397-153767549",2.79111707256686,3.12607546848132
"chr1:156481573-156495097",3.31744159008231,3.41499228304972
"chr1:161933960-161952882",2.09970095074482,2.25260198254639
"chr1:161955122-161967515",3.10286986784963,3.42113494663969
"chr1:161970231-161975987",3.3205981135106,3.61655683477668
"chr1:162625264-162674742",2.54485677116006,2.92080556940803
"chr1:170633700-170636422",2.22456939890699,2.52364772234613
"chr1:170638666-170688767",2.13944690251786,2.38213349640353
"chr1:170691909-170695261",2.747681259595,3.17546158792886
"chr1:170699862-170704835",2.06415926518134,2.44463784308587
"chr1:172108147-172109361",2.61864143846478,2.64231674655251
"chr1:172109836-172111176",2.7286716651466,2.96820630715675
"chr1:172111453-172113405",2.8002511734851,3.09323126291395
"chr1:178791820-178802459",2.00831972847307,2.42110478284774
"chr1:182987857-182992495",2.08914214755929,2.41536477582956
"chr1:183114827-183155273",2.30819089443965,2.62631356833348
"chr1:192507332-192536177",1.81855169909491,2.14746261033947
"chr1:201465801-201475650",2.61347120958918,2.89372992680193
"chr1:201867626-201868201",1.89223337669038,2.06247762103694
"chr1:201869979-201915108",3.18534497398028,3.36514151962401
"chr1:202544414-202549502",1.71839929477296,2.02104162153651
"chr1:202572346-202573296",1.74453069522774,1.68238230268599
"chr1:203478092-203542475",3.43111509850755,3.4660400466455
"chr1:208052518-208057494",1.68354034014568,1.95644686248374
"chr1:219595400-219608394",1.9688811667457,2.31403801086046
"chr1:219610615-219615814",1.81870472551813,2.07028720960756
"chr1:219616084-219639325",1.53424684335793,1.53152860310799
"chr1:221055790-221057437",1.5790038665586,1.87357042465814
"chr1:225636387-225652825",2.55078374368183,2.74123268986211
"chr1:225653145-225673570",2.60984331419513,2.77497577588073
"chr1:225929184-225938922",1.98399877244441,1.97730168980512
"chr1:226969545-227016168",1.71213185993272,1.70805244996992
"chr1:236047040-236078615",1.88293638746654,2.00509636690872
"chr1:236144053-236144811",1.50231966386806,1.78165854032081
"chr1:236145182-236148579",1.76964942234318,2.06465681725541
"chr1:236212389-236223877",1.71970612137543,2.02170211341837
"chr1:236850199-236881058",1.59361006297129,1.59819070696851
"chr1:247552876-247579358",1.96059689183277,1.75726174244011
"chr10:4286204-4327977",3.82407128459942,3.96785070079987
"chr10:7528871-7567677",1.74545703018503,1.64809268540421
"chr10:30025810-30036073",1.98952153991141,1.92365559089641
"chr10:54077902-54096746",2.40331610382986,2.48547090414915
"chr10:69835205-69865812",2.1226545291576,2.16002865839979
"chr10:71169138-71174601",1.83883631643896,1.92735151888307
"chr10:72408994-72432459",3.35041458845277,3.64966060785113
"chr10:72468634-72488950",1.55055774122127,1.51382272968172
"chr10:72505162-72509478",1.66815874706071,1.86536319422952
"chr10:72513863-72517327",1.50109294572277,1.80278289388795
"chr10:73338443-73375161",2.28783297965637,2.39894635503368
"chr10:75634443-75668835",1.57599093603194,1.5757382976313
"chr10:75738364-75757772",1.8850808800924,2.05161408185184
"chr10:81892682-81901738",1.54837572155446,1.81142024601657
"chr10:90695430-90697718",2.6789741361136,3.03842742408676
"chr10:90698333-90699052",2.34470457898116,2.57122368836439
"chr10:90701726-90703454",2.25456255984491,2.47578488484178
"chr10:90703764-90706477",2.19592290197219,2.53640382493332
"chr10:90708810-90712388",2.57481672724142,2.77503278688622
"chr10:90735010-90750314",2.49947745118898,2.43764897655798
"chr10:90751483-90762686",2.70006231365462,2.92712653686695
"chr10:99478007-99487041",1.77050936776713,1.85093693250283
"chr10:124204745-124214069",1.70573663845965,2.11684468510126
"chr10:124221740-124248318",2.1236336533137,2.37893169211457
"chr10:128077124-128102338",2.41778039861922,2.85821376383124
"chr11:311241-313406",1.64043174111161,1.85116244699566
"chr11:6341977-6349696",2.51194203331511,2.84978876586574
"chr11:10617442-10621138",1.8992889080856,2.1563925596611
"chr11:10900923-10906332",2.44257737059898,2.55312192267804
"chr11:12420000-12474182",1.93532243154988,1.88522179841523
"chr11:12689536-12695869",2.32975233441188,2.6534687352843
"chr11:59940702-59942775",1.65201532666428,1.81369672223387
"chr11:61667311-61669814",2.35220199943551,2.49497937823146
"chr11:62344893-62345933",1.8195108567813,1.71782862583841
"chr11:65090000-65101125",1.81012886090335,1.78424399508461
"chr11:68769616-68771762",2.60641636708351,2.84301709540631
"chr11:86664052-86665743",1.79513863060736,1.81167211626136
"chr11:111688363-111699479",2.14869694344778,2.04888096967061
"chr11:122934038-122942935",2.09167329366668,2.15239517318097
"chr11:124918743-124932863",1.60686488777684,1.72306382529595
"chr12:2158729-2162364",1.94689625339825,2.26952851494439
"chr12:5538578-5541178",1.68299920249786,2.04143272882381
"chr12:8208199-8210798",1.86624320217652,2.32319078297894
"chr12:20523296-20602489",2.03642599405685,2.44200276932152
"chr12:49622049-49627252",1.70251675148133,1.86147529764343
"chr12:52317245-52321684",2.51304187699259,2.69585157006669
"chr12:54526727-54538753",1.55046097643604,1.82980535587785
"chr12:54785182-54788945",2.50717244061319,2.65931790647676
"chr12:54790260-54790955",1.85399418716229,2.0259409287753
"chr12:54791371-54792281",2.25135347625556,2.21219686400223
