"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:755314-761486",1.90677882736869,1.9848363862801
"chr1:840437-846715",2.74496088202198,3.05232240213046
"chr1:935652-943356",2.13137388953174,2.13210809016872
"chr1:943709-947277",2.03346600307995,2.19260123001138
"chr1:1164426-1167172",2.44433533142953,2.54869146157918
"chr1:1232113-1233102",2.79716843686312,2.89612776082451
"chr1:1253379-1253903",1.50598647039147,1.28142243649487
"chr1:1654371-1655139",2.00992859922261,1.84186792028705
"chr1:6663161-6673645",2.57205118494716,2.80782082317057
"chr1:6674767-6676717",1.6515358113726,1.88497952727958
"chr1:7309786-7375164",3.62742591083348,4.03451667147328
"chr1:10226500-10228094",1.98800926927263,2.10966410585096
"chr1:10344759-10351040",3.98872092534905,4.21101122184161
"chr1:10359230-10363121",1.98522468811947,2.18406363795951
"chr1:10441761-10449959",3.27439691457105,3.71357486465519
"chr1:10450453-10458549",3.44039588153184,3.71522378072152
"chr1:11970084-11979548",2.02913534554608,2.27719054161274
"chr1:11980489-11982132",2.04645560620694,2.13387131278516
"chr1:12567551-12568847",2.249075547644,2.23768815359847
"chr1:12572199-12587666",2.24020088942798,2.43102052153204
"chr1:16061364-16062800",3.0469635823849,3.03264235757203
"chr1:16155267-16160460",3.06548115006561,3.24687132103992
"chr1:16556138-16558095",1.70188054709524,1.78086497193859
"chr1:17866545-17906948",3.24055498117978,3.5948249467106
"chr1:17965284-17966148",1.51308245525685,1.65854410701175
"chr1:19586722-19592376",1.95998337368171,1.90049140437912
"chr1:19612966-19614890",1.88881725716461,1.97540840585961
"chr1:19666211-19669146",2.41244729351792,2.48334040127318
"chr1:19669458-19670752",1.94883243670894,2.21520321417147
"chr1:19671028-19671581",1.66467533584167,1.76369313591256
"chr1:22357816-22379020",1.51226477555403,1.18352994315406
"chr1:23504401-23516893",2.4790280701547,2.48850209288587
"chr1:23877506-23884309",1.5632916938633,1.63450269023838
"chr1:24606445-24633946",1.60761510997117,1.59707671603909
"chr1:24638582-24645712",2.68582672154776,3.0371441619242
"chr1:25559093-25568628",2.22237669884612,2.23210810817079
"chr1:26238413-26261242",2.22926833430588,2.42559309273497
"chr1:26441184-26448228",1.93975296852534,2.18778273864074
"chr1:27816769-27852216",3.67955397376511,3.69519310293345
"chr1:27852496-27856771",3.11664051014425,3.42376004135355
"chr1:27857172-27860446",3.08221872623515,3.37616927934305
"chr1:28970129-28971700",3.61533302388131,3.87177450076147
"chr1:29508599-29513464",2.6165229190309,2.73438060917699
"chr1:31666867-31712241",3.56223312939235,3.70840654496982
"chr1:31838886-31840140",3.36169773753866,3.69466781660468
"chr1:31840441-31841817",3.22946073417579,3.56003037494123
"chr1:31842537-31845689",3.02431584064769,3.3678761165739
"chr1:32115072-32117350",1.91028953746252,1.93348044497442
"chr1:32138927-32140508",2.50706677103869,2.7292438133053
"chr1:32198844-32200684",2.43376106524472,2.76173215209882
"chr1:32802080-32814695",3.33287095459401,3.53214651770776
"chr1:33591649-33610903",1.81868130321465,2.05001400478706
"chr1:33625645-33630972",1.53669939444013,1.8255234198686
"chr1:33631267-33641909",1.88877559602754,2.02850669453623
"chr1:33819140-33819902",2.1014812863552,2.43088670299155
"chr1:35325517-35330937",3.76530045867915,4.20244161152992
"chr1:36323591-36335309",1.73917118790713,1.79413905769605
"chr1:36639180-36640399",1.76878140138954,1.85560341118558
"chr1:36646550-36657416",2.07042182561147,2.25521028105813
"chr1:36868560-36878794",1.73250592022582,1.66488967100338
"chr1:37962437-37966436",1.9474469085152,2.04970217436966
"chr1:38460292-38462342",1.65855865430767,1.9520057282926
"chr1:39541434-39546888",2.03209450754801,2.09637849226519
"chr1:39550210-39568275",1.72633818248924,1.6586261873638
"chr1:40105717-40119561",2.5573288014626,2.93858641599427
"chr1:40310412-40312616",1.74146674502883,1.57869249807049
"chr1:40316033-40317075",1.65479638354639,1.5767956686203
"chr1:40424597-40428252",1.74629522924164,1.89417175163663
"chr1:40429176-40429783",1.8004534344068,2.06982509141688
"chr1:40435738-40456907",2.83992497593418,3.12901038184825
"chr1:40539955-40542414",1.73911492635048,1.76661550067062
"chr1:41153457-41155952",1.91278023387786,2.07264759969421
"chr1:43833796-43849488",1.86648271784355,1.67812823921475
"chr1:44403013-44409942",2.46043942983034,2.58803417569176
"chr1:44410568-44411816",2.86584494773395,2.83567594628251
"chr1:44413456-44414944",1.75181524321961,2.0855937368376
"chr1:44424661-44425821",2.26813958026199,2.27472782068394
"chr1:44427034-44429841",3.73445914136878,3.84229621772347
"chr1:44430093-44431511",2.79494133107435,2.7168261366439
"chr1:44463797-44466339",2.35912053328857,2.57864647957823
"chr1:44490134-44496878",3.50967134484883,3.79757816237772
"chr1:45178949-45187358",2.95674323046948,3.05415526016742
"chr1:45187674-45189357",2.73950818560711,2.95890073000751
"chr1:45206779-45211966",2.29703390334523,2.340183881826
"chr1:45289157-45291822",2.23498273769709,2.5440590078187
"chr1:46321717-46339558",2.07355475929733,2.2438272358911
"chr1:46435246-46448703",1.85398551176799,1.87042944961643
"chr1:51171823-51183886",1.67925803120186,1.64739627769701
"chr1:53547960-53550085",1.88923181004417,2.15316621642175
"chr1:53551274-53552755",1.99904554721019,2.29208505152755
"chr1:53608389-53640408",1.58842523601486,1.45232271408049
"chr1:54684550-54686184",2.80960109195895,3.07207983864066
"chr1:54686703-54690698",2.43661482457586,2.62421290324113
"chr1:56957112-56960319",1.74910482090288,1.97024496803099
"chr1:59365484-59409281",1.72742206959702,2.06590635041779
"chr1:60165166-60198799",1.98698553883649,1.99632178202296
"chr1:61331238-61403200",2.86620800241142,3.28872509977555
"chr1:61543400-61547339",2.4317583275164,2.57599532768127
"chr1:63154423-63158035",2.56464293129964,2.84582352944553
"chr1:65720432-65730324",3.38868363963963,3.7552820365159
