"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:970804-975945",1.56546397796822,1.81615334482315
"chr1:977642-978519",1.57326305219821,1.40761452813308
"chr1:1072590-1076105",1.59947450332465,1.97902035446452
"chr1:1164426-1167172",1.64585511884104,1.75021124899068
"chr1:1199049-1200063",1.7497153548583,1.84652601005213
"chr1:1200310-1201378",1.71997275858807,1.85486367726762
"chr1:1203472-1206790",1.50551266387695,1.5400197534954
"chr1:1256576-1257188",2.66927277858932,2.66271196360135
"chr1:1577969-1580387",1.50327032499803,1.6175393192458
"chr1:1725736-1735758",1.62402009983411,1.86293046328378
"chr1:1738077-1747095",2.33237757188846,2.69066112375866
"chr1:1749925-1756327",1.58301252340863,1.71617887252265
"chr1:1757093-1763571",1.52051436020163,1.73819433782722
"chr1:1763824-1770529",2.62390121784645,2.88301505293803
"chr1:1771221-1821703",1.60273883241394,1.82718366642023
"chr1:2107051-2113133",2.25016896243284,2.31154038486875
"chr1:2152277-2160034",1.54252663504308,1.875383728598
"chr1:2236124-2237359",1.57038668135346,1.78299270393711
"chr1:2328759-2330754",1.59108081804378,1.52961732601332
"chr1:3392726-3394339",1.68571508834688,1.86445537200901
"chr1:6271278-6271827",1.94892955478605,2.00103619764873
"chr1:6378738-6387259",3.42118230676104,3.80347419629789
"chr1:6655717-6659007",3.41609669495533,3.55105238111841
"chr1:8586198-8596041",2.49377484022985,2.84435045391208
"chr1:8796427-8810389",1.57294610597298,1.76477415547719
"chr1:8932145-8934783",1.63191110974875,1.85024618039044
"chr1:9171648-9188604",2.27048609360155,2.25975500389794
"chr1:9354753-9411390",2.87112967944903,3.0038511095082
"chr1:9416744-9427407",1.75523264306716,1.80837423739997
"chr1:9752104-9770156",1.67161285442517,1.96500740054158
"chr1:10119806-10131986",1.93249569416679,2.07379702477535
"chr1:10167532-10177417",2.38953378814328,2.68759312945809
"chr1:10182234-10186752",2.25860842040793,2.34238993008538
"chr1:10197363-10204898",2.80791883124028,2.93947964299286
"chr1:10211719-10218312",2.79404494748831,3.18581779880575
"chr1:10221444-10223226",2.06185842495475,2.37969631455003
"chr1:10223532-10226202",2.47731640688544,2.82436746276718
"chr1:10226500-10228094",1.91632203185971,2.03797686843803
"chr1:10228428-10230914",2.28954025695945,2.48370384742799
"chr1:10231487-10238602",1.52855632385637,1.56647734356363
"chr1:10359230-10363121",1.73066341191944,1.92950236175948
"chr1:10412894-10419745",2.87407201166159,3.30518381723654
"chr1:10460729-10463028",2.00161905641522,2.21017855770941
"chr1:10464436-10468028",2.05329751364566,2.33128737222926
"chr1:10471709-10472791",2.14720823242731,2.34770358603076
"chr1:10555478-10576985",2.00769354634437,2.29756437345417
"chr1:10596729-10617498",1.7551108649127,1.86793531808073
"chr1:10684594-10687229",1.6190504926216,1.53952772224532
"chr1:10721555-10725040",1.71755919478273,1.84024492242108
"chr1:10754636-10764153",1.59788195041384,2.11099715212094
"chr1:10821014-10856521",2.01929333873618,2.57275551544535
"chr1:11860479-11861118",1.5994159835452,1.97864669799347
"chr1:12059252-12061358",2.06720102983365,2.16461211590083
"chr1:12062260-12063949",2.83344523515281,3.15232951111676
"chr1:12539028-12557180",2.13327290586412,2.43248341033168
"chr1:12640794-12655899",1.79997042761863,1.88459920224672
"chr1:13912234-13922222",2.24496474613605,2.43948331173276
"chr1:14042209-14057395",1.85162543957054,2.23316111221114
"chr1:14643551-14673200",2.9992764151046,3.11689233126878
"chr1:15287471-15361145",1.67282190794034,1.80080370247573
"chr1:15480550-15490740",3.15871138566824,3.47615332000422
"chr1:15491057-15494870",3.23194497025758,3.53524975507284
"chr1:15497913-15518224",2.998371514866,3.37178355540165
"chr1:15519441-15536886",2.44853536150939,2.89190178729993
"chr1:15736875-15752267",2.55210401366914,2.87365085884867
"chr1:16011213-16042632",1.99524779179968,2.18652641826985
"chr1:16046515-16047724",2.4532004819397,2.62007899203706
"chr1:16049882-16051712",2.62117590258389,2.64218273152431
"chr1:16085443-16090888",2.31424085121765,2.74239272867338
"chr1:16097173-16101013",2.62318767376457,2.64368443230654
"chr1:16101837-16103410",1.96962443126782,1.92367646817848
"chr1:16103882-16110943",1.84099745616188,1.8292785256562
"chr1:16236076-16237292",3.06624005505818,3.43195227515714
"chr1:16262861-16263558",2.66575385732429,2.77577917673356
"chr1:16451915-16455829",1.96485787481547,2.14568594445421
"chr1:16457014-16458116",1.5677994250684,1.84014520280663
"chr1:16462365-16464248",1.66877100741353,1.94377460868681
"chr1:16465025-16472818",2.69626401720977,3.22682397462971
"chr1:16473045-16474773",2.41211269784385,2.58358506541259
"chr1:16486021-16487896",2.29341555033336,2.50154209491684
"chr1:17766320-17773164",1.56023357973551,1.93504235249139
"chr1:17866545-17906948",1.50667375507562,1.86094372060643
"chr1:17907227-17913855",2.54438610757611,2.75994995844879
"chr1:17961611-17964283",1.66118262644457,1.69729945957994
"chr1:17966897-17974949",2.11044991748608,2.22934324643629
"chr1:17991190-18013968",2.02516867912263,2.37325050157987
"chr1:19238677-19243297",2.78822233898828,2.80741377361887
"chr1:19247715-19282062",3.86985828609724,4.21240925487677
"chr1:19410245-19410898",2.14962630281806,2.3182466215703
"chr1:19669458-19670752",2.0780949874884,2.34446576495092
"chr1:19671028-19671581",1.72663191459274,1.82564971466362
"chr1:19671846-19683029",2.129346984402,2.32345181666451
"chr1:19684157-19700569",2.48832968490085,2.75821229005843
"chr1:19705247-19711899",2.14196620743127,2.14689985302996
"chr1:19751263-19775228",2.05320278637037,2.23390839460625
"chr1:19775924-19810278",2.52458293146792,2.8816305089549
"chr1:19924789-19927181",1.92026608494536,2.2472803765838
"chr1:19927898-19934508",1.73932519607164,1.80311662503971
"chr1:19943930-19948494",1.89349343190301,1.95934923572865
"chr1:19974264-19981405",1.74830680723161,1.87699517259398
"chr1:21564943-21571382",2.92200567118313,3.28384988676299
"chr1:21573956-21582340",1.84240170885301,2.0946751025396
"chr1:21599504-21605584",3.0986527024311,3.36828021180486
"chr1:21606662-21616463",3.1097754093451,3.33313496069204
"chr1:21626367-21671330",1.79602391649244,2.07715430047315
"chr1:22075428-22077900",1.74322873896329,2.05379656263816
"chr1:22195282-22198579",2.00053966015646,2.19266017731307
"chr1:22235173-22263548",1.71349603222676,1.8148218851298
"chr1:22386279-22390391",2.22768650335055,2.4225447457135
"chr1:22390792-22394733",1.61961350394062,1.81692415312473
"chr1:22395420-22400487",1.52304555134262,1.73621766150387
"chr1:22400812-22404822",2.23014280102733,2.47050034150365
"chr1:22408387-22412832",2.31864945111944,2.52562936508673
"chr1:23046191-23075210",2.30845481877788,2.56816193846452
"chr1:24448327-24449692",1.59570509638454,2.02567305181859
"chr1:24450013-24454531",1.85880687277647,2.19054846044882
"chr1:24746718-24748204",2.28782457095152,2.55698268553165
"chr1:24841157-24855845",2.33741617334554,2.59676772686117
"chr1:25072216-25104264",2.79250636826914,3.00411587525001
"chr1:25104570-25119568",2.84229684535125,3.10390830044515
"chr1:25678284-25679273",1.76851915103615,1.66281209249741
"chr1:25679565-25683184",2.8181012678069,3.05974260275202
"chr1:25683444-25687051",1.87330439507266,1.84240243317841
"chr1:25870377-25876352",1.55207523032734,1.83837761996976
"chr1:25876626-25879755",1.74881226552291,2.03820256737756
"chr1:26680721-26688025",1.60826855490871,2.05175166694574
"chr1:27440877-27480374",3.19751745471513,3.45671520630651
"chr1:27674603-27675471",1.68203958225265,1.91126251889755
"chr1:27745689-27755171",3.15397807127699,3.35725599330811
"chr1:27755543-27783609",2.26413328004846,2.51313615070138
"chr1:27786193-27816397",1.87714988169976,2.14364454292084
"chr1:27861527-27873672",1.77056753662616,1.7522112446911
"chr1:27885494-27929808",1.67095355226828,1.98223445462633
"chr1:29476804-29478901",1.52041116596686,1.56177505336326
"chr1:29479603-29481108",1.97549520096539,2.10741064350205
"chr1:29481522-29485786",2.25538400632915,2.5409330693043
"chr1:29487175-29492302",2.09523088142548,2.28338333340392
"chr1:29493524-29494915",2.5605437872777,2.67571083204507
"chr1:29495251-29508058",2.33026351141145,2.49902612864988
"chr1:32101223-32109550",1.56155660330016,1.7590800790112
"chr1:32387542-32389519",2.09772242907311,2.3700127932856
"chr1:32389866-32396434",1.76054432784669,2.0918042414116
"chr1:32396843-32398173",1.86367836039565,2.27659564993252
"chr1:32774492-32782166",3.18577068444033,3.35047844013693
"chr1:32782483-32789980",2.62866158299248,2.71280140310989
"chr1:33802565-33815098",1.55083801892213,1.56937677805276
"chr1:35248143-35250011",2.13448841444962,2.68722474966424
"chr1:35910004-35913674",2.0068899449531,2.3906943204112
"chr1:35926138-35928122",1.74803019829541,1.94766085623917
"chr1:35928414-35932109",1.6214871632995,1.88849809912252
"chr1:35999142-36019851",1.99643255038821,2.17461299302231
"chr1:36274136-36282383",2.60376736613679,2.8657630226332
"chr1:36282748-36288363",2.07838200186819,2.38849621574416
"chr1:36292536-36296928",1.69994104439628,1.92800498698319
"chr1:36316896-36318989",1.5761417034682,1.79795853514828
"chr1:36606699-36614593",2.42883514461643,2.6205272427757
"chr1:36639180-36640399",1.71752238091702,1.80434439071305
"chr1:36640709-36641700",2.1934989523806,2.01433692170513
"chr1:36691164-36707399",1.59862602944096,1.87070806739032
"chr1:36725185-36748034",2.27279194384447,2.53661354014069
"chr1:36748401-36751869",3.15600928078179,3.21835884077235
"chr1:36762471-36766387",1.61471677256387,1.69828899697434
"chr1:36809965-36814201",2.31183472301005,2.38368739147985
"chr1:36814516-36819865",2.886168540891,3.22085301806943
"chr1:36824538-36826722",2.94733649438709,3.20464310271131
"chr1:36828357-36831472",3.06617094746027,3.37666350696352
"chr1:36831773-36833349",3.39622037673206,3.73977034764854
"chr1:36838475-36851224",2.51796567487118,2.76983897831235
"chr1:37922160-37939645",1.6906650716415,1.75306774119334
"chr1:37941640-37945500",2.25811585211404,2.37165790237927
"chr1:37946130-37947102",1.92557332934735,1.91958624645585
"chr1:37967697-37974461",2.96184190530476,3.31208463765172
"chr1:38478637-38481931",1.75075662080783,1.77542755756932
"chr1:39457372-39463743",1.59790992120217,1.70133361132397
"chr1:39464083-39466544",1.96301393896937,2.00013897951697
"chr1:39571489-39586512",3.03960546326268,3.1364572920612
"chr1:39586815-39619736",4.02533456298506,4.24074093859894
"chr1:39620068-39669818",3.7332970181953,3.87396718063703
"chr1:39825036-39826365",2.24100712154371,2.58032314323426
"chr1:39827449-39833720",1.55963172454102,1.83061059729144
"chr1:39839245-39844033",1.78282657395432,2.07110458307539
"chr1:39854430-39876051",2.1828831808858,2.30402832627804
"chr1:40031150-40032946",1.5796077260571,1.76036989866165
"chr1:40038975-40041331",2.32023204103965,2.48633940837177
"chr1:40310412-40312616",1.59797084261286,1.43519659565451
"chr1:40313869-40315691",1.7387547928512,1.66582468966464
"chr1:40316033-40317075",1.59491816887111,1.51691745394502
"chr1:40319840-40322849",2.14927064791966,2.46629836447211
"chr1:40424597-40428252",2.23878326694353,2.38665978933851
"chr1:40429176-40429783",1.61127347323301,1.88064513024309
"chr1:40830955-40839269",2.11363984705253,2.30548513599653
"chr1:41161517-41174929",2.19414400140526,2.47097676339125
"chr1:43396977-43408797",2.60222868778646,3.07001613473002
"chr1:43409092-43417261",2.8080310581626,3.2210850195077
"chr1:43417701-43424205",2.47857675649687,2.95097205885634
"chr1:43425348-43435820",2.86971634145883,3.12524580779614
"chr1:43442199-43448696",2.47836140843678,2.62056899786117
"chr1:43449129-43457009",2.324847539189,2.35301782232392
"chr1:44048864-44054302",2.28690158070091,2.52910467129644
"chr1:44483112-44489820",2.54740118430601,2.76219672267675
"chr1:46144429-46151148",2.72918278016142,3.0262207099637
"chr1:46752271-46762314",2.1064589345314,2.3121707146458
"chr1:47144408-47147753",2.81111783942487,2.93801466529689
"chr1:47150916-47152245",2.28432478298594,2.51329880454045
"chr1:47152701-47153925",2.64573852350569,2.88278250608569
"chr1:47154316-47155159",2.22278128280082,2.29182584258122
"chr1:47157870-47162123",1.63560725088316,1.84696440745316
"chr1:51149444-51171356",1.55945841502391,1.64360845417111
"chr1:51778715-51787293",1.99066831275738,2.03620248541975
"chr1:51985100-52001616",1.8988813487388,2.30303644561043
"chr1:52029510-52031878",1.65182893531036,2.04692199783931
"chr1:54801654-54821988",2.28551594345946,2.62391759410703
"chr1:55248250-55250124",2.75546055360053,2.95802792105557
"chr1:55253870-55258458",2.39583224951281,2.52819373379988
"chr1:55260678-55266170",3.33165977434992,3.57423084697791
"chr1:57004683-57044451",2.27445597211199,2.58803127970089
"chr1:59043266-59063099",2.1742891023278,2.20313806377741
"chr1:61554452-61590305",2.40312209203318,2.63299543317365
"chr1:61590974-61598267",2.1194413390489,2.15606886359337
"chr1:61598800-61714517",2.92760537944836,3.28274665101149
"chr1:61719282-61743092",2.21062567231352,2.30482825113442
"chr1:61905290-61920875",2.47097345784791,2.60285557674409
"chr1:62909091-62910309",1.78879231919973,1.87981925660743
"chr1:63759672-63770266",2.224779536694,2.34851391290551
"chr1:64379792-64450433",2.76510095468145,2.94771831979793
"chr1:65313890-65316387",1.54407424111165,1.79731279506735
"chr1:66798403-66819965",1.92275964095094,2.25057635057888
"chr1:67883967-67885348",3.17703541894193,3.43541717843383
"chr1:67886348-67889783",1.8526060195977,1.99871538661634
"chr1:68173495-68238176",1.65772295628177,1.51741969850094
"chr1:70688581-70694005",1.57431610840692,1.8243826468142
"chr1:70694510-70695647",1.57706771355363,1.74318208244185
"chr1:70705303-70710267",2.57215677896763,2.81003132895982
"chr1:70710598-70712313",2.74196400273555,3.08605906656533
"chr1:70712932-70713977",1.65082082480583,1.75473323124187
"chr1:78421243-78422157",2.28502317444532,2.37547306929731
"chr1:78426570-78428355",2.15011602572684,2.45320432248717
"chr1:78434868-78435509",1.76285142461751,1.91167874577063
"chr1:78446106-78446789",1.68628824634071,1.78124686741795
"chr1:78447086-78458338",1.74612599252404,1.86640275737239
"chr1:78471105-78474511",2.38094489146963,2.71497253468878
"chr1:85733765-85736201",1.70456103131863,1.87195663873252
"chr1:85736689-85741879",1.98818783403723,2.07980966456545
"chr1:85962064-85987251",1.63019714359131,1.77390879288552
"chr1:87181648-87185090",2.35983847088087,2.63986675287252
"chr1:87798034-87803618",1.68856542590801,1.58522850370409
"chr1:89992645-90015374",2.27109562746503,2.43109991293346
"chr1:92163787-92174120",2.0278858846551,2.49273328362679
"chr1:93399755-93426833",2.30038362816787,2.47322447314823
"chr1:93806167-93810997",2.37114274342272,2.62746365380924
"chr1:94033784-94037127",1.54096882396526,1.7564428242799
"chr1:94079754-94102735",2.72344129389776,2.98792149647707
"chr1:94125465-94140070",3.09877464542629,2.98807196858925
"chr1:94998924-95001421",1.93751324006087,2.22463349106932
"chr1:95001820-95005713",1.64522467981717,1.94360430641429
"chr1:100135479-100148722",3.09584405812753,3.29555700211136
"chr1:109675466-109704128",1.90838218015375,2.1622235853423
"chr1:109865843-109867421",1.53135890793583,2.01536426092037
"chr1:110304495-110306344",1.6463409595521,2.0682784812855
"chr1:110527894-110546653",1.85235228298099,2.28389046446871
"chr1:110885412-110888061",1.84042183411932,1.90614290448219
"chr1:110889399-110905370",1.9750675672624,2.24479352480332
"chr1:111669016-111670505",1.60699359526881,1.84396500134044
"chr1:111670749-111673946",1.99800104173824,2.26273508646689
"chr1:111674290-111680045",1.51007917224796,1.88910799515339
"chr1:111707642-111715660",1.59275201931983,1.72948115512089
"chr1:112170285-112190813",1.91105067165652,2.16809668096345
"chr1:112193259-112217749",2.04096907806837,2.3002699915417
"chr1:112939307-112954716",2.85003091036858,2.87026950394197
"chr1:113163547-113168428",2.57049949673366,2.91255171029998
"chr1:115151594-115153594",3.0992836451934,3.47065084759114
"chr1:115267008-115267742",1.96619792906854,2.18670526122043
"chr1:115280793-115282213",2.57719404141933,2.75057074326415
"chr1:117064705-117075458",1.50971691995355,1.62323456292414
"chr1:117087326-117102546",2.85683320209098,3.12221864937223
"chr1:117102833-117113425",2.05196095226433,2.52687598273938
"chr1:120491849-120492643",1.52852395619822,1.62687512619754
"chr1:143979006-144013801",2.21489124024742,2.43354058193973
"chr1:150335974-150337026",1.65336840032808,1.92012449758088
"chr1:150534069-150538940",2.19194766796224,2.45654564767435
"chr1:150539436-150541349",2.06195280628704,2.32276138200373
"chr1:150541845-150546932",1.9478061376695,2.30396078756336
"chr1:150568302-150572915",1.95293072617801,2.20815900305218
"chr1:150573855-150593627",1.54532992044148,1.62989430655481
"chr1:151171763-151173258",2.49476212985257,2.76625903937168
"chr1:151267117-151270801",1.66801311620077,1.70358470767288
"chr1:151276226-151278512",1.50938747716364,1.57868036316031
"chr1:151289085-151297121",1.75318963656705,1.93001048506807
"chr1:151297493-151298548",2.09311753052048,2.27812191016092
"chr1:151585939-151601700",1.96140670367668,2.21251115811499
"chr1:151956759-151957534",1.95390750208828,2.14458231117954
"chr1:151958827-151964899",3.00160180150724,3.30920698538559
"chr1:152005399-152006024",1.74123155970742,1.91554651482755
"chr1:152006376-152009289",2.51701127720555,2.83812383049191
"chr1:153510012-153512430",1.6901008824789,1.91925901852625
