"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1139966-1140650",2.57110069416487,2.66877444873072
"chr1:1149618-1152188",4.07172677918681,4.10752788963521
"chr1:2030094-2036055",2.56294721611471,2.58755455857773
"chr1:2036434-2039730",2.37277290240885,2.62038417063765
"chr1:6067820-6078595",1.7554170078899,1.96915468512188
"chr1:6111914-6130822",1.72022960184686,2.05559188834622
"chr1:8904227-8920961",1.59392797791994,1.71999886239936
"chr1:8943692-8953368",1.69224222536169,1.67384310413338
"chr1:8954310-8967352",1.84795596431939,1.91999055793008
"chr1:9685398-9711690",2.09869230145955,2.35134397699825
"chr1:9792054-9793359",2.11962203139352,2.2979833316494
"chr1:10359230-10363121",1.56511527843846,1.76395422827849
"chr1:11880936-11882548",1.76573704586146,1.82640078613534
"chr1:12262328-12266697",1.61171773818065,1.94283635327962
"chr1:14022794-14026593",2.02059883092094,2.32341688894597
"chr1:15902687-15904080",3.09600330298409,3.32998648895807
"chr1:15915037-15918654",3.72021432708676,3.91511506815763
"chr1:16275092-16279305",2.18358133811499,2.23160167952269
"chr1:21617082-21619683",3.43800035240861,3.64024689695073
"chr1:21626367-21671330",2.37584633800167,2.65697672198238
"chr1:21672097-21674002",1.82105549891998,2.0305478627688
"chr1:23886385-23907885",1.84855526530764,1.78166957679972
"chr1:23919402-23953126",3.14390722221267,3.32768170224225
"chr1:24193423-24194288",2.32231605291533,2.31123688237801
"chr1:24208942-24227861",5.01694762406328,5.17445724596896
"chr1:25245935-25253965",3.0313893908314,3.21478406138942
"chr1:25256468-25287736",2.59291067889977,2.78999750834161
"chr1:26612628-26620583",2.60028686068698,2.74224523599436
"chr1:26885528-26887117",2.54666739914954,2.63286817354664
"chr1:27948268-27949453",2.19207696124352,2.47120501512929
"chr1:28470828-28473577",2.71313224278339,2.76733881283199
"chr1:31206864-31207920",2.53745544456558,2.84257784381212
"chr1:31208212-31210351",2.20049466030138,2.46920972853154
"chr1:31212884-31214387",2.4623817906506,2.73823462450516
"chr1:31219176-31230406",3.36276075335509,3.54922343411486
"chr1:32717072-32739614",3.11851428775949,3.36710522360973
"chr1:32742874-32745082",1.88388611897924,2.17763130744444
"chr1:36851597-36856739",2.10062340657747,2.18844365208713
"chr1:36859854-36863119",3.12914871167735,3.38903961442408
"chr1:39958097-39976746",1.67380728969479,1.86019740049818
"chr1:40495562-40505805",1.94903167689348,2.16223596307641
"chr1:40810682-40827872",2.77961616826383,2.87683814155595
"chr1:40862662-40872308",1.62060750830515,1.90214155643077
"chr1:40875607-40878588",1.89362940169231,2.09431454587872
"chr1:41113614-41130966",1.6932717457113,1.97813645158596
"chr1:44019712-44035161",1.69507689343908,1.5142411495868
"chr1:51971964-51983881",1.60067662441515,1.68959117282031
"chr1:51985100-52001616",1.82806539121683,2.23222048808846
"chr1:52027805-52029197",2.34403613773865,2.73771072178168
"chr1:52029510-52031878",1.99511869338261,2.39021175591157
"chr1:53094424-53098916",4.58828657598909,4.82774021804622
"chr1:53108774-53122362",4.26238782894842,4.38072279773486
"chr1:59510386-59519969",2.21367914734062,2.31107411125341
"chr1:65335257-65338953",1.65676082484544,1.81980124338378
"chr1:66834752-66837896",1.54755346802116,1.77283057991761
"chr1:85750456-85784064",3.63853629877678,3.88034673746405
"chr1:89488677-89517902",2.33120225452378,2.35322299002426
"chr1:89722447-89724533",2.06434181202156,2.05524751566383
"chr1:89726600-89727655",2.25211577172129,2.12831904423069
"chr1:89733309-89734312",1.57597280038417,1.74262654656639
"chr1:92909285-92940219",1.96521673898361,2.22186591104703
"chr1:93399755-93426833",2.19433994486206,2.36718078984242
"chr1:93447965-93460175",1.86536588813782,1.67854242524041
"chr1:93646539-93648082",1.61845709621558,1.84171025960122
"chr1:100502319-100503553",1.56385261638847,1.90275685654933
"chr1:108576325-108614004",4.02667823550402,4.29634666059786
"chr1:111199762-111214210",2.25273860256888,2.61275841747274
"chr1:111434193-111434867",1.81818048560127,2.02977318676346
"chr1:111435577-111436831",2.11559876526119,2.36877969942933
"chr1:111437777-111439175",1.93220073315617,2.13903833673058
"chr1:111439455-111440192",2.55136408257525,2.69136522666914
"chr1:111440614-111441646",3.01760108497467,3.1632824613715
"chr1:111442650-111448078",2.00019091414224,2.22914262819265
"chr1:111674290-111680045",1.84778712063241,2.22681594353784
"chr1:111680308-111681588",1.93823732842534,2.11924271608744
"chr1:111732050-111734662",1.55120928007524,1.22179884848677
"chr1:111735039-111737100",2.02814719597786,2.03678681317128
"chr1:111744107-111744917",3.77940610577926,3.9680488886768
"chr1:112129818-112142177",2.29362990546283,2.55396559775118
"chr1:112151445-112162299",3.37981366714871,3.50335619835057
"chr1:112270553-112281708",2.38305334634509,2.37954090953576
"chr1:117009174-117016756",1.56059589534802,1.88481263754305
"chr1:117041934-117057057",1.95150229517851,2.09199369820809
"chr1:117303354-117307006",1.68665366829884,1.78876854393249
"chr1:117307328-117310986",1.65240214410397,1.72558897150429
"chr1:117311950-117317626",2.16750117220858,2.31430837840686
"chr1:117318345-117399586",2.45354397200822,2.50238561140045
"chr1:150132360-150136292",2.52851590569515,2.71948880142528
"chr1:150137016-150160492",1.81505669268315,2.21136729354639
"chr1:150705721-150720153",1.66108159963219,1.92335301145945
"chr1:150720861-150722382",2.42370296143664,2.65945251734021
"chr1:150730556-150737014",1.53587314777321,1.86810526465008
"chr1:153898116-153901877",3.06837533735655,3.30408814787639
"chr1:153903640-153904552",1.82788119635366,1.84715837476725
"chr1:155917906-155919960",1.66894400545897,1.66872793259748
"chr1:155949004-155950558",2.01086012131523,2.02558653957202
"chr1:155955340-155958925",1.62767088647042,1.73294528469231
"chr1:156120154-156123218",3.30011484547353,3.61325845581424
"chr1:156133189-156137251",2.96235764366183,3.29441531921506
"chr1:156470720-156479546",3.49903267933925,3.60249077611788
"chr1:156779699-156783540",1.94559918685522,2.01920539413802
"chr1:157774091-157776338",3.80576632876879,4.13947903840377
"chr1:157777012-157789697",3.92279553270644,4.23209159476989
"chr1:159025045-159028939",4.23281009030842,4.37785508310219
"chr1:159029216-159032174",4.07296193677713,4.42225029644178
"chr1:159033564-159035600",3.67870252167121,3.94160247588618
"chr1:159043409-159046323",3.4334483567288,3.77163335436358
"chr1:159046791-159050823",2.03816591651663,2.08123137669581
"chr1:160156867-160160185",1.83710897565762,2.27869331351403
