"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1170521-1177679",3.04576674448587,3.30029525347142
"chr1:1671243-1675590",1.94472472573116,1.95780537473445
"chr1:6509251-6510334",1.93943914940134,2.19759345259147
"chr1:10700234-10702039",1.9036642580899,2.16749754230783
"chr1:10721555-10725040",1.68672758594729,1.80941331358563
"chr1:10754636-10764153",2.09281503577469,2.6059302374818
"chr1:10821014-10856521",1.51392221716624,2.06738439387541
"chr1:19586722-19592376",1.52059320077602,1.46110123147342
"chr1:19612966-19614890",2.70058478519462,2.78717593388961
"chr1:19943930-19948494",1.53469150874588,1.60054731257153
"chr1:23782787-23805849",1.81098184970897,1.8149580052025
"chr1:26128708-26131533",1.75823455956108,1.72514963432828
"chr1:31666867-31712241",1.69813197589022,1.84430539146769
"chr1:32101223-32109550",1.59925080854027,1.79677428425131
"chr1:32381688-32384471",1.56690287562656,1.80289531042266
"chr1:37962437-37966436",1.6137213320806,1.71597659793506
"chr1:40392146-40410462",2.55914832081685,2.48897111699741
"chr1:40539955-40542414",2.78520562893778,2.81270620325792
"chr1:41841441-41847188",1.57062672713661,1.72080237491576
"chr1:41849362-41932508",3.49294176201768,3.82427525669166
"chr1:42224998-42312762",1.90849999975695,2.37001017712532
"chr1:42314860-42330149",1.56745134381012,1.73639786866282
"chr1:51797118-51800325",2.60255589963806,2.83938801971981
"chr1:85666829-85696722",1.93239313175002,1.97762062857015
"chr1:94028076-94032736",1.53981222262338,1.38581193008379
"chr1:94033784-94037127",1.93698611494649,2.15246011526114
"chr1:94037498-94041471",1.52787769102905,1.57630173349785
"chr1:94645613-94649607",1.68383878315334,2.04073819114117
"chr1:94661596-94667176",1.60034953225088,1.89633383522194
"chr1:101053087-101092505",1.65655247413982,1.66899532873591
"chr1:109707413-109714388",2.77084019249117,3.13396154741843
"chr1:109716559-109727567",2.0912377726849,2.30710910641446
"chr1:110318150-110353164",1.73650522200895,2.05553291944602
"chr1:110885412-110888061",1.77895972920109,1.84468079956396
"chr1:111715980-111717401",2.07751913322419,2.06323390588334
"chr1:150113607-150114916",1.8535769959092,1.85756661657627
"chr1:150573855-150593627",1.65665751853676,1.7412219046501
"chr1:150941894-150944225",1.5472673918052,1.88475265998354
"chr1:150975544-150978477",1.93277957929895,1.88019251188732
"chr1:151167897-151170325",1.64155771347184,1.81521990225212
"chr1:151254971-151257582",1.73457666126307,1.95068958581952
"chr1:151280377-151282587",1.79497182806469,1.84372724567866
"chr1:151789856-151798306",1.63910415327314,1.98902216059005
"chr1:154903441-154904728",2.12740160358085,2.45985029741584
"chr1:154932422-154933353",1.52619215771065,1.56920745075835
"chr1:154975519-154982634",2.23804738269337,2.35026977244033
"chr1:154983591-154986391",2.33285778996776,2.38190628055589
"chr1:155036512-155039106",1.60606477333547,1.70910357723559
"chr1:155040016-155041229",1.65445822077288,1.74140665711674
"chr1:155060114-155092866",1.52570934254812,1.21041164506042
"chr1:156053504-156060162",1.58798960959365,1.7901389881785
"chr1:156670944-156675069",2.5162432938114,2.86501649002045
"chr1:156722340-156725229",1.70740227736497,1.58972090318
"chr1:159907728-159912653",1.74532899277315,1.64214748832541
"chr1:160156867-160160185",1.80307869140921,2.24466302926562
"chr1:160177127-160177947",1.62715564648612,1.56388796054032
"chr1:160195553-160200987",1.54133310850955,1.57299605678325
"chr1:161015867-161016636",2.02860138724221,2.29679027945425
"chr1:162581349-162601063",1.57297215833515,1.62645376680798
"chr1:164559771-164574330",2.10605835424925,2.29351293964251
"chr1:164574756-164595066",2.37758140263134,2.44901733675555
"chr1:164612166-164621033",3.12937372784396,3.27436116781164
"chr1:164644153-164649222",2.73310650903753,2.70386055351951
"chr1:164650136-164651267",3.15065867214594,3.20303982095358
"chr1:164715169-164738253",2.22234821441874,2.08043434501554
"chr1:169451618-169454701",2.06720105393387,2.31157869523926
"chr1:169456946-169457921",1.71813559970248,1.69037075854624
"chr1:172339551-172345171",1.99427100316767,2.03495525855359
"chr1:175135973-175145436",1.65305138227582,2.08396196756661
"chr1:175145710-175146647",1.73508292567869,1.94449486388503
"chr1:178866991-178871141",2.83951306854893,3.03424319865924
"chr1:180135826-180144356",1.63791087541098,1.92064961093827
"chr1:182224276-182282525",1.5034692680306,1.55841742367489
"chr1:200613745-200617467",1.97190840251721,2.1324222340363
"chr1:200619904-200623469",1.51830533778381,1.57280181597728
"chr1:200635979-200638535",1.92917529983904,1.90227916079257
"chr1:204219842-204226381",1.76395722358142,2.01184782187008
"chr1:206822642-206855208",1.54851208477932,1.43094598806369
"chr1:210006803-210008320",1.57234264193861,1.89826606336555
"chr1:210018077-210024449",1.68215573793421,1.77278116321227
"chr1:210761543-210796770",1.72743140867539,1.92680224911768
"chr1:211482480-211485479",1.85494464481157,2.06761345425569
"chr1:211538951-211542171",1.63067082886308,1.93592893747103
"chr1:211543034-211544544",1.65524884288128,1.99722227466585
"chr1:213148369-213160636",1.97410021586436,2.32231695827012
"chr1:226315147-226332280",1.54070203217549,1.3766530391668
"chr1:227954884-227958172",2.30866319140067,2.36827614753754
"chr1:227958512-227963390",2.59789880780163,2.67548811459446
"chr1:227964771-227968128",2.4067274675826,2.23423362952715
"chr1:228676857-228680654",2.04190919818907,2.20970264077463
"chr1:235493919-235498457",1.76790320231873,1.80066777715417
"chr1:235500502-235504923",2.38794412873331,2.46413471090734
"chr1:236648314-236681200",1.65015742223414,1.92213319577722
"chr1:244573040-244574489",2.002792882923,2.08723688897824
"chr1:244583698-244586037",1.54271906203713,1.74732163252217
"chr10:3493146-3528986",1.93715472871109,2.21955376529355
"chr10:5488921-5493693",1.56752433807226,1.86782433152359
"chr10:5497181-5497950",1.56191143436391,1.5626859499716
"chr10:5500526-5540558",3.07554311971653,3.49248147398037
"chr10:5684616-5690833",2.7419631550185,2.9237697746023
