"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:6324855-6341062",2.84827887277638,3.05252269747243
"chr1:6355664-6366075",2.88209539828005,2.98394311348954
"chr1:11880936-11882548",2.85231226405757,2.91297600433145
"chr1:11995012-12004479",1.5024652380141,1.89507936691637
"chr1:12015050-12016874",1.5689771371702,1.66085174456167
"chr1:12067406-12069549",1.73793024169184,1.66070717471708
"chr1:12099148-12123334",1.52676430655395,1.15795917339628
"chr1:13912234-13922222",1.55515316420295,1.74967172979967
"chr1:21896967-21900058",2.94418580592772,3.41785479304462
"chr1:23823334-23832822",2.24436665920198,2.57623009523867
"chr1:23836740-23842727",3.07966775557156,3.35757070491413
"chr1:25891798-25893239",1.79475224601719,1.91718873044193
"chr1:39697015-39715410",2.86050969278457,2.87016396901748
"chr1:40323189-40341634",1.79972619522064,1.75248431685504
"chr1:45289157-45291822",3.38834967381968,3.69742594394129
"chr1:47162421-47173478",2.08862325375684,2.29208346847472
"chr1:49214639-49224472",1.72651992856356,1.72516572042105
"chr1:53883438-53902608",2.62963979575462,2.89850387045578
"chr1:65521161-65523338",1.5092532878659,1.45308849107223
"chr1:66578581-66617973",2.1653454614747,2.3323603482806
"chr1:81702341-81717374",3.87163602059154,4.24849369125577
"chr1:94497699-94502196",1.95408311596416,2.31720460467462
"chr1:109716559-109727567",1.84720995223913,2.06308128596869
"chr1:111415970-111422759",2.02371439194662,2.21846182985482
"chr1:112129818-112142177",4.06448794910312,4.32482364139147
"chr1:112147424-112150658",2.8201045531439,2.81249927028427
"chr1:113177506-113188269",3.16493143635711,3.28610426405488
"chr1:113349847-113362692",4.63315465608432,4.74230774689955
"chr1:120269825-120272032",1.59702816154205,1.7274264439539
"chr1:120272794-120276827",1.56780543959482,1.50428143490862
"chr1:150738533-150752648",2.32765120155243,2.25578056040417
"chr1:150753220-150768584",2.43082510875395,2.4566732717888
"chr1:151611695-151630611",2.3488760754571,2.4685304863017
"chr1:154461932-154471488",3.47863034212643,3.76092671178694
"chr1:156120154-156123218",1.85031822913313,2.16346183947384
"chr1:179102609-179106799",1.71237036602244,1.803755469213
"chr1:181062135-181123909",1.87352335739996,1.8554683438825
"chr1:201436811-201437369",1.84092941704569,1.80692342334708
"chr1:203713309-203734204",2.06650817124604,1.94588091862942
"chr1:213073078-213102935",4.27217996292677,4.53709869425039
"chr1:213126233-213134408",2.479209868018,2.87122990950794
"chr1:213148369-213160636",3.48506532937256,3.83328207177832
"chr1:223194419-223205707",4.37580569394084,4.57087526222896
"chr1:226288300-226314779",2.27732136398531,2.36969284507741
"chr1:229363409-229385283",3.18763118244782,3.21573095917381
"chr1:232245888-232268729",3.90523318916305,4.23577578903627
"chr1:232423957-232472114",1.6561678393794,1.56842259394748
"chr1:236705110-236705531",1.92743855361482,2.036533482553
"chr1:236707048-236707950",1.798846584903,1.95440867583168
"chr1:237284509-237399036",1.63298058983532,1.58079402229473
"chr10:6245399-6255486",1.69751325640645,1.75558272003381
"chr10:7027988-7044334",1.50289331224444,1.59601745668257
"chr10:8893463-8919656",1.59277118659583,1.54103850019149
"chr10:10837043-10894782",2.14031012132394,2.27413068704008
"chr10:17452730-17455249",2.43302097405716,2.93170730524476
"chr10:29975680-29986732",2.96430270849594,3.15204216037443
"chr10:32424409-32462512",2.72932459809924,2.70883151480585
"chr10:43917648-43923171",1.9354339087309,1.8918399210255
"chr10:45878229-45891203",1.69821896139095,1.69260728081895
"chr10:55233215-55269626",2.66223012786763,2.7572351112816
"chr10:72434851-72456078",2.44847158511545,2.50450640843215
"chr10:73611226-73638014",2.03432438172838,2.07285861039711
"chr10:82292979-82295236",2.35674979869918,2.77072727243587
"chr10:92668412-92671753",3.07892181154335,3.20863012704511
"chr10:98480371-98502824",3.24596347945668,3.63291310301238
"chr10:98510775-98528465",2.65406431201944,2.82560445215321
"chr10:101649352-101654218",2.08576360203094,2.02310660252378
"chr10:105365774-105368276",2.09871975578713,2.10400092829085
"chr10:105377171-105382127",1.66544655919816,1.8614538024358
"chr10:112521100-112540459",3.70593721812919,3.8525924282275
"chr10:118368787-118375802",1.69886224090814,1.96120657390614
"chr10:123277077-123278096",2.22822758594722,2.31973996108119
"chr10:134816682-134828319",1.65518460752183,1.98265780140436
"chr11:5626897-5629502",1.63626578096943,1.83365500297324
"chr11:5629724-5631275",2.04065235215175,2.19968696631247
"chr11:16903266-16995868",2.0353966599291,2.1513153756453
"chr11:19864569-19890371",2.53324721433771,2.54040956978247
"chr11:27649593-27655778",4.29658927526469,4.53554283080222
"chr11:34174231-34175712",1.7751841504012,1.92976818357032
"chr11:34176416-34180743",2.57185200467906,2.50569304240469
"chr11:59952239-59968626",1.56027751978655,1.32580465858069
"chr11:60929189-60944333",1.78453991571955,2.01935978048473
"chr11:63285475-63304181",1.53224225584511,1.39308498664776
"chr11:64465364-64480075",2.92356490121151,3.12528267566647
"chr11:75572925-75589348",2.69305131712134,2.90138220491406
"chr11:76302355-76336406",2.45280226590417,2.54697109814999
"chr11:76804959-76813786",2.54203092298325,2.57018587700114
"chr11:94967368-95053031",3.46875089893473,3.66540432759068
"chr11:128464623-128484135",1.8909427073472,2.08939789127499
"chr11:129952776-129970065",2.46294381287306,2.54193964076277
"chr12:1742172-1748750",1.68275662387268,1.8379292473269
"chr12:1921064-1929333",1.54906417295184,1.40358042350639
"chr12:2102657-2107001",1.84578190435775,1.86705569428881
"chr12:2107241-2113267",1.6510479737537,1.73513649233422
"chr12:3066720-3068396",1.72951316156449,1.70566887582225
"chr12:3069619-3103804",3.36372616447267,3.47951190816788
"chr12:3128436-3129700",1.54413290450813,1.58883833068686
"chr12:3149939-3150503",2.41194279426431,2.29718408555476
"chr12:3154216-3180598",2.26606818049341,2.48463013778655
"chr12:3193476-3258863",2.27188514785051,2.33776401192069
"chr12:3260742-3310241",1.7227789288621,1.74654891916083
"chr12:4376994-4382838",3.10867511272082,3.44192595558822
"chr12:5274258-5311912",3.62634249224138,3.99089502133305
"chr12:6667403-6669164",2.97991432871877,2.95699004754993
"chr12:7075763-7076094",2.1632592905697,2.23338351062748
"chr12:8052836-8069166",2.94308251752355,2.99237464149951
"chr12:8088971-8128755",2.1773198933345,2.43930900814173
"chr12:8956729-8972312",4.81085501165941,4.95544047553031
"chr12:9095238-9095792",1.76118161992626,1.87681873407624
"chr12:9099544-9101984",1.57172571135146,1.51451414399304
"chr12:10106035-10123914",3.22463113210728,3.52111260333979
"chr12:10207050-10213098",3.7235168205785,3.98747286082605
"chr12:12768941-12781783",1.76164177914601,2.07505945924791
"chr12:13022807-13028333",2.70495382357878,2.83913801706331
"chr12:13029144-13043616",1.60119477203969,2.05148194004464
"chr12:19584033-19592508",3.30170400862024,3.44450325414694
"chr12:21789196-21789905",1.66478032929391,1.71520025535217
"chr12:21791572-21794786",2.02590945426354,2.04463162682323
"chr12:21795159-21796379",1.83100835760227,1.95192577363168
"chr12:27906019-27908014",1.55149579210296,1.74820239398448
"chr12:27934235-27936591",2.05532881818756,2.47067882453052
"chr12:31175063-31203750",2.9714047810195,3.10792829755028
"chr12:32710029-32716971",2.71520047480949,2.63661141409347
"chr12:32729483-32732431",2.25036533696476,2.53651063424477
"chr12:32732674-32734794",1.91052980968834,2.34978248394523
"chr12:32735989-32751331",2.17681494370937,2.56578477348961
"chr12:54671209-54672336",1.85472324205831,2.12809818762278
"chr12:56040547-56048242",1.6123103701857,1.37260883865288
"chr12:56296239-56297071",2.10552632103353,2.39751040650765
"chr12:57853163-57853818",2.02693369044423,2.05321988249575
"chr12:70934837-70938237",2.68098268306968,2.91040886524766
"chr12:76320347-76351514",2.73749660760803,2.79587953318231
"chr12:81172987-81183551",3.71125548593598,4.02025866756556
"chr12:90255261-90276342",1.97690053947947,1.84464269285485
"chr12:104715194-104719015",1.77050492630544,1.97740664519624
"chr12:109048286-109050980",2.81862233075632,2.92500290679258
"chr12:109541516-109542801",1.64840823800699,1.75162220264155
"chr12:109543120-109547534",1.9734136412121,1.98765158224895
"chr12:110989873-111020514",2.42926568705922,2.49069351602922
"chr12:122065180-122078847",2.34876300260865,2.44510564806925
"chr12:122840807-122845263",2.75070025433149,2.65755437148262
"chr13:41525937-41532872",2.98646611001327,3.31352594606634
"chr13:43539154-43543130",2.16760983883734,2.21401892330864
"chr13:46057590-46060530",2.22542423727335,2.28777820444781
"chr13:46733921-46742498",3.74701788949794,3.81416102702565
"chr13:51826437-51854486",1.69654427821585,1.95390288381799
"chr13:56149039-56159588",4.11688084382059,4.40703707611429
"chr13:56226813-56249478",4.54210321640454,4.77610067101531
"chr14:34528606-34561423",2.71290093259002,2.82632600067707
"chr14:35858375-35870617",2.69208190082809,2.50500295419478
