"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1058966-1072297",3.19496810189092,3.58133221804699
"chr1:1072590-1076105",2.89092720900146,3.27047306014134
"chr1:1079536-1102384",2.73612430326555,2.83566434289242
"chr1:1256576-1257188",1.55836331411427,1.5518024991263
"chr1:2107051-2113133",1.50630556416858,1.56767698660448
"chr1:2338494-2339791",1.98133722127177,2.16547107115835
"chr1:2342412-2343730",2.30098234213304,2.44389304080137
"chr1:2345336-2357319",1.8634582912283,2.27167938096756
"chr1:3226760-3301613",3.81254843074118,4.1453415037101
"chr1:3380336-3382469",1.55257049247199,1.54366030794468
"chr1:15752614-15753546",1.6603330692535,1.99186845713441
"chr1:16457014-16458116",1.51160582248559,1.78395160022383
"chr1:16465025-16472818",1.63325912116932,2.16381907858926
"chr1:16473045-16474773",1.55179341543675,1.72326578300549
"chr1:17531904-17548685",2.85450332984614,3.18440047745231
"chr1:17828577-17866230",2.63809490018652,3.06142250405665
"chr1:17961611-17964283",2.38547615427645,2.42159298741182
"chr1:17991190-18013968",1.68674479296712,2.03482661542436
"chr1:18014342-18017515",2.192493780648,2.25005355363142
"chr1:18017787-18020442",1.94497393323072,1.92835896979527
"chr1:18021875-18023243",2.19732001582458,2.47685790405234
"chr1:19927898-19934508",1.73501097453834,1.79880240350641
"chr1:19972627-19974004",1.86730793630098,1.92075057691841
"chr1:19974264-19981405",1.56810259476486,1.69679096012723
"chr1:19982029-19983259",1.89195465749267,1.94923333365935
"chr1:23046191-23075210",2.33920769707874,2.59891481676537
"chr1:23111669-23126633",2.92817966817811,2.99022569091719
"chr1:24438765-24446161",2.23723876403123,2.0856956845848
"chr1:24448327-24449692",2.78577709218486,3.21574504761892
"chr1:24450013-24454531",3.33559742399416,3.66733901166651
"chr1:25876626-25879755",1.66088088295525,1.95027118480989
"chr1:26680721-26688025",2.02188853835756,2.46537165039459
"chr1:28561517-28562520",1.86056562035762,2.12245605023034
"chr1:31989946-32037086",2.18247678010429,2.47047997826316
"chr1:32038004-32040911",3.4408391023735,3.83103736680493
"chr1:32046661-32048650",1.73624338172443,1.95390515189201
"chr1:32690176-32691650",1.66208398538995,1.48323440595861
"chr1:32793378-32794569",2.22896013589873,2.21413348474294
"chr1:40031150-40032946",1.59164777298783,1.77240994559238
"chr1:46154047-46155305",2.44166800211946,2.43047630332343
"chr1:46646936-46649005",2.09511062645784,2.3926749883056
"chr1:47900413-47901589",2.61127870865772,2.65551059485506
"chr1:59755412-59762210",1.88266397293746,1.96365204803726
"chr1:84759234-84763949",1.54800957758492,1.90052937101242
"chr1:85733765-85736201",2.49863141129278,2.66602701870667
"chr1:89481197-89485709",1.56173771673702,1.42593539137092
"chr1:94065397-94066113",2.53373673511495,2.86552249683199
"chr1:94066419-94067595",2.28314065144755,2.55122949154209
"chr1:94068097-94070863",2.3606191216438,2.57968564985984
"chr1:94071230-94079304",2.19440072988953,2.52540810866461
"chr1:95323156-95330199",1.61196776166136,1.78663577786456
"chr1:95333073-95354114",1.64643138938452,2.14111720194722
"chr1:95355011-95356586",1.81182602246499,2.04959173300193
"chr1:95356923-95357737",1.878755247652,2.06252796615359
"chr1:95358173-95360274",1.53949754806653,1.67982881093293
"chr1:109202684-109203485",1.70888577373375,1.74420243060948
"chr1:109236364-109238224",1.83124436432396,1.95272206346413
"chr1:110304495-110306344",2.96226665304578,3.38420417477919
"chr1:110885412-110888061",1.87622909560137,1.94195016596425
"chr1:113153725-113159335",1.77072812304792,1.95181412082066
"chr1:116853959-116880871",2.89825834897976,3.14274325809574
"chr1:150705721-150720153",1.75167764508145,2.01394905690871
"chr1:151484091-151487871",1.53266455730613,1.88480955868326
"chr1:153473340-153505979",1.59555432321148,1.76203690417669
"chr1:155036512-155039106",1.75638323261558,1.8594220365157
"chr1:155040016-155041229",1.59481307545974,1.6817615118036
"chr1:155961401-155965786",2.40115412886831,2.83626346183076
"chr1:165867341-165869302",1.56344081072812,1.7604710494626
"chr1:165870020-165871732",1.70951632488907,1.92800883221377
"chr1:165880955-165886034",2.00255093910638,1.8597956532652
"chr1:183567481-183580226",1.80545366982044,1.85234010373565
"chr1:199998956-200007729",1.96774989467324,2.43653971901715
"chr1:200870387-200871980",1.64865481948132,2.18281229228214
"chr1:200872328-200875220",2.11652371864193,2.60058425183961
"chr1:200878625-200880481",1.74071012820408,2.20038163660001
"chr1:204237540-204242654",2.37868562780717,2.72532255483659
"chr1:204247176-204315804",2.24178283340936,2.67456026306002
"chr1:204316486-204328722",1.54160030312987,1.78618845304194
"chr1:204347223-204363569",1.51859752243618,1.47225833681305
"chr1:204375541-204378520",1.52905853658866,1.49851345381524
"chr1:204403836-204404365",1.87007465426155,1.9355412738261
"chr1:204405074-204407963",1.68285828212389,2.05934465698778
"chr1:204439114-204458844",1.5007975026781,1.76046278244938
"chr1:207109263-207110340",2.94933870744638,3.42460990504389
