"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:950020-955403",2.85347834250168,3.06196251104076
"chr1:3692646-3694880",2.42226702058489,2.63748033547349
"chr1:8087581-8089187",1.97017675423317,2.25725496887457
"chr1:8182862-8249784",2.9770758522105,3.03034716820498
"chr1:10856807-10898295",2.39049065133267,2.42118802466364
"chr1:11856556-11860169",2.2232039617697,2.45757282866312
"chr1:11860479-11861118",1.96279361358269,2.34202432803096
"chr1:11970084-11979548",2.38134335087426,2.62939854694092
"chr1:12476980-12515954",2.18810222602228,2.2798105061511
"chr1:12539028-12557180",2.37551603538287,2.67472653985043
"chr1:12557785-12566807",3.56905025429087,3.75107627739053
"chr1:12567551-12568847",2.39980122309087,2.38841382904534
"chr1:12628553-12629900",3.55202623806942,3.66469082021279
"chr1:12630200-12632656",3.34399959469405,3.58720073827525
"chr1:12632981-12638646",3.15638508159902,3.37728365667693
"chr1:12640794-12655899",3.0750714250039,3.15970019963199
"chr1:12656421-12676464",3.66975706307079,3.92983406244765
"chr1:12677837-12678806",2.87381739846914,2.92037938269225
"chr1:12679350-12698932",3.54325049950588,3.81174611103117
"chr1:15656655-15660562",1.99693969027591,2.16209740881427
"chr1:15662060-15665877",2.37602074740985,2.64886595810298
"chr1:15672202-15675438",1.77159327764475,2.00169182116141
"chr1:15930221-15930977",1.97249998042051,1.81131621559292
"chr1:15934740-15941038",2.78916262710721,2.72296007492448
"chr1:16488478-16524249",1.67277621754857,1.70074756587992
"chr1:16535678-16538897",1.52952485405448,1.76211267719552
"chr1:16547714-16551582",2.88761190077056,3.08965511238323
"chr1:21564943-21571382",1.55580201828101,1.91764623386088
"chr1:21626367-21671330",2.21314928163681,2.49427966561752
"chr1:21672097-21674002",2.09615472133117,2.30564708518
"chr1:23698432-23704773",1.7050303848814,1.93534005121306
"chr1:24710593-24717593",1.91723207245265,1.76511156314576
"chr1:24748700-24759494",1.67662974848014,1.87887407174827
"chr1:24787134-24790416",1.77323833049781,1.83462705009054
"chr1:24799566-24829287",3.24159986392516,3.38508126836188
"chr1:24857981-24859473",1.80933843092212,1.91626997961737
"chr1:24882760-24890018",2.25012514738002,2.40651242039445
"chr1:26090558-26098048",3.12669314478943,3.43145972205721
"chr1:26098994-26102323",1.53482218635596,1.77081800303928
"chr1:26372724-26377695",4.18906338639331,4.54892318347911
"chr1:27693483-27694847",1.89679117207339,1.85924051000733
"chr1:28206665-28208382",1.56788342878578,1.85134256622153
"chr1:31194698-31196205",1.58676946545069,1.67485535606069
"chr1:32096543-32097937",1.60595109502381,1.6708364700834
"chr1:32099015-32099787",2.5369560420417,2.5656536853602
"chr1:32101223-32109550",2.19284244275393,2.39036591846497
"chr1:32404088-32408030",1.85245096149108,1.94977156738064
"chr1:32675060-32676773",2.02387559536697,2.17909779704189
"chr1:32678494-32679973",2.22150076777148,2.16552149547719
"chr1:32712058-32712734",1.93543346297952,2.01498181341169
"chr1:32713383-32713872",1.57680878905038,1.46798605837159
"chr1:36603933-36604900",1.82808755396614,1.61044104679017
"chr1:36606699-36614593",1.54523107589155,1.73692317405082
"chr1:36759870-36762084",1.63756895176421,1.58393090415827
"chr1:36851597-36856739",1.61170010963632,1.69952035514598
"chr1:37950080-37958076",1.90655259590298,2.19461428018231
"chr1:38315362-38322823",1.53208692084953,1.26992223235365
"chr1:39726312-39734037",1.92597515150734,1.95850980210737
"chr1:39991707-39993196",1.64426052314179,1.75097311804785
"chr1:41841441-41847188",2.2975458514307,2.44772149920985
"chr1:42224998-42312762",2.03008491718699,2.49159509455536
"chr1:43291561-43295486",1.65504259873198,1.86962272245607
"chr1:43739773-43747454",3.06790204383582,3.02853825132247
"chr1:43818543-43820255",1.63933610360954,1.752344730723
"chr1:45120981-45125746",2.68073479087632,2.61519921754087
"chr1:56957112-56960319",2.77520657223857,2.99634671936668
"chr1:56962448-56977548",4.26776327736405,4.50798765706154
"chr1:56990326-57002527",4.60309545557843,4.7839979845903
"chr1:57004683-57044451",2.6705380762739,2.9841133838628
"chr1:59365484-59409281",2.47979441749291,2.81827869831368
"chr1:61543400-61547339",1.63728055544912,1.78151755561399
"chr1:67392025-67394470",1.93697911659145,2.07368992057269
"chr1:84759234-84763949",3.19997603987523,3.55249583330272
"chr1:94189192-94218380",2.74201394743101,2.55971618232165
"chr1:94241100-94248704",1.99847207474151,2.05818509622257
"chr1:94425779-94458293",1.92345607312229,2.16015943738996
"chr1:94497699-94502196",2.05589774593291,2.41901923464338
"chr1:94645613-94649607",1.89518750025828,2.25208690824611
"chr1:95449289-95490721",1.57970991953054,1.54733237766962
"chr1:108576325-108614004",1.9916284047392,2.26129682983303
"chr1:109757875-109766500",2.58983797386267,2.63740484756409
"chr1:109865843-109867421",2.84108258073138,3.32508793371591
"chr1:109912311-109932297",3.09186282051492,3.03272005774598
"chr1:110089982-110090907",1.53086735040114,1.7044412011869
"chr1:111717685-111720736",1.58160818059522,1.54187568060516
"chr1:113931225-113933271",2.14544597627183,2.36595852419653
"chr1:153473340-153505979",1.61492992718273,1.78141250814795
"chr1:153591614-153592276",2.45366220290244,2.30760472621677
"chr1:154442938-154451857",3.31491788746873,3.60236351946178
"chr1:154461932-154471488",2.02348464991761,2.30578101957812
"chr1:155940954-155941946",1.87008403674196,1.864225156997
"chr1:155961401-155965786",2.62952766226443,3.06463699522688
"chr1:156193833-156195248",2.3167627369812,2.46579895575548
"chr1:159807917-159810401",2.15948113027005,2.04946223233762
"chr1:159828802-159832163",1.61236125430179,1.68885094411612
"chr1:160959721-160964901",1.84446661354593,1.57759726232751
"chr1:180888094-180897183",1.71822535498979,2.00719148800177
"chr1:180935145-180939873",2.10417184496754,2.13258359454757
"chr1:183098055-183099379",2.05067091557179,2.14715834351257
