"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:970804-975945",1.64181017011558,1.89249953697052
"chr1:2152277-2160034",2.42075938796069,2.75361648151561
"chr1:6507166-6508003",2.20104030625135,2.28104719968787
"chr1:6509251-6510334",2.71189990605461,2.97005420924474
"chr1:6518940-6519959",1.76044857339811,1.95603040750615
"chr1:8586198-8596041",2.13089178134663,2.48146739502886
"chr1:9354753-9411390",1.50967420149475,1.64239563155392
"chr1:10211719-10218312",1.61437145477111,2.00614430608855
"chr1:10412894-10419745",1.71589774502167,2.14700955059662
"chr1:14643551-14673200",1.61365115650282,1.73126707266701
"chr1:15287471-15361145",2.07718565206023,2.20516744659562
"chr1:15390218-15392026",1.60208591010019,1.65680518775749
"chr1:16236076-16237292",1.71499016560194,2.08070238570091
"chr1:16547714-16551582",2.10045331862288,2.30249653023555
"chr1:27861527-27873672",1.53145502662587,1.51309873469082
"chr1:27885494-27929808",2.24493712125592,2.55621802361397
"chr1:27989333-27992472",1.57667280074942,1.77350682677109
"chr1:39620068-39669818",1.99838181716462,2.13905197960635
"chr1:39825036-39826365",2.53155060212231,2.87086662381286
"chr1:41806110-41827494",3.34087199067818,3.44669316549505
"chr1:43442199-43448696",1.88498702679289,2.02719461621729
"chr1:43820777-43823374",1.65209762412206,1.54477802719622
"chr1:45187674-45189357",1.71564316886115,1.93503571326155
"chr1:46752271-46762314",2.28591841146114,2.49163019157555
"chr1:46766552-46768696",2.11200884684455,2.34016476314822
"chr1:46769592-46774673",1.88071306613297,2.02339731890144
"chr1:53883438-53902608",3.7354999159245,4.00436399062566
"chr1:54717633-54721170",2.35506288987738,2.47906410902845
"chr1:54801654-54821988",1.53939286376057,1.87779451440814
"chr1:57004683-57044451",1.8624239383277,2.1759992459166
"chr1:59279114-59304020",1.83980968619055,1.84728977776552
"chr1:61598800-61714517",2.31782544124434,2.67296671280747
"chr1:61719282-61743092",1.55344686663353,1.64764944545443
"chr1:92163787-92174120",1.61160693066156,2.07645432963326
"chr1:109857500-109859372",1.70027564772264,2.02818234784494
"chr1:109865843-109867421",1.62484957390953,2.10885492689407
"chr1:110467924-110468585",2.46375525288035,2.6778754315989
