"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:999046-999490",1.50050708571511,1.74451733840544
"chr1:1023116-1025633",1.86112597549376,2.1232681065745
"chr1:9171648-9188604",1.98086840540955,1.97013731570594
"chr1:10477666-10478769",1.69937117691163,1.92229371089186
"chr1:10683443-10684297",1.67464214082355,1.75913743159985
"chr1:10684594-10687229",1.61608405948335,1.53656128910708
"chr1:10687520-10689488",2.24586353155994,2.09187317512711
"chr1:15547076-15573668",1.72691247254985,1.89926235181908
"chr1:15752614-15753546",1.79499769313577,2.12653308101668
"chr1:16457014-16458116",1.55100161222395,1.82334738996219
"chr1:16462365-16464248",1.62051465836775,1.89551825964103
"chr1:17531904-17548685",2.54473346214326,2.87463060974944
"chr1:17552753-17555020",1.80366412188392,2.16917214810494
"chr1:17828577-17866230",1.54681829848299,1.97014590235312
"chr1:24193423-24194288",1.82335442192595,1.81227525138863
"chr1:24606445-24633946",1.73420627524768,1.7236678813156
"chr1:24638582-24645712",1.83626140983064,2.18757885020708
"chr1:24676712-24680764",3.70475655882689,4.08401895241997
"chr1:24681908-24683389",2.06231327902722,2.1264891193568
"chr1:26190452-26197000",1.67952721495358,1.60304471257157
"chr1:26372724-26377695",2.01604194681447,2.37590174390028
"chr1:26666020-26669145",1.57545571345014,1.52091513076757
"chr1:27669863-27671264",1.79893193903538,2.08633947744501
"chr1:27674603-27675471",1.76754437979519,1.9967673164401
"chr1:28857227-28858215",2.26180162005125,2.26439869837808
"chr1:32046661-32048650",1.75649187630969,1.97415364647727
"chr1:32374661-32375539",2.0151758173859,2.10623011712527
"chr1:32377527-32378482",1.58878703938637,1.62677419366329
"chr1:40307685-40309673",2.24890321484103,2.13552482408502
"chr1:40349283-40360998",3.69292852397492,3.84753188283534
"chr1:43497210-43539417",1.74125608911023,1.87438869120477
"chr1:44722693-44749558",1.88939532226571,2.10859489044752
"chr1:77886171-77904996",2.30891559226956,2.53239064921958
"chr1:85728203-85729879",1.7550871284764,1.83682366665024
