chr,start,end,SE_ID,eRNA_count,TCGA-BF-AAP0_tumor,TCGA-D3-A1Q1_tumor,TCGA-D3-A2JB_tumor,TCGA-D3-A2JL_tumor,TCGA-D3-A3CE_tumor,TCGA-D3-A3MV_tumor,TCGA-D3-A51N_tumor,TCGA-D3-A8GN_tumor,TCGA-D3-A8GR_tumor,TCGA-D3-A8GV_tumor,TCGA-D9-A149_tumor,TCGA-D9-A3Z1_tumor,TCGA-D9-A6EC_tumor,TCGA-DA-A1HV_tumor,TCGA-DA-A1HY_tumor,TCGA-DA-A1I1_tumor,TCGA-DA-A1I2_tumor,TCGA-DA-A1I5_tumor,TCGA-DA-A1IA_tumor,TCGA-DA-A3F5_tumor,TCGA-DA-A95X_tumor,TCGA-EE-A183_tumor,TCGA-EE-A20B_tumor,TCGA-EE-A20H_tumor,TCGA-EE-A29B_tumor,TCGA-EE-A29E_tumor,TCGA-EE-A29L_tumor,TCGA-EE-A29M_tumor,TCGA-EE-A29T_tumor,TCGA-EE-A2GL_tumor,TCGA-EE-A2GM_tumor,TCGA-EE-A2GN_tumor,TCGA-EE-A2GP_tumor,TCGA-EE-A2GR_tumor,TCGA-EE-A2GT_tumor,TCGA-EE-A2MJ_tumor,TCGA-EE-A2MR_tumor,TCGA-EE-A2MS_tumor,TCGA-EE-A2MT_tumor,TCGA-EE-A2MU_tumor,TCGA-EE-A3AH_tumor,TCGA-EE-A3JB_tumor,TCGA-ER-A19W_tumor,TCGA-ER-A42K_tumor,TCGA-ER-A42L_tumor,TCGA-FR-A3YN_tumor,TCGA-FR-A7U8_tumor,TCGA-FR-A8YC_tumor,TCGA-FS-A1ZP_tumor,TCGA-GN-A26D_tumor,TCGA-GN-A4U3_tumor,TCGA-GN-A4U4_tumor,TCGA-GN-A9SD_tumor,TCGA-QB-AA9O_tumor,TCGA-RP-A690_tumor,TCGA-RP-A694_tumor,TCGA-W3-A825_tumor,TCGA-W3-AA1W_tumor,TCGA-WE-A8ZM_tumor,TCGA-WE-A8ZO_tumor,TCGA-WE-A8ZT_tumor,TCGA-WE-AAA3_tumor,TCGA-Z2-A8RT_tumor,TCGA-Z2-AA3S_tumor
chr17,39682024,39683980,chr17:39682024-39683980,12,-1.25061293311083,-1.15108753015729,-1.25061293311083,-1.25061293311083,-1.14951876653954,-1.19543448074652,-1.13263719431426,-1.17516325597534,-1.18843545059973,-1.19351228165154,-1.25061293311083,-1.25061293311083,-1.19845430804735,-1.1059119131345,-1.21668566946619,-1.18703539041888,-1.25061293311083,-1.25061293311083,-1.1818918208469,-1.25061293311083,-1.25061293311083,-1.19565332531756,-1.25061293311083,-1.10892328968114,-1.25061293311083,-1.10926828763987,-1.20400452106241,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.20758646079686,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.20833561399232,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.2077294950896,-1.14455562868367,-1.20700298015587,-1.1717604957188,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.25061293311083,-0.612620898533049,-1.25061293311083,-1.21272794191323,-1.25061293311083,-1.25061293311083,-1.25061293311083,-1.21212016840031,-1.20852043056794
chr22,38367405,38368137,chr22:38367405-38368137,4,1.52287031340949,1.32810672488235,1.38878738510393,0.758357829981295,1.59198639846112,1.47286057620809,1.09865245073076,1.42929590815782,1.01972172587614,1.42775369135581,1.3693669775391,1.11939744831528,1.48777278947367,1.46139614325906,1.6382229852907,1.52056271976958,1.48022057569081,1.20922458825629,1.80574633535343,1.17768012574574,1.37106157661722,1.38411344934755,1.5668465381219,1.56955254944293,1.39549101432847,1.40360502431703,1.38616345047008,1.23919073798526,1.15492891155779,0.941188585256745,1.44784750253536,1.88495943857159,1.59682109067492,1.39503693102749,1.21214631874244,1.09912453073457,1.63874113992629,1.05641861296837,1.40446098562826,1.28165502547428,1.81226279163673,1.50345710941055,1.30585602627705,1.50824606284945,1.16629565738614,1.49762983194173,1.5618944058185,1.15940913618551,1.39448769269257,1.42086172409399,1.08540633364704,1.33857938575918,1.42289372665018,0.709008141972408,1.21697110778678,1.46625712680005,1.22807631218937,1.38985288748382,1.33204924845212,1.23342828592119,1.61847027432838,1.45382008564447,1.25757604633611,1.42073942919791
chr12,52629250,52631193,chr12:52629250-52631193,8,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.00458830997413,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.16151145617641,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.10672052442399,-1.16572292790851,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.1517462448963,-1.23241619030102,-1.0273674395081,-1.16429567889279,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.15868907194401,-1.23241619030102,-1.23241619030102,-0.968108754967591,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-1.23241619030102,-0.480748617765332,-1.23241619030102,-1.16625692354284,-1.23241619030102,-1.23241619030102,-1.04071605001261,-1.17261180176774,-1.17273043887094
chr12,52637425,52638056,chr12:52637425-52638056,5,-0.956572475795667,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-0.902681505130001,-0.911726315634396,-1.20503904459891,-0.935710719943766,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.07485274690076,-1.20503904459891,-1.09986729455406,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.05226489577319,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-0.872505038239591,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,0.045234874504678,-1.20503904459891,-1.20503904459891,-1.20503904459891,-1.20503904459891,-0.920213282806405,-1.20503904459891,-1.20503904459891
chr1,43736935,43737755,chr1:43736935-43737755,7,-1.14935784584451,-1.14935784584451,-0.773728876262323,-1.14935784584451,-1.14935784584451,-1.14935784584451,-0.998446726044169,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.01806402602083,-1.14935784584451,-0.941874948101912,-0.274194404179001,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-0.961495620466648,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.04823689102758,-1.14935784584451,-0.582716118176602,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451,-1.14935784584451
chr16,31144809,31145263,chr16:31144809-31145263,4,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-0.950643884016043,-1.19380056457529,-0.986072870927307,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-0.676236583832671,-1.19380056457529,-1.19380056457529,-0.990346969113904,-1.19380056457529,-1.19380056457529,-1.19380056457529,-0.985480881825366,-1.19380056457529,-1.19380056457529,-0.945518373832023,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.01200977728987,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-1.19380056457529,-0.998751125040427,-0.937968371239015,-0.78679086466445,-1.19380056457529,-0.805201479970248,-1.19380056457529,-1.06820084863291,-1.19380056457529,-0.742175894738786,-1.19380056457529,-1.19380056457529,-1.19380056457529
chr12,6465660,6471117,chr12:6465660-6471117,24,-1.14233901275121,-0.978562885346001,-1.14589095624495,-1.17169369343102,-1.11232572154624,-1.05957254943175,-1.0644995554267,-0.99317637290694,-1.09098125562889,-1.17169369343102,-0.973945890930063,-1.13456634441564,-1.17169369343102,-0.957115121841439,-1.10644088770625,-1.11997477321099,-1.17169369343102,-1.09045987821188,-1.17169369343102,-1.10116405393782,-1.03763724992329,-1.00968588509679,-1.02324521647407,-1.00591321991369,-1.12588908016975,-1.12826952450338,-1.11414445757326,-1.1385748337956,-1.09790425507135,-1.11588681347152,-1.11100061048754,-1.05661695449971,-1.0789221298508,-1.03014795997171,-1.08810229745868,-1.10446552807335,-1.14773729301618,-1.13554950096908,-1.17169369343102,-1.12721207383032,-1.11638908299903,-1.06706121257905,-1.14085790404996,-1.14093365779231,-0.992599766375971,-1.06792915978423,-1.04164463612086,-1.02836981474246,-1.06421614168147,-1.05746581048774,-0.895986907235118,-1.03457071644143,-1.17169369343102,-1.10576637315983,-1.08276988852805,-1.06755954972905,-0.818104743052581,-1.14114934032113,-1.06766297427582,-0.976862011716778,-1.0883820553019,-1.13606885156459,-1.03982994593608,-1.07073968777694
chr12,53291502,53292145,chr12:53291502-53292145,4,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.03954839785226,-1.06845463447656,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.00352059863965,-0.562441901801463,-1.2063580344057,-1.2063580344057,-1.05826523997101,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-0.792591868950127,-1.2063580344057,-0.89000524814632,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.01696975212011,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-0.739610476668772,-1.2063580344057,-1.2063580344057,-1.05911897566371,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.04965814735739,-1.00550385884329,-1.2063580344057,-1.2063580344057,-1.2063580344057,-1.03492774442764,-1.05788853705801,-0.874119692393571,-0.672078425520589,-1.2063580344057,-1.2063580344057,-0.490570414308748,-1.2063580344057,-0.728176626526465,-0.766473187597752,-1.05595940308681,-1.2063580344057,-1.2063580344057,-1.2063580344057
chr9,116130763,116131796,chr9:116130763-116131796,4,-0.997982872038063,-1.23964150344737,-1.04047026514892,-1.23964150344737,-0.796577440888953,-1.07494541816229,-1.23964150344737,-0.991854158558761,-0.968297315142935,-1.23964150344737,-1.02710040875345,-0.661125300144761,-1.23964150344737,-1.23964150344737,-1.23964150344737,-1.23964150344737,-0.864741173800557,-1.01357802782387,-1.23964150344737,-1.03113301837779,-1.23964150344737,-1.23964150344737,-1.23964150344737,-1.23964150344737,-0.92413465054889,-1.23964150344737,-1.23964150344737,-0.485370086387493,-0.999763449733111,-0.797410637740913,-1.23964150344737,-1.23964150344737,-1.00489479114265,-1.23964150344737,-0.667000029696779,-0.673064133093715,-1.23964150344737,-0.23269484213427,-1.23964150344737,-1.23964150344737,-0.637904791803927,-1.23964150344737,-1.23964150344737,-1.23964150344737,-1.02003485924502,-1.02612044019508,-1.23964150344737,-1.23964150344737,-1.23964150344737,-1.06283876137821,-0.482857752276792,-1.23964150344737,-1.23964150344737,-0.637008219469595,-1.23964150344737,-1.23964150344737,-1.02648640423041,-0.68127945177206,-0.951656147184298,-1.23964150344737,-1.23964150344737,-1.23964150344737,-1.05042511692289,-0.846365788327138
chr22,38374242,38379264,chr22:38374242-38379264,7,1.09282342423962,1.28375725863437,0.658371267584824,1.11058919786365,1.55834935296871,1.57092857771253,1.34832906223444,1.24757013124783,1.59444327665026,1.82521791369049,1.08594627191327,0.960976336220799,1.0942160217643,1.70470407726255,1.17129049022628,1.89477007349278,1.36937522757188,0.518903755279861,1.25828450059453,1.53156613930542,1.68366015005726,1.3857652582818,0.711053700161583,1.52170915919066,0.969649413981246,1.48433103186262,1.91932339352515,1.14306766155691,0.610514772029029,1.33470176699726,1.23020197459957,1.11413707241335,1.3305320242894,1.68599284644892,0.862237917810334,1.36395808277023,1.5657953406824,1.85210429512337,1.10843433298398,0.905879899619734,1.92572176489306,1.30977731004058,1.81079187427543,1.94896089650336,0.944734799826045,1.63340014897984,0.992140695185595,1.67303580285949,0.814589603663767,1.11964708634635,1.55438516018024,1.63432799324667,0.411483892024237,0.553757727385213,1.12783464866896,1.72157314486289,0.459699782938714,1.06658040099053,1.67150171565539,1.39206651441155,2.24016355333623,1.18183696231329,1.5816970882342,1.64991737288864
