SE_ID,chr,start,end,eRNA_count,mean_BRCA,mean_LUAD,mean_SKCM,F_statistic,p_value,p_adj_BH
chr17:39682024-39683980,chr17,39682024,39683980,12,0.846340802519525,0.354354569360375,-1.21412935287227,2418.96287337717,2.88104325464873e-170,6.18761659800908e-166
chr22:38367405-38368137,chr22,38367405,38368137,4,-0.252043700131332,-0.934692006076222,1.19073639986043,1953.63370682307,1.45762784533615e-159,1.04351577447615e-155
chr12:52629250-52631193,chr12,52629250,52631193,8,0.327199747278318,0.844508701219356,-1.17690209527987,1906.72590174754,6.06072068950966e-165,6.50830491242995e-161
chr12:52637425-52638056,chr12,52637425,52638056,5,0.318201421890537,0.832269670931067,-1.15552190904209,1486.11739995216,6.30585637560241e-152,3.38577193447033e-148
chr1:43736935-43737755,chr1,43736935,43737755,7,0.152394565864614,0.954546067995615,-1.10935959522317,1391.51992834505,4.63921964652627e-147,1.99273040696889e-143
chr16:31144809-31145263,chr16,31144809,31145263,4,0.453578779615465,0.69894352578726,-1.15972196857123,1258.63352113338,5.38234970713902e-142,1.65138178086035e-138
chr12:6465660-6471117,chr12,6465660,6471117,24,0.186431586099063,0.886204855999948,-1.07559567362439,1246.31781688942,2.55687179057033e-135,5.49139354460789e-132
chr12:53291502-53292145,chr12,53291502,53292145,4,0.445345389758979,0.688572577271407,-1.14098694147101,1158.02838436002,1.9677698578369e-134,3.52181610306359e-131
chr9:116130763-116131796,chr9,116130763,116131796,4,0.782266158862221,0.305810372859806,-1.10049345487857,1103.06187736102,3.98306933248594e-145,1.42573966756334e-141
chr22:38374242-38379264,chr22,38374242,38379264,7,-0.463061668709777,-0.75081888525596,1.22123073918335,1070.17895575281,2.12896161938307e-127,2.28618543497451e-124
chr11:129724811-129725503,chr11,129724811,129725503,4,-0.0175354146300535,0.979212049134177,-0.961398294589359,972.145070210408,6.87335755974888e-133,1.05442214507662e-129
chr1:161044649-161046045,chr1,161044649,161046045,5,0.602832121044413,0.450189685023615,-1.06259056989413,969.975541721797,3.28010574568626e-128,3.91371283889466e-125
chr8:102473945-102504560,chr8,102473945,102504560,63,0.677171069477496,0.0428806399436107,-0.73080045655567,948.465256700787,1.45997692460685e-123,1.36330106129484e-120
chr8:95651795-95653202,chr8,95651795,95653202,6,0.59981357866485,0.396494126196581,-1.00582855531643,945.948849112726,4.40062636477767e-129,5.55954426096059e-126
chr19:38774537-38778416,chr19,38774537,38778416,11,0.598751661278116,0.367666064045107,-0.975921719946689,929.099822169974,1.53943883040712e-130,2.20416851737691e-127
chr2:47605009-47605992,chr2,47605009,47605992,4,0.205086429378747,0.79626284001742,-1.00460460954504,910.58695920528,2.63510830946148e-129,3.53713882264401e-126
chr12:7070579-7072308,chr12,7070579,7072308,8,0.472726847854868,0.479593806945137,-0.959824255559605,906.876138350246,3.07921592926495e-124,3.14915811965825e-121
chr1:151484091-151487871,chr1,151484091,151487871,4,0.36050541821856,0.640201092112456,-1.00642881855671,873.872643929498,3.76196926125984e-115,2.88556477943134e-112
chr17:73560904-73563901,chr17,73560904,73563901,10,0.54140166220737,0.594225341956717,-1.14422068134198,851.943958139701,1.15095318161761e-139,3.08987768520019e-136
chr11:34682704-34707198,chr11,34682704,34707198,11,0.547566051772231,0.355002667619434,-0.91126024402297,833.114973963323,1.36964300737617e-135,3.26842476326867e-132
chr11:130070132-130078205,chr11,130070132,130078205,29,0.22189130153238,0.651973793996452,-0.877387179680138,830.653282723924,7.88470267962252e-124,7.69726179319331e-121
chr12:7056002-7060325,chr12,7056002,7060325,29,0.514525931274398,0.471451026132618,-0.99414403568121,821.434660313667,3.54334860750636e-135,6.91822709485583e-132
chr8:102505177-102530125,chr8,102505177,102530125,37,0.562433279571833,0.207983654667025,-0.779344446613014,805.99008275888,6.11992671607175e-112,4.38125553603576e-109
chr9:116124774-116130439,chr9,116124774,116130439,20,0.683239288544504,0.161708488944881,-0.85579284556152,805.805764466858,8.03660996496961e-116,6.63854893144816e-113
chr2:85886905-85888241,chr2,85886905,85888241,5,-0.654875751751189,1.29571920522854,-0.630448600274956,801.616008645623,1.09014057565431e-118,9.75539547638646e-116
chr12:52631601-52632364,chr12,52631601,52632364,4,0.246758336892982,0.774982762112052,-1.02565789800334,796.297764150986,9.99079979258032e-112,6.9216905530725e-109
chr1:209958004-209958936,chr1,209958004,209958936,4,0.899773422519194,0.0473894647998105,-0.961445005136771,794.290802200605,3.20104032137627e-134,5.28836484478448e-131
