"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:840437-846715",1.75349460216481,2.06085612227329
"chr1:856496-860160",3.33377882182702,3.58840467312305
"chr1:861506-863155",3.40332110079522,3.74994045368264
"chr1:863361-865435",3.46468644742619,3.6674580590453
"chr1:866569-869433",3.64266864594557,3.85775617015854
"chr1:1232113-1233102",1.58855809723939,1.68751742120078
"chr1:6324855-6341062",1.69567097382279,1.89991479851884
"chr1:7309786-7375164",2.02964041380806,2.43673117444786
"chr1:17484879-17516178",1.64406627261446,1.5493002676229
"chr1:26238413-26261242",3.7274088104383,3.92373356886739
"chr1:29508599-29513464",1.68567660687699,1.80353429702309
"chr1:32096543-32097937",2.14065868014932,2.2055440552089
"chr1:32099015-32099787",3.07248140419127,3.10117904750977
"chr1:32198844-32200684",3.0769767647752,3.40494785162929
"chr1:32694909-32696428",1.74933954463277,1.59642152030429
"chr1:32697885-32699537",1.90683687729313,1.8557326014004
"chr1:32700911-32702290",1.85485538159646,1.89214224900525
"chr1:33591649-33610903",2.24411719219349,2.47544989376589
"chr1:33625645-33630972",2.53983703560218,2.82866106103065
"chr1:33819140-33819902",2.4278799690577,2.75728538569405
"chr1:35325517-35330937",2.38272241685454,2.81986356970531
"chr1:36639180-36640399",2.27893427584249,2.36575628563853
"chr1:37950080-37958076",3.02669207967421,3.31475376395354
"chr1:40042562-40065656",2.38705895066444,2.21355181813731
"chr1:40088154-40089725",2.29157883230806,2.37337295115175
"chr1:40092952-40095799",2.8427187088194,3.18717250872033
"chr1:40105717-40119561",4.0071573050033,4.38841491953496
"chr1:41098953-41101488",3.08257832291424,3.27335440884166
"chr1:41113614-41130966",3.46174687282511,3.74661157869978
"chr1:49242741-49263393",3.76675357903363,3.94751727233361
"chr1:54692933-54693828",1.7254201962479,1.94051478799941
"chr1:54753144-54790942",1.64758760018591,1.75979302808405
"chr1:55267040-55271636",3.37288649255637,3.51543547216157
"chr1:60165166-60198799",1.89996755959342,1.90930380277989
"chr1:65720432-65730324",1.85836074893366,2.22495914580993
"chr1:65775721-65810662",1.68703856974882,1.66031935492066
"chr1:66834752-66837896",2.0379746809657,2.26325179286216
"chr1:66840359-66869333",2.03541964267895,2.06083113039157
"chr1:84413409-84414211",1.64006919173316,1.86106668079981
"chr1:84630796-84638912",2.29081943955714,2.62957300390824
"chr1:85086012-85093813",2.53609620043006,2.83712374490315
"chr1:95063039-95086607",2.39781787178455,2.67977860415184
"chr1:110089982-110090907",3.54012589310587,3.71369974389163
"chr1:110275072-110276454",2.09932461147391,2.41169719024663
"chr1:110440583-110452764",1.70299781470444,1.40448839450225
"chr1:112011722-112016314",1.5057789479656,1.62340006711387
"chr1:113931225-113933271",1.57547793601931,1.795990483944
"chr1:117078950-117086833",1.81310745414239,2.34867567277494
"chr1:150599102-150599430",1.52631300130943,1.35133196520894
"chr1:150738533-150752648",1.51939769033927,1.447527049191
"chr1:151033129-151037743",3.57263340539567,3.864302173345
"chr1:151112666-151114880",1.9702859861588,2.30545830046581
"chr1:151582703-151584414",1.98580988976723,2.25635901937934
"chr1:153666568-153676464",1.58539606598167,1.91534063822897
