"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:2145720-2151874",2.02891118176676,2.22266611250906
"chr1:6518940-6519959",2.39171082488263,2.58729265899067
"chr1:8045665-8064364",2.21957184598076,2.38537290115061
"chr1:8064718-8071679",2.51070238908695,2.70678770158554
"chr1:8087581-8089187",1.65408024989505,1.94115846453644
"chr1:8252930-8266394",1.9879786238867,2.32249059867934
"chr1:9497937-9537657",3.12420592782226,3.38097425299877
"chr1:10690915-10696561",1.89701790765518,2.20764967878189
"chr1:12588562-12627839",4.47290470309084,4.68552708020628
"chr1:15902687-15904080",2.05664002265053,2.29062320862451
"chr1:16113189-16119191",2.92818159599934,3.27641867737206
"chr1:16119880-16129465",2.73345174544633,2.94811607290251
"chr1:17907227-17913855",1.82948176908077,2.04504561995345
"chr1:17959061-17960652",1.95910523700859,2.18849868105952
"chr1:17965284-17966148",1.98747579880411,2.13293745055901
"chr1:17966897-17974949",1.82693486345464,1.94582819240485
"chr1:18014342-18017515",1.5879835036091,1.64554327659253
"chr1:18021875-18023243",1.64155679405022,1.92109468227799
"chr1:20931632-20940235",1.66825524171825,1.97256732064378
"chr1:21867407-21877672",4.13527489392641,4.51685365251588
"chr1:23002983-23037232",2.0282632618312,2.18861497580593
"chr1:23720626-23723938",1.90751805521042,1.74580027837603
"chr1:24129154-24129978",2.04834516271051,1.87201979370199
"chr1:24648491-24649430",1.92599335807069,1.96604352243294
"chr1:24649707-24654805",2.44408719609658,2.54556630873776
"chr1:28561517-28562520",2.41309878178458,2.67498921165729
"chr1:31907625-31926707",1.65086656579508,1.98877636900879
"chr1:40349283-40360998",2.11522702675935,2.26983038561978
"chr1:55331219-55336923",1.81079218659437,2.02656787888924
"chr1:55341820-55349191",1.95276717028911,2.26165359765083
"chr1:66733292-66796311",2.32667550423474,2.7021917445062
"chr1:68027229-68065618",3.50458637858207,3.79397269709413
"chr1:68083576-68113326",1.88467469496446,2.32424979862154
"chr1:77815370-77836963",1.73293338023207,1.5074417982849
"chr1:90405806-90423654",2.21660923608202,2.38375524538799
"chr1:94066419-94067595",1.77269156186278,2.04078040195732
"chr1:94068097-94070863",1.50142454674355,1.7204910749596
"chr1:95397641-95426773",1.94583399321269,2.17775937425112
"chr1:95427089-95428381",1.6133321307115,1.98804452177159
"chr1:95428926-95439863",2.2768412765523,2.49222111800777
"chr1:100155733-100159475",1.61542022916743,1.6883223143435
"chr1:100164834-100170656",3.11597221999265,3.12962102952392
"chr1:116853959-116880871",2.80333619832539,3.04782110744137
"chr1:117076814-117078487",1.70629566738959,1.86808550108935
"chr1:117078950-117086833",2.22348013536358,2.75904835399613
"chr1:150941894-150944225",2.21728175100701,2.55476701918534
"chr1:150944511-150945499",1.84204064852532,2.19512162405008
"chr1:150970849-150971745",1.81641709349957,1.9362228123532
"chr1:151119204-151120944",3.18152610901521,3.20068636927572
"chr1:151252834-151253919",1.52602256564258,1.55860359359323
"chr1:154357312-154374704",1.65684208180798,1.82367413300773
"chr1:154408686-154417423",1.73504412047009,2.02611423763616
"chr1:154417670-154420501",1.7755474214189,2.09574039032521
"chr1:154422556-154426485",1.96039378812136,2.22941343204471
"chr1:154427159-154437510",2.43542533882708,2.6214330126997
"chr1:155102454-155103580",1.81627612683484,1.90141496295896
"chr1:155104210-155105879",1.66423245185143,1.76662620997944
"chr1:160266039-160267033",2.82182854722535,3.11659967200025
"chr1:161352025-161370979",1.92886040930158,1.84361165302353
"chr1:162581349-162601063",2.30965965614191,2.36314126461473
"chr1:167887697-167889117",2.32233270203906,2.518140040643
"chr1:167889969-167893635",1.84587465175676,2.10350141700052
"chr1:171087059-171106779",4.77325610395345,5.01253643662619
"chr1:178685662-178693341",2.63689592934194,2.95507622322576
"chr1:178889338-178943870",2.77753801312779,2.86506585782611
"chr1:182059347-182096332",1.51931553628975,1.56352178864171
"chr1:182102650-182122759",1.75322367954298,2.05098994550148
"chr1:199998956-200007729",2.75450827173179,3.2232980960757
"chr1:200312638-200337693",1.92180584910663,2.29893258019849
"chr1:202066206-202091886",1.77795228191843,1.73059738298144
"chr1:207265317-207268179",3.85429965008454,4.32231890119682
"chr1:209908395-209917618",4.4464084584678,4.74169518350983
"chr1:211749731-211751233",1.51366060367978,1.57994534630427
"chr1:211924509-211952160",1.55991747513893,1.34637123162876
"chr1:212379053-212398520",3.22935759333207,3.63672688018759
"chr1:212412419-212458779",2.05483007511067,2.09032072115142
"chr1:212733173-212738576",1.99825498002817,2.01821763016349
"chr1:221860283-221874666",3.30646017192243,3.5382041148468
"chr1:221876119-221879337",1.54416605874609,1.63044543639969
"chr1:224619583-224621286",1.86593031317212,2.03340629041745
"chr1:226019964-226026255",2.39926461264477,2.53458741083378
"chr1:227128381-227145670",1.96994825202828,2.17580490269175
"chr1:227162880-227165005",1.61608008659567,1.81455010287294
"chr1:229230752-229296737",1.96243062609282,2.35429762936425
"chr1:229387657-229393928",1.83383231653636,1.93554806950519
"chr1:230937849-230955896",2.06466371775899,2.53455505191757
"chr1:234729248-234739915",1.78091853032925,1.9740500716658
"chr1:234848963-234854938",3.35067650882923,3.4790288465617
"chr1:234855823-234859689",1.61831647855266,1.75560667351732
"chr1:234927543-234973620",3.30489827648355,3.62990046475323
"chr1:234973920-235039833",2.88295050006757,3.19654746470069
"chr1:235040333-235092878",2.80271612392101,2.88013276217113
"chr1:235116651-235191035",3.29498447847861,3.31734134384132
"chr1:236047040-236078615",1.7349655162435,1.85712549568568
"chr1:236078921-236105753",2.06760654304343,2.23615442428039
"chr1:236107205-236121079",3.82702211151758,4.17296084367172
"chr1:236121403-236134961",3.61573147820682,4.07990295350244
"chr1:236135225-236139030",4.17837066104066,4.52709417782115
"chr1:236144053-236144811",1.71769308265623,1.99703195910898
"chr1:236145182-236148579",1.71818562972547,2.0131930246377
"chr1:236157272-236174483",2.22987613701248,2.56361823640824
"chr1:236205692-236208657",2.2617054536674,2.42438144901383
"chr1:236212389-236223877",1.6198237991664,1.92181979120935
"chr1:236224172-236228055",1.57989626163488,1.77247311613328
"chr1:236228562-236232664",4.30909153785464,4.56338047450674
"chr1:241745176-241749881",2.64024997525958,2.68911453629995
"chr1:241750138-241751950",2.31175001458313,2.47124975455276
"chr1:241752232-241753214",2.79390589534739,2.84916945442415
"chr10:3781622-3793159",3.72138466664955,3.87447933069429
"chr10:11914376-11916567",1.55296687924574,1.65336290734787
"chr10:13342201-13343886",1.72892013853803,1.78638563354602
"chr10:13853008-13900747",1.64568582323146,1.53564416537155
"chr10:21567370-21587911",2.03019583874646,2.06874008919872
"chr10:24738793-24755360",2.11368704181728,2.3995585415306
"chr10:33274785-33281159",1.57562019252275,1.85403089585505
"chr10:33281491-33294443",2.09903919628798,2.4087588364685
"chr10:64718178-64766733",1.67354338517526,1.57896506398393
"chr10:99069815-99078922",2.15951191980195,2.32008690862444
"chr10:102872907-102882436",2.34713835980825,2.29353823292445
"chr10:105438022-105452686",1.57478470814546,1.38950338357439
"chr10:106027317-106027980",2.41799309324966,2.53256625073455
"chr10:106029127-106030128",3.12589127125998,3.49074244211926
"chr10:112211098-112226248",2.80257346865115,3.01760926588709
"chr10:116286790-116304664",1.58636281843883,1.81870690177717
"chr10:116370576-116416169",1.76204951121808,2.09254364702479
"chr11:267090-278265",2.1184657119957,2.45453317623018
"chr11:282897-284130",1.73538373397615,1.9251439920969
"chr11:328057-329004",1.55586235806647,1.82226987830757
"chr11:3862313-3875448",1.90253773523624,2.12988099709626
"chr11:6398222-6411555",2.2599490204371,2.29331977706082
"chr11:16774541-16775331",1.64508177189999,1.5582349198573
"chr11:33913936-33975233",1.90948881598124,2.0642423530969
"chr11:34478611-34482180",1.5503202846045,1.58870603861986
"chr11:34607259-34642540",2.67454003605683,3.02521485084276
"chr11:35283387-35286841",2.35743305766906,2.79958717850714
"chr11:46723553-46724154",2.22683478542853,2.10851590755188
"chr11:47283670-47289364",1.60626145414071,1.66077446994124
"chr11:57175469-57176548",1.59936397593325,1.66426401728671
"chr11:57252815-57254468",3.14796980412031,3.32425710109095
"chr11:57256965-57258597",2.52255331472495,2.58234210424835
"chr11:57262093-57263404",2.41825726126435,2.49938097665806
"chr11:57265418-57266926",2.51344765881369,2.78403294142814
"chr11:59051606-59054712",1.71697395922921,1.66047096057794
"chr11:61517314-61520014",1.67842870203792,2.17459517155799
"chr11:61736855-61754379",2.46426892578823,2.74444541859491
"chr11:62172741-62183936",1.87039634757215,2.09592999015929
"chr11:64655868-64657198",1.79517046456925,2.27446458992387
"chr11:66702077-66719667",1.88336694497997,1.8034313666168
"chr11:67236843-67250412",1.65296317592175,1.8812499890318
"chr11:71139998-71145360",1.90705239379648,2.07458296623033
"chr11:72463548-72465674",1.9477169943428,2.09059752938513
"chr11:74904720-74907199",1.58668688911508,1.93860452084171
"chr11:76455730-76470860",3.40975897014701,3.5989649634125
"chr11:76471483-76479054",3.89520583998815,4.17439315336398
"chr11:76495509-76502696",1.76563325525048,1.52306696804472
"chr11:76509298-76511308",2.64972561395562,2.55777568625135
"chr11:76814477-76823535",1.61411703790828,1.81045376640964
"chr11:83810190-83874404",2.83982285430158,3.02514761427717
"chr11:111583199-111589366",2.97245732452824,3.04668535641402
"chr11:111601677-111605905",2.81095250365076,3.04605539531827
"chr11:111606149-111608072",2.77173148859483,3.11848144334397
"chr11:111626274-111630428",2.0084779324387,2.11288165712237
"chr11:111637251-111639292",5.11290793033832,5.26963191796654
"chr11:116735884-116738304",1.67534378915563,1.75372732919648
"chr11:120082318-120084344",1.75226746559434,2.07776992893052
"chr11:120088321-120096270",1.67531194057622,1.96035417944109
"chr11:120096604-120097425",1.68255174753043,2.0166647786968
"chr11:120097805-120099019",2.03956406091241,2.49592756095251
"chr11:126179940-126201199",2.65116708384565,2.95171363558523
"chr11:126201545-126206209",2.36807456774061,2.51755484742078
"chr11:129729998-129733431",1.83071421165483,1.94058504162446
"chr11:129735978-129736761",2.38708735781499,2.71744270406117
"chr12:755144-772383",1.51867587523507,1.60482968435607
"chr12:1756509-1769381",4.56850644425863,4.73165593016297
"chr12:1769646-1797640",3.04260688910195,3.31483299827584
"chr12:1870246-1881780",1.75438993966326,2.01868508446312
"chr12:1897944-1901023",1.63903443494452,1.69438638064932
"chr12:6500833-6502047",1.50585137046428,1.34735157759167
"chr12:9283287-9287580",4.69842278116476,4.94104616469513
"chr12:14391055-14403066",1.62911712129488,1.41631856029371
"chr12:16517443-16520159",1.91628938598946,2.27905022927831
"chr12:26848683-26858963",1.75524619545135,2.21524687514512
"chr12:57851891-57852895",3.8673020590623,4.05238615673229
"chr12:69714768-69742021",1.5835273067028,2.02966996708058
"chr12:95044438-95057859",2.94964022647854,3.10572773561753
"chr12:98884964-98887109",4.17571608112501,4.46656475589761
"chr12:100877657-100886181",2.97608577542442,3.05752790099281
"chr12:104744161-104746460",1.56441312693152,1.86288842793356
"chr12:109554609-109562966",2.95149447381873,3.39823039965837
"chr12:109563499-109569063",1.85246585157279,2.18734080066631
"chr12:109577963-109592387",2.2781012944185,2.50336328793921
"chr12:109974607-109991442",1.99097596773998,2.23858789044476
"chr12:110035167-110100568",1.61672457009633,1.60117232474114
"chr12:110101088-110151933",2.71671255077141,2.67787792744363
"chr12:120109573-120109949",3.07657959614861,3.44885249858437
"chr12:120110369-120111515",2.99475988315117,3.31706811595242
"chr12:121355139-121367735",1.77267471087092,1.75834933960855
"chr12:121392595-121406316",1.73952141400452,2.38791953442298
"chr12:121412501-121414502",1.50195216959987,2.09480937912048
"chr12:127590872-127618099",2.12643125318076,2.46092326994012
"chr12:127632968-127650516",2.21217441672535,2.358039607978
"chr12:129308628-129337872",2.10180735315,2.55038912580302
"chr13:34054056-34085367",1.67265906065315,1.89870076435132
"chr13:46029456-46038960",2.72058414029544,2.79744404956172
"chr13:73732461-73765565",2.11401302998675,1.8409821713838
"chr13:80593904-80631065",3.58783014530469,3.99389571124095
"chr13:94958477-94998568",2.95325109411879,3.32640821779676
"chr13:99858360-99867526",2.79541700385721,2.8843313584637
"chr13:113338911-113344543",2.66556470854266,2.91275550165899
"chr14:21135685-21147470",2.76407924716493,2.92070502707769
"chr14:21157133-21160809",4.16663420617806,4.58516447804718
"chr14:25288783-25325042",2.77333636520426,3.14606851548302
"chr14:35800494-35831338",2.76752413619434,3.00137354496604
"chr14:50090298-50091703",1.95529386495513,1.74462754880673
"chr14:50466876-50469367",1.61529207694885,1.47513170138364
"chr14:52584813-52590291",2.06570947221258,2.05956853211702
"chr14:73930685-73943730",3.13771031496671,3.54086459876036
"chr14:73943980-73945089",3.39778933746388,3.7968775719183
