"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:3386257-3388071",1.85313750065345,1.98019960118302
"chr1:3388455-3389233",1.54551471906243,1.66367685141139
"chr1:12677837-12678806",1.75963086917757,1.80619285340068
"chr1:12679350-12698932",2.22542414990872,2.49391976143401
"chr1:15256640-15272315",3.3197794318289,3.51526699907005
"chr1:15458768-15478687",3.43972822104284,3.76941892620103
"chr1:15519441-15536886",2.6104500973206,3.05381652311114
"chr1:15537158-15541291",2.70978347552468,2.98686540401111
"chr1:15542027-15545722",2.61400451420629,2.83755769363553
"chr1:15547076-15573668",4.01606007754323,4.18840995681246
"chr1:20064049-20064615",1.9623871389551,1.99108914696168
"chr1:20076965-20082027",2.35638034318852,2.19026952063903
"chr1:20082359-20092944",1.71579469039172,1.89247324369805
"chr1:20522641-20540518",3.69156436288332,3.88584838703715
"chr1:20812813-20825500",3.55243670203212,3.71751664189408
"chr1:21933179-21934606",2.300577793262,2.46801198697831
"chr1:21940682-21943699",3.29876540542633,3.66262015921136
"chr1:21952990-21976154",2.43902003080187,2.59575742042482
"chr1:23857812-23875530",2.18528151135639,2.10456023229135
"chr1:23876034-23877156",3.84753552011467,3.87893578363777
"chr1:23877506-23884309",3.20359310956329,3.27480410593837
"chr1:26090558-26098048",2.4247865306672,2.72955310793498
"chr1:26098994-26102323",2.25443821103001,2.49043402771333
"chr1:26159532-26160397",2.07992174012784,2.15731791557682
"chr1:26280740-26286158",2.37152504088168,2.33612725304657
"chr1:31846023-31849103",2.67083518660046,2.91663209733967
"chr1:31907625-31926707",3.81924007097115,4.15714987418485
"chr1:31948563-31960336",2.26025140984715,2.56002938873743
"chr1:32404088-32408030",1.64345376621947,1.74077437210903
"chr1:32819797-32824727",2.38903457570613,2.56288648724917
"chr1:35317256-35318170",1.58216743133729,1.82047019408731
"chr1:44413456-44414944",1.68856224882147,2.02234074243946
"chr1:54684550-54686184",2.29439149858394,2.55687024526565
"chr1:54686703-54690698",1.73190514878858,1.91950322745385
"chr1:55891898-55912574",1.67379197025277,1.60415798470275
"chr1:65745661-65764338",1.89468758992614,1.90279946563504
"chr1:68027229-68065618",2.13132459329472,2.42071091180678
"chr1:71478267-71512264",3.22291237159969,3.1266369954691
"chr1:95394058-95397328",1.95330196378938,1.95022266774409
"chr1:95397641-95426773",2.32964849110743,2.56157387214586
"chr1:95427089-95428381",1.98387649928286,2.35858889034295
"chr1:110835229-110856332",2.91644832044819,2.83830122703085
"chr1:113931225-113933271",2.49295634675947,2.71346889468417
"chr1:117009174-117016756",2.00190451428265,2.32612125647768
"chr1:117078950-117086833",1.93444842272322,2.47001664135577
"chr1:119485933-119530114",2.42072776238749,2.593532287405
"chr1:119544128-119554897",1.67094043705155,1.98943327906148
"chr1:150975544-150978477",2.8232159412491,2.77062887383748
"chr1:151789856-151798306",1.90074897889055,2.25066698620746
"chr1:151923488-151955291",1.58695154355141,1.58468132780475
"chr1:162127072-162195608",1.773753833686,1.67328224785596
"chr1:169451618-169454701",2.3854407292092,2.62981837051459
"chr1:169456946-169457921",2.29439495288208,2.26663011172584
"chr1:178512120-178513910",1.52061741592352,1.58816604976527
"chr1:178685662-178693341",1.87710120751315,2.19528150139697
"chr1:180935145-180939873",2.28376425132644,2.31217600090647
"chr1:202544414-202549502",1.58718450065051,1.88982682741406
"chr1:207226811-207227945",3.48492049896552,3.55023707919094
"chr1:207228400-207234067",2.38725837271255,2.67106608068169
"chr1:207251268-207252199",1.84347329957331,2.28619075170974
"chr1:209836506-209848467",3.05448150517451,3.16561761395088
"chr1:212379053-212398520",2.2075359388005,2.61490522565602
"chr1:212412419-212458779",1.81733390668512,1.85282455272587
"chr1:212733173-212738576",2.45546762241011,2.47543027254543
"chr1:212768526-212781912",3.64615515510632,3.78663942305297
"chr1:214478693-214488005",4.41976186139107,4.65465968961934
"chr1:228397565-228399367",1.57640176833036,1.79503376140756
"chr1:228549051-228550177",2.37007022909986,2.68851311768816
"chr1:228550556-228552582",2.67976141826595,3.11026208586631
"chr1:232697404-232705325",1.99337294069031,2.05675822623999
"chr1:241745176-241749881",1.58788502471734,1.63674958575772
"chr1:249139961-249141151",2.66462921707849,2.63930585588921
"chr10:7664540-7679091",2.86388516205107,3.25703004448769
"chr10:14564324-14569836",2.28715801923875,2.55888622673956
"chr10:14570138-14571427",2.7652436719662,3.09484160088897
"chr10:18691476-18787184",2.85240066824771,3.02963691283174
"chr10:22534347-22546615",1.95985235623787,2.21403834336029
"chr10:32217842-32251160",2.5446287053114,2.90954915296045
"chr10:52749828-52750845",2.79184357201642,2.93580353227824
"chr10:60033344-60035778",1.67671751309973,1.78961019321177
"chr10:60037182-60042559",2.51587922372205,2.75631594268839
"chr10:61014303-61022094",2.34979941854903,2.74089039989593
"chr10:61062724-61082890",1.50606883275752,1.6977506357741
"chr10:72164402-72166003",2.01945486049091,2.37247482426033
"chr10:76991306-76993627",2.30123337638288,2.26591258195349
"chr10:77153661-77157488",2.38623775774305,2.70770067884858
"chr10:77164142-77166913",2.8055223056875,3.0464093961177
"chr10:90134065-90152907",1.6790150765267,1.59417480231217
"chr10:93322983-93388099",2.80178770270286,2.92922357671817
"chr10:97990690-97998544",2.10456763660476,2.06989347849401
"chr10:98006905-98031009",1.86395628622465,1.97031435299966
"chr10:102133869-102137843",1.90917060029096,2.18579491175085
"chr10:102488049-102495260",2.26616037998669,2.67552258062042
"chr10:103871393-103874063",2.11569870123483,2.15897212315719
"chr10:103874803-103879743",3.06412419581287,3.1780745296174
"chr10:103880310-103892687",2.12613947000254,2.1465580552669
"chr10:104405044-104408876",1.63665314372125,1.74452140457227
"chr10:104409135-104414310",1.67582153689878,1.81613479304932
"chr10:105639619-105642200",1.67350566136057,1.7614313381386
"chr10:115799813-115803706",2.19834899962788,2.64388819839338
"chr10:119305427-119307476",1.67591338534118,2.22799068515776
"chr10:124609055-124609840",1.6135094548645,1.63361214712733
"chr10:124610409-124614672",2.14227961509588,2.04302074979109
"chr10:125602104-125622030",2.34347673324129,2.43157745046543
"chr10:126402886-126430897",2.12425892687614,2.51913839872068
"chr10:134210955-134218030",1.51133049096701,1.60279851285101
"chr10:134263012-134325030",3.1696538296298,3.40417622224198
"chr11:1551495-1575174",2.52644248114447,2.64596290850461
"chr11:1580773-1584981",2.38514943726239,2.66434339042544
"chr11:1587266-1592483",3.16559864926126,3.49981524127416
"chr11:1595193-1597642",2.23890817742052,2.6040622928381
"chr11:1771921-1773882",1.80654615655485,2.02836292688645
"chr11:1776678-1778454",3.28922666826386,3.55597710418093
"chr11:1778886-1780099",3.67101033135992,3.82097170721161
"chr11:1780969-1781478",3.44110582380382,3.68965830517841
"chr11:2610184-2621598",2.36826892453742,2.49292703550945
"chr11:3063660-3068883",2.26921297427053,2.44161150821852
"chr11:3862313-3875448",2.36285691636549,2.5902001782255
"chr11:7533846-7534429",2.28404087274247,2.48232097283957
"chr11:7598969-7614263",2.00499762361469,2.29582174851961
"chr11:7619812-7626869",3.56052812768427,3.71393608295955
"chr11:7650865-7652054",2.30425916335868,2.55226523965903
"chr11:7652574-7653477",2.91768216272849,3.12778899037154
"chr11:7654265-7655626",3.27220317072064,3.54061121169677
"chr11:7663757-7669239",2.01470245259079,2.31085642408103
"chr11:7675099-7676545",3.39660874062593,3.52297138758917
"chr11:7678458-7686231",1.82172898545563,1.98778243698118
"chr11:10315854-10324104",3.26637688074018,3.53391947782513
"chr11:10478049-10482587",3.65640202684298,3.92769608608273
"chr11:10483387-10499973",1.59141447661492,1.82999723603906
"chr11:10518585-10519848",3.20477186877439,3.17786224432724
"chr11:10524541-10525996",2.49515675544449,2.53337642493706
"chr11:10530823-10533125",3.15046976050967,3.360220263007
"chr11:10617442-10621138",2.38547342810597,2.64257707968146
"chr11:10626192-10628189",2.62816532623197,2.96159570655631
"chr11:10628419-10631175",2.9973394844145,3.32474162829506
"chr11:10880589-10886708",1.85924897550697,1.99448291196251
"chr11:19198069-19203478",2.48066792868638,2.31209802776653
"chr11:19970726-20000145",4.0356047373299,4.29295621925689
"chr11:20005893-20044002",4.10818537862765,4.33070105250022
"chr11:27496193-27497216",3.44950692559771,3.84586429701045
"chr11:30344849-30349483",2.16245014286771,2.16515787333267
"chr11:30353447-30354313",2.48735274663465,2.62949455763707
"chr11:33695748-33718032",3.06478173590888,3.28697720197528
"chr11:33718347-33719707",3.39014814445561,3.71607967761314
"chr11:33720160-33720987",1.98427694434335,2.38199019440794
"chr11:33724383-33730146",2.10638198002195,2.17300095093452
"chr11:33733151-33738816",1.65097777176676,1.87436149064102
"chr11:34379655-34394280",2.88274811209054,3.19860477765468
"chr11:35014026-35016361",1.87025538498944,1.93404395993762
"chr11:35017769-35041655",2.18229242118062,2.13560335282027
"chr11:45893884-45902365",1.79308351611206,2.16428880948748
"chr11:45928933-45931120",2.24050658435439,2.42599165008743
"chr11:45946540-45947490",1.88612206727894,1.739754765359
"chr11:47227772-47236393",1.84224876416626,1.81122573966904
"chr11:47405483-47407533",4.10897650636018,4.47420977317704
"chr11:47434118-47434851",2.99681873551151,3.07663692840781
"chr11:47438147-47440220",2.30385015271451,2.36531758227304
"chr11:58343456-58345359",2.00308270003026,2.01424460534928
"chr11:59303935-59326173",2.2986998316016,2.29594404276209
"chr11:59563285-59564656",1.53931893261485,1.64754794667102
"chr11:60123638-60145855",2.92400918782452,3.19258516091066
"chr11:62644553-62647794",3.01869442746495,3.32308655412201
"chr11:62654140-62655242",1.58787088983095,1.46567565908738
"chr11:63684416-63689576",3.21802770011665,3.43685749442497
"chr11:65181096-65190145",3.18594813248334,3.47757518754611
"chr11:65581149-65590393",1.77340643226261,2.08031577236294
"chr11:71139998-71145360",2.54045011928324,2.70798069171708
"chr11:72391041-72396014",3.5385147679891,3.85495711508417
"chr11:72425466-72432795",3.44655921575806,3.6820361323189
"chr11:73022975-73053941",2.11847748150504,2.4386398617974
"chr11:73058340-73063775",1.90491654826624,2.07315697523293
"chr11:76154044-76155149",2.3486389346767,2.50556954690896
"chr11:77992047-78029089",3.36551119966151,3.57083810734666
"chr11:85656189-85668627",1.79118325401459,1.97618677509425
"chr11:85670203-85671618",1.73677936031613,1.90741716517602
"chr11:86166952-86168308",2.83387165187517,3.0334760863638
"chr11:86168901-86175024",2.64097364857701,2.7097350080758
"chr11:86176342-86198279",3.01119891565127,3.08191287639178
"chr11:86373412-86378681",3.09248585492835,3.16039694191465
"chr11:86425234-86438297",2.75434619960448,2.7508295924351
"chr11:86476407-86502001",2.12888585544391,2.2493412858953
"chr11:86502337-86511182",1.60475467208102,1.91608382445695
"chr11:86712101-86732144",1.92105413038407,2.0456439222129
"chr11:94265389-94276906",1.64856660581433,1.87783407111274
"chr11:94823491-94861441",4.02177173102428,4.13033237803412
"chr11:94865909-94876701",1.59275233038827,1.81929910919883
"chr11:94879268-94883603",2.27780401671392,2.67078189776829
"chr11:94885288-94887101",3.81499968145443,3.99344502000212
"chr11:94915438-94917199",2.92478417696654,3.18454482319046
"chr11:94938144-94957516",1.87687346743981,2.03402249237769
"chr11:111157226-111164014",2.08078100189465,2.15229373488029
"chr11:111171446-111175453",3.07371061486501,3.08605117662144
"chr11:111601677-111605905",2.15496732138964,2.39007021305716
"chr11:111606149-111608072",2.13434990812518,2.48109986287432
"chr11:112104796-112105994",1.55925023792115,1.75394476246878
"chr11:113533599-113558172",1.68287517994529,1.93740778563358
"chr11:117672850-117688005",3.28545313350553,3.72053593502328
"chr11:126179940-126201199",3.55949832976758,3.86004488150716
"chr11:126201545-126206209",3.98743293262781,4.13691321230798
"chr11:126208394-126213102",2.15303915927283,2.21814824794398
"chr11:126215744-126225435",2.58513694365131,2.79545104076714
"chr11:129937938-129939632",1.63635893149156,1.54053866608682
"chr11:130080371-130083619",3.08181137035212,3.09988131757801
"chr11:133874209-133896782",1.58849638740467,1.76248076113307
"chr12:656094-657090",1.5914497718176,1.69929527994104
"chr12:663249-664356",1.92940736794771,1.80161367945191
"chr12:755144-772383",1.69835051796207,1.78450432708307
"chr12:1769646-1797640",3.39939455569027,3.67162066486416
"chr12:3260742-3310241",2.44316213782692,2.46693212812564
"chr12:6234036-6264101",2.00092841701083,2.1874774901563
"chr12:6269985-6308781",1.57054960176492,1.81232128548569
"chr12:6335002-6341252",1.83895505335297,2.15583819058762
"chr12:6345541-6346829",1.51281670021447,1.41644224984133
"chr12:6451380-6453620",3.25046458257994,3.65764981505366
