"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:840437-846715",1.56168434608204,1.86904586619052
"chr1:1164426-1167172",1.77718719602414,1.88154332617378
"chr1:1192790-1197450",1.59239797378856,1.53203930545326
"chr1:1199049-1200063",2.94230282673964,3.03911348193347
"chr1:1200310-1201378",3.7035603119667,3.83845123064625
"chr1:1201770-1203013",2.70209821403804,2.65638566797267
"chr1:1203472-1206790",3.07200416850857,3.10651125812702
"chr1:1577969-1580387",3.86307950390465,3.97734849815241
"chr1:1671243-1675590",2.49192419836674,2.50500484737002
"chr1:1696985-1709628",4.83851169905138,5.00516768859553
"chr1:1722135-1724584",3.79436873491298,3.96570173922493
"chr1:1725736-1735758",4.32803439185074,4.56694475530042
"chr1:1738077-1747095",3.6027477964332,3.96103134830341
"chr1:1749925-1756327",3.91795981216588,4.0511261612799
"chr1:1757093-1763571",4.64847929714849,4.86615927477408
"chr1:1763824-1770529",3.46710522298571,3.72621905807729
"chr1:1771221-1821703",4.63854458536321,4.8629894193695
"chr1:2036434-2039730",1.86236829871896,2.10997956694776
"chr1:2052804-2064977",2.95498555139271,3.13297463481573
"chr1:2164208-2179335",4.75908711084121,4.93681808995648
"chr1:2179610-2234317",3.23552877555526,3.44965629477008
"chr1:2236124-2237359",3.03256122235708,3.24516724494074
"chr1:2328759-2330754",2.02458380682241,1.96312031479195
"chr1:3160801-3202505",3.73180888587232,3.83125332295518
"chr1:6067820-6078595",3.73715584947843,3.95089352671041
"chr1:6111914-6130822",4.68384127852546,5.01920356502482
"chr1:6378738-6387259",1.66627391115376,2.0485658006906
"chr1:6641459-6642018",2.37774843880007,2.42433384515489
"chr1:6642459-6645262",2.05659413378981,1.92139423295479
"chr1:6655717-6659007",1.98971677276174,2.12467245892482
"chr1:8586198-8596041",2.77870130136417,3.1292769150464
"chr1:8684539-8715932",3.17194097262727,3.17271958255651
"chr1:8716600-8763014",3.16862708117066,3.11002217188243
"chr1:8796427-8810389",4.67297675142493,4.86480480092914
"chr1:8932145-8934783",4.17634992240336,4.39468499304505
"chr1:8935076-8935747",3.60517254363317,3.7295441152521
"chr1:9685398-9711690",3.9751188852054,4.2277705607441
"chr1:9722784-9732384",5.05673290911773,5.16348022090825
"chr1:9732877-9740670",2.51668441142913,2.87361906895596
"chr1:9741293-9747293",3.74592195069253,4.08201957492811
"chr1:9752104-9770156",4.33288845266243,4.62628299877884
"chr1:9792054-9793359",3.31814273239881,3.49650403265469
"chr1:10093852-10114403",3.38176190851456,3.31882376092422
"chr1:10119806-10131986",2.27639633539189,2.41769766600045
"chr1:10167532-10177417",3.97975182597953,4.27781116729434
"chr1:10182234-10186752",3.26430096779326,3.3480824774707
"chr1:10197363-10204898",3.23040777597451,3.36196858772709
"chr1:10211719-10218312",3.3264948071658,3.71826765848324
"chr1:10221444-10223226",3.74099656536339,4.05883445495867
"chr1:10223532-10226202",3.74233424894065,4.08938530482239
"chr1:10226500-10228094",1.64841835529066,1.77007319186899
"chr1:10228428-10230914",3.92599589581554,4.12015948628409
"chr1:10231487-10238602",3.93600129181349,3.97392231152075
"chr1:10344759-10351040",1.8269411598427,2.04923145633526
