"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:935652-943356",2.50249020748527,2.50322440812224
"chr1:943709-947277",2.84461383545514,3.00374906238657
"chr1:950020-955403",1.53057714697323,1.7390613155123
"chr1:1023116-1025633",2.71951604325367,2.98165817433442
"chr1:2126314-2129346",2.70363930185884,2.64025562193272
"chr1:2135421-2137644",2.37605564372845,2.35623384176337
"chr1:3692646-3694880",1.82611882581142,2.04133214070002
"chr1:6324855-6341062",1.95998061055218,2.16422443524823
"chr1:6674767-6676717",1.73678037658452,1.97022409249149
"chr1:9429691-9497628",2.87831671726114,3.07875022258767
"chr1:9732877-9740670",2.85133080366808,3.20826546119491
"chr1:9741293-9747293",2.13220501066059,2.46830263489616
"chr1:15205073-15250526",1.82679041039344,1.80874784523896
"chr1:15382876-15386568",1.63083615360264,1.77890259314552
"chr1:16076491-16083002",3.96203448923844,4.08542187831844
"chr1:24648491-24649430",2.56515578038731,2.60520594474956
"chr1:24649707-24654805",2.42953027872086,2.53100939136203
"chr1:26159532-26160397",1.58156175342318,1.65895792887216
"chr1:26350363-26355584",2.29412752042959,2.60915999248665
"chr1:31194698-31196205",1.76695500014232,1.85504089075232
"chr1:35296738-35316195",1.96666711597594,1.80389311854804
"chr1:35317256-35318170",1.81601798405408,2.0543207468041
"chr1:36868560-36878794",2.1641746835434,2.09655843432095
"chr1:41849362-41932508",2.42262517275192,2.7539586674259
"chr1:45126067-45139903",2.1597647761682,2.16514261055398
"chr1:63152160-63153798",3.48550612143533,3.75631994096917
"chr1:68243290-68297886",2.15906705362795,2.17803238929441
"chr1:68652432-68659441",1.59624683409489,1.61606999663342
"chr1:90095441-90097073",2.26135336214603,2.59891382710867
"chr1:101709405-101721730",2.51981824804466,2.69983004951281
"chr1:109780891-109792541",3.5168450703796,3.68642463134017
"chr1:112417478-112451858",1.73363379078813,2.08028293015127
"chr1:120269825-120272032",1.59727098589735,1.7276692683092
"chr1:155966518-155971199",2.33319916983464,2.44884939612467
"chr1:160651358-160653209",1.94294628360006,2.23155964628418
"chr1:202927800-202930897",2.43943451355111,2.39642638727888
"chr1:207251268-207252199",2.23544907802302,2.67816653015946
"chr1:212588343-212606129",3.01855935724088,3.09479440106798
"chr1:212608475-212615788",4.34921606552889,4.53584702845117
"chr1:212616067-212617581",4.00025496369875,4.07662485147807
"chr1:212617884-212619072",2.68237360421649,2.59550753972544
"chr1:224619583-224621286",1.86079061991579,2.02826659716112
"chr1:224624835-224645468",1.8152384341123,2.02936748165016
"chr1:226099182-226107478",1.55063281317211,1.80585617647193
"chr1:226895716-226923128",2.55177298116716,2.80736160838223
"chr1:228397565-228399367",2.15768600763662,2.37631800071382
"chr1:228642966-228644965",1.63199820737284,1.80395223561227
"chr1:230445739-230451338",1.5485543197619,2.02519101010865
"chr1:235976461-235992005",1.72468586517413,2.08936424410338
"chr1:236030320-236046387",1.7975897174426,2.20120319366029
"chr10:1082933-1085748",2.66068404767284,2.9899851795452
"chr10:1103008-1117956",1.80017661686143,2.05625164036956
"chr10:1224882-1227973",1.72641231530821,2.0978594941831
"chr10:1246425-1260028",4.03685116482015,4.31220428052119
"chr10:4099203-4111897",2.43995911674485,2.77038057219302
"chr10:22826310-22828295",3.69575244746512,3.78943780791641
"chr10:22839801-22856366",1.84453029179599,2.23583255286944
"chr10:22856918-22857842",3.6679203534454,3.8642373427902
"chr10:22858083-22862140",3.13605217618513,3.48017008371336
"chr10:63810859-63816776",2.95767094940487,3.08777366930408
"chr10:63829656-63845361",2.97290350651191,3.04133250890144
"chr10:71161738-71163559",2.61797610082365,2.7294870090268
"chr10:82273919-82275123",2.0938453314109,2.1585507508389
"chr10:88441660-88445335",3.73174128390219,4.16963985160025
"chr10:88445557-88446726",3.56243108660041,4.04636589452742
"chr10:88452428-88458935",2.87755912515619,2.97707986670769
"chr10:88469907-88475984",1.7927719627773,1.85176277452675
"chr10:88486308-88492544",1.68391037720765,2.0189312734876
"chr10:88495925-88505497",3.55552069253177,3.86109242855947
"chr10:89624405-89626330",3.27811266567386,3.37328531879646
"chr10:97074983-97077977",2.93609897055272,3.16799064938544
"chr10:97078289-97081620",2.5157106875311,2.69746526856367
"chr10:97082662-97096178",2.39392694292756,2.67029943780104
"chr10:97097151-97098790",1.91435407804372,2.13360919928623
"chr10:97154932-97156877",2.09100255353641,2.49022835319085
"chr10:97176042-97181618",1.79239160760056,2.25840482022181
"chr10:99217227-99217981",2.95016019383473,2.97888331309209
"chr10:102757091-102758005",2.20581920591385,2.22908399170399
"chr10:102764023-102765115",1.517188038844,1.45281883890356
"chr10:103863848-103867217",1.98351853691522,1.90436935871554
"chr10:105207425-105208771",1.56908354022734,1.69582628480626
"chr10:105438022-105452686",1.52590748841347,1.3406261638424
"chr10:106022935-106025742",1.63826312796056,1.75880850010761
"chr10:126312273-126355659",2.0244619816376,2.29647885078496
"chr10:126402886-126430897",3.36716208344611,3.76204155529065
"chr10:128077124-128102338",2.85315037810121,3.29358374331323
"chr10:128110548-128113466",4.14591099384232,4.47462575224412
"chr10:128335306-128358710",3.94886063457905,4.29047708602297
"chr10:134263012-134325030",2.38743088114806,2.62195327376024
"chr10:135090472-135093035",1.82183216647792,1.93880730300925
"chr11:1551495-1575174",1.86158441028499,1.98110483764513
"chr11:1994123-2004367",1.93596354444136,2.2074723261196
"chr11:2403880-2405780",2.14375585189659,2.55308648830309
"chr11:7533846-7534429",2.5086673380028,2.70694743809991
"chr11:9725095-9734913",2.56942574519459,2.9295228565263
"chr11:9765024-9769305",1.59296710656085,1.77846621179258
"chr11:12552448-12559530",1.5978551857734,1.52378202892115
"chr11:20101855-20104038",3.02700537554757,3.21191669281675
"chr11:20119391-20122383",2.23666772596047,2.43768675679834
"chr11:20129428-20135829",1.50064271547318,1.68718536161341
"chr11:34122803-34127049",1.9749536707107,2.19960608806883
"chr11:35150315-35154102",2.61127807394213,2.93291345437546
"chr11:35236632-35240376",1.84548447796504,2.00841623423329
"chr11:35244967-35250576",1.66350646616269,1.44527863233833
"chr11:43955060-43963716",4.09986341958022,4.5117325558658
"chr11:45204774-45226162",2.1585486170699,2.38823050526004
"chr11:61717999-61719143",3.11051831021185,3.48724423067714
"chr11:61719530-61722479",3.29922613950904,3.56677243737212
"chr11:62259403-62283277",1.86802250048123,1.96257000543782
"chr11:62644553-62647794",1.55118983009696,1.85558195675402
"chr11:65135614-65142563",1.93069233898509,2.11562220123467
"chr11:65581149-65590393",3.19975337891092,3.50666271901125
"chr11:68710420-68725175",3.48161472487139,3.69272576561672
"chr11:68793468-68816265",3.96876241361146,4.26632834898624
"chr11:68831535-68834871",3.74991000384463,3.9943589798265
"chr11:68835173-68837798",2.53903336505368,2.79325832409286
"chr11:68838063-68838724",3.10883695946203,3.33684707057998
"chr11:68849067-68850544",2.57598950562063,2.80319914391406
"chr11:68858172-68862538",4.71842061325928,5.02400892261207
"chr11:68876662-68906652",1.74028439611898,2.02284530928082
"chr11:74972631-74975126",2.36653826561496,2.65080231318628
"chr11:75572925-75589348",1.5198128833912,1.72814377118392
"chr11:77861364-77878127",2.38046674906321,2.65946377214831
"chr11:78129494-78134928",3.35293137073062,3.64002645114774
"chr11:109816153-109852818",3.80477568353617,3.93738599438008
"chr11:109930034-109963987",1.75623271336925,1.86874496746892
"chr11:116761537-116764461",1.88854085264377,2.01932401682985
"chr11:117160623-117161104",1.68085634630829,1.60878288153841
"chr11:117161865-117162328",1.92087967652835,1.86647164784492
"chr11:117162813-117163670",1.9761628097383,1.97964172670026
"chr11:125034772-125050800",2.76911012055386,3.26872970360103
"chr11:125303385-125315546",3.21196996115402,3.63163592971977
"chr11:126208394-126213102",2.0402403063493,2.10534939502045
"chr11:126215744-126225435",3.16095886600379,3.37127296311962
"chr11:126228506-126244815",3.30666908793341,3.59300076761742
"chr11:126245119-126261970",3.20755178028198,3.48006142876188
"chr11:126263298-126273013",2.36727429183966,2.7105471928199
"chr11:126279406-126283192",3.62531812220036,3.77644656406246
"chr11:126284633-126293154",2.43701310086118,2.71046588249483
"chr11:126310877-126314774",3.14967036861617,3.34532141994482
"chr11:126326449-126332952",2.55988382825958,2.88580393105942
"chr11:129937938-129939632",2.05341084413829,1.95759057873354
"chr12:1897944-1901023",1.81714740598074,1.87249935168554
"chr12:3066720-3068396",2.41046726031037,2.38662297456814
"chr12:12619940-12628729",1.89229881386683,2.07145584770415
"chr12:13369808-13384457",1.82574714502136,1.9127357704359
"chr12:14924165-14927170",1.59223764445022,1.76720427994666
"chr12:52432633-52435489",1.64553148701316,1.93177591750842
"chr12:52439452-52445091",2.00163237611906,2.35543753570949
"chr12:56388590-56390864",2.07450578514135,2.32419235505734
"chr12:56507791-56510270",2.07405395341722,2.50263024397608
"chr12:57472652-57481634",1.85614750000968,1.79926221883028
"chr12:57487481-57488295",1.64729266802102,1.60395223164612
"chr12:58290365-58299681",2.34282548848056,2.86157155592943
"chr12:65082333-65085150",2.10530519168242,2.54784537543549
"chr12:65085459-65088443",1.92667669333361,2.12789680474842
"chr12:69327082-69350086",2.76481669312331,2.96465437294817
"chr12:76427812-76433597",1.89412766489298,2.25318247805557
"chr12:92583536-92605306",3.01353115384773,3.34711442534886
