"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1199049-1200063",1.75141643841676,1.84822709361059
"chr1:1201770-1203013",1.76089574794723,1.71518320188186
"chr1:2036434-2039730",1.82176896790146,2.06938023613026
"chr1:2052804-2064977",1.95681597240171,2.13480505582473
"chr1:2107051-2113133",1.90789529322757,1.96926671566348
"chr1:8064718-8071679",1.63220171193954,1.82828702443813
"chr1:8075852-8086118",2.13041974648065,2.43488787426626
"chr1:8087581-8089187",2.25215407370916,2.53923228835056
"chr1:8252930-8266394",1.7985724642292,2.13308443902185
"chr1:8927409-8927947",1.64652683373279,1.64343755682303
"chr1:9416744-9427407",1.98177931525653,2.03492090958934
"chr1:10473408-10475249",1.50943574904781,1.79535513627098
"chr1:10475549-10476944",1.5681477245007,1.96699027784314
"chr1:16547714-16551582",1.50134394209918,1.70338715371185
"chr1:21896967-21900058",1.6469347716459,2.1206037587628
"chr1:24106531-24111582",1.78294451569748,2.00218713543431
"chr1:24193423-24194288",1.90914714379519,1.89806797325787
"chr1:24857981-24859473",1.50932280591735,1.6162543546126
"chr1:28206665-28208382",1.63762824586743,1.92108738330318
"chr1:28857227-28858215",1.58240871703755,1.58500579536438
"chr1:35901298-35904043",1.79771742671959,1.85775743022647
"chr1:36316896-36318989",1.56465307236188,1.78646990404197
"chr1:38334386-38335497",2.31695480480411,2.37960218490813
"chr1:39457372-39463743",1.68612495613566,1.78954864625745
"chr1:39466878-39468295",1.69980981266874,1.91630143496193
"chr1:40424597-40428252",1.8381133759635,1.98598989835848
"chr1:40429176-40429783",1.84558940904172,2.1149610660518
"chr1:41098953-41101488",1.53240174521806,1.72317783114548
"chr1:43736935-43737755",2.27153952873756,2.41999425787435
"chr1:45120981-45125746",1.68904846615122,1.62351289281577
"chr1:85790666-85815998",1.84588892788342,2.14124376316921
"chr1:94425779-94458293",2.61930038862747,2.85600375289514
"chr1:94497699-94502196",1.80603073093986,2.16915221965032
"chr1:94996252-94997777",1.7247339959446,1.80294074781293
"chr1:95001820-95005713",1.57346114605653,1.87184077265365
"chr1:111199762-111214210",2.25053157942306,2.61055139432692
"chr1:117311950-117317626",1.60374227010222,1.7505494763005
"chr1:117318345-117399586",1.55177359556923,1.60061523496146
"chr1:118148875-118165364",1.91737190262937,2.12556442278481
"chr1:119544128-119554897",2.31913151256753,2.63762435457746
"chr1:150113607-150114916",1.50350074608384,1.50749036675091
"chr1:150705721-150720153",1.50282310504157,1.76509451686883
"chr1:151789856-151798306",1.71909533329111,2.06901334060803
"chr1:154943323-154945669",1.71153442627912,1.93178267698271
"chr1:159890427-159893126",1.50763980966119,1.70706336830359
"chr1:160263353-160264174",1.57644354214608,1.87775409955949
"chr1:160681741-160708937",1.93056915798646,1.75996082242345
"chr1:160724711-160765764",1.6824270369948,1.70709484178026
