"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:1023116-1025633",1.97854378384185,2.24068591492259
"chr1:1149618-1152188",1.50572589221057,1.54152700265897
"chr1:2338494-2339791",1.53861120944272,1.7227450593293
"chr1:6067820-6078595",2.11400672688981,2.32774440412179
"chr1:6324855-6341062",2.00399984222202,2.20824366691807
"chr1:6367042-6378452",1.79157929031889,1.54964490114214
"chr1:6641459-6642018",1.57998797185177,1.6265733782066
"chr1:8954310-8967352",1.50050000932634,1.57253460293703
"chr1:9429691-9497628",1.74466272349642,1.94509622882295
"chr1:9497937-9537657",2.91428583660108,3.17105416177759
"chr1:9732877-9740670",1.83668995020309,2.19362460772991
"chr1:9741293-9747293",1.99779716866793,2.3338947929035
"chr1:11880936-11882548",1.61583022790993,1.67649396818381
"chr1:11986585-11994162",2.04927360373475,2.11057599233769
"chr1:12015050-12016874",2.64241950533607,2.73429411272754
"chr1:12035695-12040138",1.56340357485044,1.7509518574613
"chr1:16049882-16051712",1.50408864372108,1.5250954726615
"chr1:19238677-19243297",1.6100369201108,1.62922835474139
"chr1:22095168-22108251",1.71656455633553,1.69168851950914
"chr1:22352236-22353807",1.62328632910633,1.55080232044718
"chr1:25256468-25287736",2.30956715684914,2.50665398629097
"chr1:25884020-25889035",1.68579087068579,1.98039939452218
"chr1:25891798-25893239",1.78344153916751,1.90587802359225
"chr1:26128708-26131533",1.72177880378595,1.68869387855314
"chr1:26136411-26137845",1.78461297261771,2.10578297126246
"chr1:26350363-26355584",3.70149710757655,4.01652957963361
"chr1:31194698-31196205",2.12141040176991,2.2094962923799
"chr1:31196534-31198467",1.54433598733613,1.51423032677183
"chr1:31834722-31836779",2.13371482877067,1.92591666210998
"chr1:31849797-31879362",1.63631777401064,1.48856219142811
"chr1:32129157-32130673",1.6449877820509,1.62740754576115
"chr1:32138927-32140508",1.61708080780158,1.83925785006819
"chr1:32694909-32696428",1.74966619115657,1.59674816682809
"chr1:32697885-32699537",2.25875616980084,2.20765189390811
"chr1:32700911-32702290",2.09708295887056,2.13436982627935
"chr1:32712058-32712734",1.66706412493695,1.74661247536911
"chr1:32713383-32713872",1.70903438858784,1.60021165790905
"chr1:33625645-33630972",1.72382493456313,2.0126489599916
"chr1:33819140-33819902",1.94315906536145,2.2725644819978
"chr1:33858466-33895682",2.94904844308326,3.13760280901324
"chr1:35317256-35318170",2.03007599643114,2.26837875918116
"chr1:36851597-36856739",2.31482552579231,2.40264577130198
"chr1:36859854-36863119",2.31148542591254,2.57137632865926
"chr1:42224998-42312762",2.36878209377113,2.8302922711395
"chr1:42335401-42383984",2.33861373506345,2.4316732002496
"chr1:44413456-44414944",2.81989019928791,3.1536686929059
"chr1:45126067-45139903",1.6237467284216,1.62912456280738
"chr1:47900413-47901589",2.34842315185092,2.39265503804827
"chr1:53608389-53640408",1.52217792929377,1.3860754073594
"chr1:55680886-55683434",1.82624390742284,1.96799575472743
"chr1:63152160-63153798",2.06450593264418,2.33531975217801
"chr1:66733292-66796311",1.5122294972344,1.88774573750586
"chr1:68173495-68238176",1.99881384520531,1.85851058742448
"chr1:68243290-68297886",2.38022931018937,2.39919464585582
"chr1:84759234-84763949",1.56472476076993,1.91724455419742
"chr1:90063863-90090309",2.15445943174186,2.44515465049661
"chr1:90092485-90095184",2.05682741368786,2.3544559949217
"chr1:90095441-90097073",2.29972752934322,2.63728799430585
"chr1:110885412-110888061",2.27088450238017,2.33660557274305
"chr1:116949917-116952657",2.27064630630743,2.51532035129231
"chr1:117021564-117035545",2.05490476356482,2.28677334449323
"chr1:117037628-117041324",2.11169544461308,2.32361159041761
"chr1:117076814-117078487",1.54912202101945,1.7109118547192
"chr1:117087326-117102546",1.61173946431388,1.87712491159513
"chr1:117102833-117113425",2.21955998849861,2.69447501897367
"chr1:120269825-120272032",2.14840887995527,2.27880716236712
"chr1:120272794-120276827",2.03301349657809,1.96948949189189
"chr1:150335974-150337026",1.54244166140799,1.80919775866079
"chr1:151811796-151812579",1.68826863458194,1.75265365977117
"chr1:155966518-155971199",1.77762905894417,1.8932792852342
"chr1:156647289-156657387",3.29142207943676,3.72129652833359
"chr1:158986590-158987919",2.36920499273215,2.5791269137764
"chr1:158990419-159002194",2.51971995302741,2.67543118876023
"chr1:159002581-159014987",2.27590966075255,2.46813249901003
"chr1:159019489-159021369",2.2788752027192,2.34349639814656
"chr1:159023614-159024511",2.24342656572387,2.24794284552037
"chr1:160681741-160708937",1.75405750511004,1.58344916954704
"chr1:161698033-161705498",1.52402107861047,1.91441237396454
