"SE_ID","Z_in_CT","Delta_vs_Others"
"chr1:933531-934242",2.71878845370956,2.71703768219603
"chr1:970804-975945",2.27620833325399,2.52689770010892
"chr1:977642-978519",1.89315145813677,1.72750293407164
"chr1:996597-997488",2.15482234293561,2.28475053980356
"chr1:999046-999490",2.25278447602122,2.49679472871155
"chr1:2139272-2143260",1.55248449933626,1.81749033569643
"chr1:2145720-2151874",2.14708275679948,2.34083768754178
"chr1:3380336-3382469",1.62574662525015,1.61683644072283
"chr1:3386257-3388071",2.41504361913443,2.54210571966401
"chr1:3388455-3389233",2.59931607610548,2.71747820845444
"chr1:3392726-3394339",1.6691281775815,1.84786846124364
"chr1:6273343-6278249",1.60219747771731,1.58245258081678
"chr1:8045665-8064364",2.20636890374375,2.3721699589136
"chr1:8064718-8071679",2.56970329804452,2.76578861054311
"chr1:8087581-8089187",2.02797566423268,2.31505387887407
"chr1:9416744-9427407",1.57807490167484,1.63121649600765
"chr1:10596729-10617498",2.08461402557353,2.19743847874156
"chr1:11919088-11937727",1.86306769277372,1.63223027913749
"chr1:16097173-16101013",1.8417118701696,1.86220862871157
"chr1:16101837-16103410",1.57850380696417,1.53255584387483
"chr1:16103882-16110943",2.25441082003277,2.24269188952709
"chr1:16113189-16119191",2.22906335672463,2.57730043809734
"chr1:16119880-16129465",1.65083077850502,1.8654951059612
"chr1:16486021-16487896",1.55496069136049,1.76308723594398
"chr1:17866545-17906948",1.55735570971499,1.9116256752458
"chr1:17959061-17960652",2.09778015633876,2.32717360038969
"chr1:18014342-18017515",1.58096266091449,1.63852243389792
"chr1:18017787-18020442",1.54341938057097,1.52680441713552
"chr1:18021875-18023243",1.80589267291901,2.08543056114678
"chr1:21933179-21934606",2.73831561317426,2.90574980689057
"chr1:21940682-21943699",3.21274601456435,3.57660076834938
"chr1:21952990-21976154",1.58723247229636,1.7439698619193
"chr1:28503799-28518442",2.58777781113172,2.50852957524972
"chr1:35901298-35904043",2.10476936758844,2.16480937109532
"chr1:37922160-37939645",2.5282727276127,2.59067539716454
"chr1:37946130-37947102",1.60780252950265,1.60181544661115
"chr1:37959808-37961375",1.7516886956974,1.81395267818846
"chr1:38334386-38335497",1.8146756853922,1.87732306549622
"chr1:39949102-39950173",1.55076337318205,1.66910638446114
"chr1:43996861-44003769",1.70855014038967,2.10801441354022
"chr1:44048864-44054302",1.97374100113445,2.21594409172998
"chr1:44458411-44459376",1.57013280495996,1.33236666317505
"chr1:47651116-47652891",1.68296340750369,1.85957582412868
"chr1:47653199-47655438",1.56908400398169,1.89068163625396
"chr1:47779919-47799369",2.37405116322092,2.39835973262687
"chr1:47900413-47901589",1.58350262081406,1.62773450701141
"chr1:65293974-65296422",1.79990473256561,1.94570622232771
"chr1:65313890-65316387",1.64303203129802,1.89627058525371
"chr1:65775721-65810662",1.52501621266817,1.49829699784
"chr1:65886523-65890886",1.57861533190221,1.78439622036207
"chr1:65891161-65893365",1.69075781246733,1.83697676478515
"chr1:70671563-70684172",1.54562782350748,1.58263332537075
"chr1:77815370-77836963",1.82914385381408,1.60365227186691
"chr1:77857313-77876566",1.55768552970101,1.7471366097279
"chr1:85086012-85093813",1.5959246098823,1.89695215435539
"chr1:85790666-85815998",1.81265837985551,2.1080132151413
"chr1:89980722-89990295",2.01063409765394,2.03624614211105
"chr1:94020318-94027247",1.53360589651427,1.6387362447838
"chr1:94037498-94041471",2.32533312390367,2.37375716637247
"chr1:94041786-94047758",2.71522838060616,2.76327871785477
"chr1:94050792-94054434",2.23134668624744,2.17786907358109
"chr1:94066419-94067595",1.61082594917506,1.8789147892696
"chr1:94068097-94070863",1.79903044093106,2.01809696914711
"chr1:94071230-94079304",1.81468859355128,2.14569597232637
"chr1:94640405-94642069",1.95558768007175,2.17372968233793
"chr1:95063039-95086607",1.5797543672115,1.86171509957879
"chr1:95089840-95103917",2.13701818169985,2.18158223978325
"chr1:95123906-95127570",3.56293092983023,3.85252987105052
